Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
2792,Adds explanation for Sharding,11,True,False,,2024-04-24T08:15:32Z,1,2,3,1,14,0,14,0
2930,build(deps): bump org.slf4j:slf4j-api from 2.0.12 to 2.0.13,1488,True,True,2024-04-23T15:34:10Z,2024-04-23T15:34:10Z,0,1,1,1,1,1,2,61237.0
2843,build(deps): bump org.springframework.boot:spring-boot-dependencies from 2.7.5 to 3.2.4,4087,True,False,,2024-04-22T22:33:54Z,0,0,2,1,1,1,2,0
2929,Add explanation for front controller,45,True,True,2024-04-21T15:38:49Z,2024-04-21T15:38:49Z,0,1,1,3,103,12,115,18.0
2928,Improve docs and add explanation for flux,39,True,True,2024-04-21T15:07:52Z,2024-04-21T15:07:53Z,0,1,1,7,115,30,145,31.0
2923,docs: add dev-yugantar as a contributor for code,102,True,True,2024-04-17T18:00:42Z,2024-04-17T18:00:42Z,0,1,1,2,11,1,12,12.0
2922,docs: add k1w1dev as a contributor for code,97,True,True,2024-04-17T17:53:07Z,2024-04-17T17:53:07Z,0,1,1,2,11,1,12,25.0
2921,Subclass Sandbox tests fixed and re-enabled (#2860),89,True,True,2024-04-17T17:59:55Z,2024-04-17T17:59:55Z,1,2,3,2,3,7,10,22434.0
2727,#2257 Added Explanation to Resource Acquisition is Initialisation README.md,211,True,True,2024-04-17T17:55:59Z,2024-04-17T17:55:59Z,2,2,8,1,114,0,114,15277284.0
2920,Upgrade mongodb to latest and fix tests.,54,True,True,2024-04-17T17:52:13Z,2024-04-17T17:52:13Z,1,2,3,2,27,46,73,115885.0
2918,build(deps): bump logback.version from 1.5.3 to 1.5.5,2768,True,True,2024-04-17T17:50:07Z,2024-04-17T17:50:07Z,0,1,1,1,1,1,2,154828.0
2919,Add event sourcing explanation,45,True,True,2024-04-16T04:57:48Z,2024-04-16T04:57:48Z,0,1,1,1,145,10,155,13.0
2917,Event-driven architecture explanation,45,True,True,2024-04-14T10:14:22Z,2024-04-14T10:14:23Z,0,1,1,4,97,16,113,19.0
2916,Event-Based Asynchronous explanation + refactor,45,True,True,2024-04-14T10:10:39Z,2024-04-14T10:10:39Z,0,1,1,20,226,50,276,1440.0
2915,Double dispatch explanation,45,True,True,2024-04-13T05:30:48Z,2024-04-13T05:30:48Z,0,1,1,4,100,25,125,17.0
2914,Explanation for double-checked locking,45,True,True,2024-04-13T05:02:30Z,2024-04-13T05:02:30Z,0,1,1,3,115,14,129,41589.0
2913,Fix server session,134,True,True,2024-04-11T19:11:42Z,2024-04-11T19:11:42Z,0,1,1,11,463,389,852,1877.0
2912,docs: add Ehspresso as a contributor for code,99,True,True,2024-04-11T15:56:33Z,2024-04-11T15:56:33Z,0,1,1,2,11,1,12,14.0
2909,#2848 Moved project from private project directory to forked repo,89,True,True,2024-04-11T15:55:47Z,2024-04-11T15:55:47Z,2,2,3,7,569,0,569,153217.0
2911,docs: add Romo4ka-bot as a contributor for code,101,True,True,2024-04-10T18:14:13Z,2024-04-10T18:14:13Z,0,1,1,2,13,1,14,12.0
2910,#2904 : Update api-gateway pattern,11,True,True,2024-04-10T18:13:35Z,2024-04-10T18:13:35Z,1,2,3,5,132,6,138,11887.0
2908,Dirty Flag explanation,45,True,True,2024-04-09T18:02:36Z,2024-04-09T18:02:36Z,0,1,1,4,125,36,161,90.0
2907,docs: add DavidMedinaO as a contributor for review,104,True,True,2024-04-09T17:20:20Z,2024-04-09T17:20:21Z,0,1,1,2,3,2,5,9.0
2906,docs: add luismateoh as a contributor for review,102,True,True,2024-04-09T17:17:31Z,2024-04-09T17:17:31Z,0,1,1,2,3,2,5,15.0
2895,Translated missing behavioral patterns category to Spanish (Task of issue #2277),63,True,True,2024-04-09T17:19:21Z,2024-04-09T17:19:21Z,11,4,6,61,5406,4,5410,321263.0
2894,Translate to Spanish,168,True,True,2024-04-09T17:16:21Z,2024-04-09T17:16:21Z,11,3,5,15,1113,0,1113,334321.0
2901,build(deps): bump com.h2database:h2 from 2.2.220 to 2.2.224,2243,True,True,2024-04-09T17:03:41Z,2024-04-09T17:03:41Z,0,1,1,1,1,1,2,68413.0
2869,build(deps-dev): bump de.flapdoodle.embed:de.flapdoodle.embed.mongo from 3.0.0 to 4.12.2,2067,True,False,,2024-04-08T22:03:38Z,0,0,1,1,1,1,2,0
2900,Data mapper explanation,45,True,True,2024-04-07T10:59:27Z,2024-04-07T10:59:27Z,0,1,1,6,110,139,249,39.0
2899,Data locality docs,45,True,True,2024-04-07T09:15:09Z,2024-04-07T09:15:09Z,0,1,1,2,116,11,127,29.0
2896,Explanation for CQRS,45,True,True,2024-04-06T10:35:40Z,2024-04-06T10:35:40Z,0,1,1,2,120,58,178,2331.0
2893,Translate to Spanish,176,True,True,2024-04-05T20:12:59Z,2024-04-05T20:13:00Z,16,3,3,18,1533,0,1533,85080.0
2892,docs: add DavidMedinaO as a contributor for translation,109,True,True,2024-04-04T17:27:00Z,2024-04-04T17:27:00Z,0,1,1,2,11,1,12,16.0
2891,Translate Iterator pattern to Spanish,38,True,True,2024-04-04T17:26:16Z,2024-04-04T17:26:16Z,1,2,3,2,153,0,153,794.0
2890,Translated all structural patterns category to Spanish (Task of issue #2277) ,63,True,True,2024-04-04T16:54:16Z,2024-04-04T16:54:16Z,1,3,3,52,3590,0,3590,87106.0
2874,#2870 Upgrade jackson-databind,116,True,False,,2024-04-02T22:38:06Z,1,2,1,2,2,1,3,0
2889,docs: add surjendu104 as a contributor for code,101,True,True,2024-04-02T17:37:18Z,2024-04-02T17:37:18Z,0,1,1,2,3,2,5,11.0
2888,build(deps): bump jakarta.servlet:jakarta.servlet-api from 5.0.0 to 6.0.0,1545,True,True,2024-04-02T17:47:05Z,2024-04-02T17:47:05Z,0,1,1,1,1,1,2,69861.0
2887,build(deps): bump org.joda:joda-money from 1.0.1 to 1.0.4,2261,True,True,2024-04-02T17:40:38Z,2024-04-02T17:40:39Z,0,1,1,1,1,1,2,69477.0
2886,Refactor Composite View ,46,True,True,2024-04-02T17:39:29Z,2024-04-02T17:39:29Z,1,2,2,1,20,16,36,92888.0
2885,Upgrade jackson-databind to latest version(2.17.0),126,True,True,2024-04-02T17:36:39Z,2024-04-02T17:36:39Z,1,2,3,2,12,1,13,94913.0
2884,Thread local storage test change,255,True,True,2024-04-01T14:54:50Z,2024-04-01T14:54:50Z,1,2,2,1,5,5,10,33387.0
2882,Updated the maven imports of api-gateway pattern for SpringBoot 3.2.4,75,True,True,2024-04-01T14:51:43Z,2024-04-01T14:51:43Z,1,2,2,2,12,1,13,45288.0
2883,Aggregatormicroservice patterns version up,48,True,True,2024-04-01T14:50:28Z,2024-04-01T14:50:28Z,1,2,2,4,24,2,26,44656.0
2879,docs: add drishtii7 as a contributor for code,99,True,True,2024-03-31T07:48:12Z,2024-03-31T07:48:12Z,0,1,1,2,11,1,12,14.0
2872,Changes to make Abstract-Document and Adapter better.,283,True,True,2024-03-31T07:47:04Z,2024-03-31T07:47:04Z,2,2,3,4,106,14,120,120835.0
2878,Commander explanation,45,True,True,2024-03-30T15:37:03Z,2024-03-30T15:37:03Z,0,1,1,9,166,30,196,70.0
2877,Explanation for Combinator,45,True,True,2024-03-30T12:44:43Z,2024-03-30T12:44:43Z,0,1,1,3,190,158,348,707.0
2862,Updated the maven imports of page-controller pattern for SpringBoot 3.2.4,172,True,True,2024-03-30T11:58:18Z,2024-03-30T11:58:18Z,1,2,4,2,21,1,22,209896.0
2875,Collection pipeline explanation,78,True,True,2024-03-30T11:54:59Z,2024-03-30T11:54:59Z,0,1,1,5,148,47,195,2015.0
2854,build(deps): bump org.springframework.boot:spring-boot-starter-parent from 3.0.2 to 3.2.4,4091,True,False,,2024-03-30T06:35:39Z,0,0,2,1,1,1,2,0
2868,build(deps): bump org.eclipse.jetty:jetty-maven-plugin from 9.4.28.v20200408 to 11.0.20,1516,True,True,2024-03-29T11:12:37Z,2024-03-29T11:12:37Z,0,1,1,1,1,1,2,7720.0
2866,docs: add MaverickWingman as a contributor for code,105,True,True,2024-03-29T09:03:32Z,2024-03-29T09:03:32Z,0,1,1,2,3,2,5,23.0
2864,#2852: MaverickWingman,683,True,True,2024-03-29T09:03:18Z,2024-03-29T09:03:18Z,2,2,5,18,42,42,84,84064.0
2861,Updated the maven imports of layers pattern for SpringBoot 3.2.4,416,True,True,2024-03-28T18:42:54Z,2024-03-28T18:42:54Z,1,2,2,1,13,0,13,64540.0
2835,replaced some lombok usage with record (for issue #2807),261,True,False,,2024-03-27T18:20:07Z,2,2,0,7,28,93,121,0
2857,build(deps): bump org.hamcrest:hamcrest-core from 1.3 to 2.2,5654,True,False,,2024-03-27T16:07:59Z,0,0,2,1,1,1,2,0
2856,build(deps): bump org.apache.maven.plugins:maven-war-plugin from 3.3.2 to 3.4.0,2069,True,True,2024-03-27T16:04:12Z,2024-03-27T16:04:12Z,0,1,1,1,1,1,2,4018.0
