Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
901,Contributing to translations to Portuguese,94,True,False,,2024-04-09T12:41:20Z,1,2,0,1,2,2,4,0
473,Update jest.config.js,130,True,False,,2024-04-04T09:36:01Z,0,1,0,1,1,0,1,0
1122,wqkksw,0,True,False,,2024-04-01T01:37:43Z,0,1,0,2,2,2,4,0
1100,Update factorial.js,65,True,False,,2024-03-24T09:01:23Z,1,2,1,1,4,0,4,0
1101,Update DoublyLinkedList.js,57,True,False,,2024-03-24T09:01:23Z,0,1,0,1,0,1,1,0
420,Update linearSearch with a more functional approach using reduce,77,True,False,,2024-03-11T13:25:55Z,0,1,1,1,5,7,12,0
1118,Create tty,0,True,False,,2024-03-12T03:09:23Z,0,1,2,1,1,0,1,0
1116,Update README.ar-AR.md,8,True,False,,2024-03-09T15:57:23Z,0,2,0,1,1,1,2,0
1104,replaceChild method fixed,25,True,False,,2024-03-09T15:59:00Z,0,2,1,1,4,2,6,0
1097,test_11_jan,18,True,False,,2024-03-09T16:00:40Z,1,3,0,1,1,0,1,0
1093,fix: 3 instead of 7 as per diagram,0,True,True,2024-03-09T16:02:30Z,2024-03-09T16:02:30Z,0,2,0,1,1,1,2,7699075.0
1088,Vietsub,0,True,True,2024-03-09T16:06:47Z,2024-03-09T16:06:47Z,0,2,1,3,204,0,204,9317321.0
1086,Add Vietnamese translation for LinkedList,0,True,True,2024-03-09T16:09:21Z,2024-03-09T16:09:21Z,0,2,2,0,0,0,0,9560722.0
1079,fix binary search typo,22,True,True,2024-03-09T16:11:53Z,2024-03-09T16:11:53Z,0,2,0,1,1,1,2,13553349.0
1066,Update README.md,16,True,False,,2024-03-09T16:13:28Z,1,3,0,1,0,1,1,0
1071,feat: added korean translation for trie,33,True,True,2024-03-09T16:13:55Z,2024-03-09T16:13:55Z,0,2,0,2,21,1,22,15998465.0
1117,"Ad hoc versions of MinHeap, MaxHeap, and DisjointSet",392,True,True,2024-03-09T16:15:19Z,2024-03-09T16:15:19Z,0,1,0,8,552,0,552,1207.0
1010,Added JavaScript mascot with link to Wikimedia Commons,145,True,False,,2024-02-27T10:41:58Z,0,1,0,1,4,0,4,0
1113,Update README.de-DE.md,0,True,False,,2024-02-27T17:46:13Z,0,2,1,1,1,1,2,0
1112,Update .babelrc,0,True,False,,2024-02-27T17:46:30Z,0,2,0,1,1,0,1,0
1111,Update README.md,5,True,False,,2024-02-27T17:46:41Z,0,2,0,1,1,1,2,0
1110,Update README.md,5,True,False,,2024-02-27T17:46:57Z,0,2,0,1,1,0,1,0
1109,Update README.md,5,True,False,,2024-02-27T17:47:10Z,0,2,0,1,1,0,1,0
1105,Update CI.yml,578,True,False,,2024-02-27T17:47:37Z,0,2,0,1,1,0,1,0
1108,Improved,0,True,False,,2024-02-26T07:08:26Z,0,1,0,1,1,0,1,0
128,New changes and functions,0,True,False,,2024-02-26T08:01:16Z,0,2,1,3,85,10,95,0
983,Add fastPoweringBitwise function,0,True,False,,2024-02-16T20:22:01Z,0,1,0,2,47,0,47,0
1065,Typo in Binary Search file is corrected ,119,True,False,,2024-01-23T07:05:49Z,8,3,1,1,1,1,2,0
885,Translated to  Chinese and fixed several mistakes about linked list files,177,True,False,,2024-01-03T04:09:19Z,0,1,0,5,35,39,74,0
1006,feat: added Ukrainian translation for factorial,62,True,True,2023-03-16T19:40:42Z,2023-03-16T19:40:42Z,0,3,0,3,35,2,37,200996.0
