Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
42022,[website] Fix code block design by changing the `MarkdownElement` import,922,True,True,2024-04-25T22:12:40Z,2024-04-25T22:12:40Z,2,3,2,11,21,22,43,29179.0
42023,[docs-infra] Clean up branding theme file and improve font-face readibility,294,True,True,2024-04-25T22:02:31Z,2024-04-25T22:02:31Z,1,3,1,2,19,5,24,27822.0
42011,[website] Fix code block on showcase sections,979,True,False,,2024-04-25T13:52:14Z,5,4,10,16,129,240,369,0
36655,fix: Delete MUI,68,True,False,,2023-03-27T10:55:09Z,0,3,0,3000,0,980861,980861,0
41859,[code-infra] Move the HighlightedCode component to @mui/docs,195,True,True,2024-04-19T09:31:48Z,2024-04-19T09:31:48Z,1,6,14,64,1271,1244,2515,676156.0
41779,[material-ui][SvgIcon] Convert to support CSS extraction,468,True,True,2024-04-25T09:48:23Z,2024-04-25T09:48:24Z,15,6,4,3,197,21,218,1731326.0
40324,[Avatar] Use variants api,145,True,True,2024-01-17T10:04:04Z,2024-01-17T10:04:04Z,8,5,2,15,427,33,460,1897518.0
41837,[material-ui][Autocomplete] Fix PaperComponent prop type,68,True,False,,2024-04-25T04:01:53Z,6,6,5,1,2,2,4,0
42016,[docs-infra] Simplify docs demo,209,True,True,2024-04-24T15:56:17Z,2024-04-24T15:56:18Z,1,3,1,5,17,7,24,12527.0
42018,[code-infra] Fix `release:publish:dry-run` script,227,True,False,,2024-04-24T14:30:52Z,0,2,2,1,1,1,2,0
42005,[release] v6.0.0-alpha.4,68,True,True,2024-04-24T07:27:07Z,2024-04-24T07:27:07Z,5,5,3,11,65,10,75,78398.0
42014,[website] Close the `Design Engineer - X` role,68,True,True,2024-04-24T11:19:33Z,2024-04-24T11:19:33Z,4,4,1,1,6,6,12,2906.0
42003,[material-ui][joy-ui] Move typography CSS variables to `font`,246,True,True,2024-04-24T05:53:33Z,2024-04-24T05:53:33Z,8,4,5,12,62,12,74,91391.0
41999,[code-infra] Make Babel config path configurable in API docs builder,208,True,True,2024-04-23T19:57:21Z,2024-04-23T19:57:21Z,3,3,3,1,13,13,26,109213.0
41709,[core] Begin removing IE 11-related code,219,True,True,2024-04-16T06:48:44Z,2024-04-16T06:48:44Z,8,7,5,42,134,394,528,1491222.0
42008,[test] Update browser versions in karma config,630,True,True,2024-04-23T16:23:32Z,2024-04-23T16:23:32Z,1,3,1,3,16,23,39,13657.0
42009,[docs][material-ui] Add missing backticks to HTML tag in the installation page (@Miguelrom),21,True,True,2024-04-23T16:21:17Z,2024-04-23T16:21:17Z,1,3,1,1,1,1,2,4808.0
41972,[docs][material-ui] Add missing backticks to HTML tag in the installation page,176,True,True,2024-04-23T15:00:24Z,2024-04-23T15:00:24Z,2,8,2,1,1,1,2,299260.0
41950,[code-infra] Allow to customize what is considered as a component file,359,True,False,,2024-04-23T11:42:04Z,0,3,3,3,26,13,39,0
41995,[material-ui] Fix getOverlayAlpha type,285,True,True,2024-04-23T08:54:17Z,2024-04-23T08:54:17Z,1,3,1,2,4,6,10,132989.0
