Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
11182,Update CODEOWNERS,536,True,True,2024-04-10T18:55:22Z,2024-04-10T18:55:22Z,1,2,0,1,6,6,12,2936237.0
11152,Add eval summary argument to fix notebook breakage,795,True,True,2024-02-02T00:44:06Z,2024-02-02T00:44:06Z,1,3,1,1,25,20,45,277038.0
11177,Fixed Several Typos,55,True,False,,2024-03-05T21:04:23Z,0,2,2,80,330,346,676,0
11174,Updated model building blocks API links  in NLP Readme.md file to improve readability for users.,475,True,True,2024-03-01T04:57:18Z,2024-03-01T04:57:18Z,4,2,0,1,51,0,51,34789.0
11171,"Adding Backbones,Decoders,Heads API links to Readme.md file in vision folder for more readability of the document",472,True,True,2024-02-28T23:14:39Z,2024-02-28T23:14:39Z,1,2,0,1,37,0,37,83764.0
11170,Update Readme.md file for examples and tutorials related to NLP and Vision using TensorFlow Model Garden,472,True,True,2024-02-27T20:49:49Z,2024-02-27T20:49:49Z,2,3,0,1,11,0,11,79145.0
11105,Refactor and Clean Up Code,737,True,False,,2024-02-26T21:17:00Z,0,3,2,1,209,242,451,0
11013,Update nightly_requirements.txt,1307,True,False,,2024-02-14T18:22:52Z,2,4,5,1,9,9,18,0
11160,Updating tf-models-nightly pip package version after every stable version release.,664,True,False,,2024-02-14T17:53:09Z,1,2,2,1,3,0,3,0
11122,tf2_utils_2x_wide.py cleanup,1083,True,True,2024-02-09T16:55:36Z,2024-02-09T16:55:36Z,4,6,1,2,52,24,76,6082116.0
11158,Update README.md,1842,True,False,,2024-02-08T17:14:16Z,0,1,1,1,14,8,22,0
11111,Fixing typos in official documentation,1387,True,False,,2024-02-07T18:56:30Z,0,3,3,2,4,4,8,0
11118,Typos upadated in TF doc,1307,True,False,,2024-02-07T18:56:17Z,0,3,3,1,1,1,2,0
11120,Typos were fixed in doc,1307,True,False,,2024-02-07T18:56:04Z,0,3,3,2,3,3,6,0
11123,Fixed typos in model doc,1307,True,False,,2024-02-07T18:55:48Z,0,3,3,2,4,4,8,0
11107,Updating the doc by correcting typos,1395,True,False,,2024-02-07T18:55:32Z,1,4,1,4,4,4,8,0
11100,Updated the TF doc by correcting typos,1342,True,False,,2024-02-07T18:55:20Z,1,4,1,1,5,5,10,0
10892,Updated the typos in TF doc,1382,True,False,,2024-02-07T18:55:05Z,4,5,8,1,11,11,22,0
10928,Updated broken links ,1307,True,False,,2024-02-07T18:54:39Z,5,5,5,1,5,5,10,0
10955,Updated broken links,1367,True,False,,2024-02-07T18:53:29Z,3,4,8,1,7,7,14,0
