Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
65006,NODE_OPTIONS updates,579,True,True,2024-04-25T10:23:12Z,2024-04-25T10:23:12Z,2,6,6,9,282,77,359,45197.0
64276,chore: fix some typos,103,True,True,2024-04-10T04:04:52Z,2024-04-10T04:04:52Z,1,3,0,4,4,4,8,18472.0
64247,Ensure configuration is checked for Turbopack build,268,True,True,2024-04-10T08:09:03Z,2024-04-10T08:09:03Z,3,3,3,5,104,45,149,81608.0
64285,Update Turbopack development test manifest,101,True,True,2024-04-10T09:06:22Z,2024-04-10T09:06:22Z,1,3,2,1,25,0,25,7245.0
64048,Update rust-toolchain to `nightly-2024-04-03`,99,True,True,2024-04-04T23:28:02Z,2024-04-04T23:28:02Z,5,5,4,15,64,66,130,85998.0
64277,Update font data,62,True,True,2024-04-10T11:47:07Z,2024-04-10T11:47:07Z,1,2,1,2,17,0,17,41820.0
64290,Update turbopack-build-manifest,75,True,True,2024-04-10T13:46:57Z,2024-04-10T13:46:58Z,0,2,3,1,9477,174,9651,13745.0
64294,Fix css FOUC in dynamic component,1902,True,True,2024-04-10T14:16:20Z,2024-04-10T14:16:20Z,2,3,1,45,283,95,378,6992.0
64296,Update documentation on webpack loaders in Turbopack,71,True,True,2024-04-10T15:02:55Z,2024-04-10T15:02:56Z,1,3,1,1,5,59,64,4701.0
64278,chore(docs): update wrong route in staleTimes.mdx,46,True,True,2024-04-10T04:07:37Z,2024-04-10T04:07:37Z,1,3,2,1,1,1,2,13233.0
64021,[turbopack] Fix css FOUC in dynamic component,56,True,True,2024-04-10T16:44:18Z,2024-04-10T16:44:18Z,1,4,3,18,224,272,496,619591.0
64073,chore(tests): fix tests after cleanup,729,True,False,,2024-04-10T16:44:55Z,0,29,4,360,11078,38770,49848,0
64284,add test-turbo command,83,True,True,2024-04-10T16:53:52Z,2024-04-10T16:53:52Z,2,3,1,1,1,0,1,37591.0
64036,fix: show the error message if `images.loaderFile` doesn't export a default function,476,True,True,2024-04-10T18:11:38Z,2024-04-10T18:11:38Z,14,3,8,8,104,0,104,609227.0
64219,Update 01-vitest.mdx to include module path auto-configuration,212,True,False,,2024-04-10T19:30:04Z,0,3,6,1,6,5,11,0
63790,build: Update `swc_core` to `v0.90.30`,286,True,True,2024-04-11T00:09:18Z,2024-04-11T00:09:18Z,1,3,2,5,256,273,529,1200594.0
64131,Escape url-unsafe characters in names of app router scripts and styles,440,True,True,2024-04-11T00:42:54Z,2024-04-11T00:42:54Z,1,3,2,11,71,45,116,443453.0
64141,hotfix(next):`next lint` installs `eslint@9` which includes breaking changes,141,True,True,2024-04-06T14:45:21Z,2024-04-06T14:45:21Z,3,6,11,1,9,1,10,18753.0
63757,chore: add test mapping script,555,True,True,2024-04-11T07:44:47Z,2024-04-11T07:44:47Z,7,3,3,2,57,0,57,1284573.0
64324,Docs: Add new debugging section and build memory usage sections,0,True,False,,2024-04-11T08:30:45Z,0,2,1,11,18,0,18,0
64108,Inject preview props into edge manifest,420,True,True,2024-04-11T09:18:49Z,2024-04-11T09:18:49Z,1,2,2,7,79,45,124,508811.0
64329,"Revert ""build: Update `swc_core` to `v0.90.30`""",31,True,True,2024-04-11T09:47:51Z,2024-04-11T09:47:51Z,0,2,1,5,273,256,529,13.0
