Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1296,Add AJV validator to json schema validation section,207,True,False,,2024-03-23T16:07:18Z,0,1,1,1,1,1,2,0
1287,Update limitrequests.md,19,True,True,2024-03-06T16:18:30Z,2024-03-06T16:18:30Z,0,2,3,1,2,4,6,10016587.0
1293,Update README.md,0,True,False,,2024-01-22T03:34:40Z,0,1,0,1,16,1,17,0
1192,Fix typos,68,True,False,,2024-01-21T18:31:13Z,3,5,1,4,122,122,244,0
1207,Fix typo error in pt-br,0,True,False,,2023-12-01T14:07:44Z,0,1,0,1,1,1,2,0
947,Update 6.8 and add `argon2`,104,True,False,,2022-02-20T22:43:39Z,2,5,12,1,2,2,4,0
1284,Description of the changes,0,True,False,,2023-11-02T06:32:08Z,0,1,0,1,4,0,4,0
1283,Description of the changes,0,True,False,,2023-11-02T06:02:51Z,0,1,0,1,4,0,4,0
1251,Fix 3.3 Start a Codeblock's Curly Braces on the Same Line,46,True,False,,2023-10-30T21:44:14Z,0,1,0,1,2,1,3,0
1252,[doc] Line break curly braces- Same line Avoid example,0,True,True,2023-09-21T22:16:52Z,2023-09-21T22:16:52Z,1,3,1,1,2,1,3,8842770.0
1273,Fix typos,9,True,True,2023-09-10T06:40:59Z,2023-09-10T06:40:59Z,1,3,4,1,7,7,14,553770.0
1267,Hebrew translation intro,70,True,True,2023-09-10T06:36:51Z,2023-09-10T06:36:51Z,1,2,1,2,10,7,17,1794499.0
1270,Updated spanish translation branch,64,True,False,,2023-08-26T16:07:20Z,0,28,0,281,11135,4296,15431,0
1261,Update branch spanish-translation with master,65,True,False,,2023-08-26T15:27:08Z,0,22,0,201,3273,3333,6606,0
1263,Hebrew translation,174,True,True,2023-08-15T12:02:32Z,2023-08-15T12:02:32Z,1,2,0,1,1925,0,1925,185260.0
1262,fix broken env-var broken link,12,True,True,2023-08-05T23:32:40Z,2023-08-05T23:32:40Z,1,3,0,1,1,1,2,86459.0
1260,Fix typos and grammar in returningpromises.md,0,True,True,2023-08-02T17:07:29Z,2023-08-02T17:07:29Z,1,3,0,1,16,16,32,455563.0
1258,3.3 fix code sample,34,True,True,2023-07-28T07:37:54Z,2023-07-28T07:37:54Z,1,2,0,2,5,4,9,137932.0
1259,Fix typo in readme-general-toc-4.md,26,True,True,2023-07-28T07:37:21Z,2023-07-28T07:37:21Z,1,3,0,1,1,1,2,58801.0
1246,Many modernizing edits ,124,True,True,2023-06-05T09:30:27Z,2023-06-05T09:30:27Z,0,1,0,5,176,186,362,2222205.0
1237,Improved bullet-1.1 with folders example,0,True,False,,2023-05-10T15:34:27Z,1,2,0,1,15,3,18,0
1238,bullet-1.1-better-drilldown-explanation,0,True,False,,2023-05-10T15:34:13Z,1,2,0,1,31,3,34,0
1240,Modernizing to 2023 - various new itams,44,True,True,2023-05-09T10:14:39Z,2023-05-09T10:14:39Z,5,3,1,13,420,243,663,78076.0
1218,Update GitHub actions and update workflow node to 18,0,True,True,2023-04-19T21:25:35Z,2023-04-19T21:25:35Z,2,3,2,3,7,7,14,7963301.0
1235,Update the Privatenpm.png file,106,True,True,2023-04-19T21:14:44Z,2023-04-19T21:14:44Z,1,3,1,1,0,0,0,300823.0
1232,Update last update badge to today [skip ci],0,True,True,2023-04-19T21:14:01Z,2023-04-19T21:14:01Z,1,1,0,1,1,1,2,956311.0
1234,Bug,16,True,False,,2023-04-19T21:13:01Z,2,3,1,1,1,1,2,0
1233,remove build step,154,True,True,2023-04-19T21:12:15Z,2023-04-19T21:12:15Z,1,3,1,10,2,1290,1292,955400.0
1225,Update last update badge to today [skip ci],0,True,True,2023-03-19T12:22:38Z,2023-03-19T12:22:38Z,1,1,1,1,1,1,2,542.0
1229,chore: fix typo and link syntax,51,True,True,2023-04-08T19:35:03Z,2023-04-08T19:35:03Z,1,3,4,1,2,2,4,621259.0
1227,Update last update badge to today [skip ci],0,True,True,2023-03-22T21:22:40Z,2023-03-22T21:22:40Z,3,2,0,1,1,1,2,133044.0
1226,docs: add no-yan as a contributor for content,99,True,True,2023-03-21T08:24:43Z,2023-03-21T08:24:43Z,1,1,0,7,1163,1147,2310,157832.0
1224,docs: fix typo in  clean-cache.md,0,True,True,2023-03-19T12:12:59Z,2023-03-19T12:12:59Z,1,3,2,2,2,2,4,119117.0
1221,Debug 1674,0,True,False,,2023-02-02T14:36:00Z,0,2,0,5,97,47,144,0
1217,Update last update badge to today [skip ci],0,True,True,2023-01-09T22:53:25Z,2023-01-09T22:53:25Z,1,1,0,1,1,1,2,111.0
1216,Fix grammar error in Section 2.2,0,True,True,2023-01-09T22:51:00Z,2023-01-09T22:51:00Z,1,3,1,1,1,1,2,83915.0
1215,Update last update badge to today [skip ci],0,True,True,2023-01-08T09:51:38Z,2023-01-08T09:51:38Z,3,3,0,1,1,1,2,2933782.0
1203,Comply lint-and-generate-html-from-markdown.yml,17241,True,True,2022-10-28T14:28:20Z,2022-10-28T14:28:20Z,1,3,2,12,89,121,210,65795.0
1204,docs: add Kristories as a contributor for content,103,True,False,,2023-01-05T21:47:34Z,2,2,4,7,1505,1477,2982,0
1205,Fix build action,156,True,True,2022-12-05T10:56:45Z,2022-12-05T10:56:45Z,1,2,1,1,2,2,4,3108938.0
1208,docs: Update broken link in breakintcomponents.md,102,True,True,2022-12-05T10:54:43Z,2022-12-05T10:54:44Z,1,3,3,9,9,9,18,1250973.0
1214,1385 prod test,0,True,False,,2022-12-01T17:56:26Z,0,2,0,4,135,47,182,0
1213,1385 prod test,0,True,False,,2022-12-01T17:54:53Z,0,2,0,4,135,47,182,0
1212,1385 test,0,True,False,,2022-12-01T14:59:10Z,0,2,0,3,135,47,182,0
1211,Check pr context,0,True,False,,2022-11-23T15:47:03Z,0,1,0,3,104,0,104,0
1210,Kmn2,0,True,False,,2022-11-21T13:56:25Z,0,1,0,3,104,0,104,0
1209,knMM,0,True,False,,2022-11-21T13:22:44Z,0,1,0,1,1,0,1,0
1198,fix: update josh hemphill image link in README.french.md,43,True,False,,2022-11-02T18:56:31Z,1,3,1,1,1,1,2,0
1199,fix: update readme for markdownlint,54,True,False,,2022-11-02T18:55:42Z,1,3,1,1,1,4,5,0
1200,fix: update readme.basque.md to fix build error,55,True,False,,2022-11-02T18:55:03Z,0,2,1,1,1,1,2,0
1201,add mauroaccornero as a contributor,97,True,True,2022-10-28T14:31:32Z,2022-10-28T14:31:32Z,1,1,0,7,1503,1476,2979,3315660.0
1187,Update last update badge to today [skip ci],0,True,True,2022-10-28T14:31:04Z,2022-10-28T14:31:04Z,2,1,0,1,1,1,2,10282093.0
1197,fix: common-answers link,114,True,True,2022-09-20T05:25:55Z,2022-09-20T05:25:55Z,1,3,2,2,1,1,2,80161.0
1190,docs: add ShiChenCong as a contributor for translation,97,True,True,2022-07-10T07:28:59Z,2022-07-10T07:28:59Z,1,2,3,7,27,0,27,40763.0
1191,Delete contributing.md,326,True,True,2022-07-10T07:26:46Z,2022-07-10T07:26:46Z,1,2,0,1,0,1,1,39994.0
1186,Update asyncerrorhandling.chinese.md,0,True,True,2022-07-09T19:55:26Z,2022-07-09T19:55:26Z,1,3,4,1,78,29,107,1241320.0
1185,chinese translation 5.17,24,True,True,2022-07-01T14:22:24Z,2022-07-01T14:22:24Z,5,2,0,2,31,0,31,720235.0
1179,docs: add backend-joonyoung as a contributor for code,100,True,True,2022-06-18T19:43:44Z,2022-06-18T19:43:44Z,2,2,1,7,16,0,16,899979.0
1176,Update last update badge to today [skip ci],0,True,True,2022-06-18T19:36:54Z,2022-06-18T19:36:54Z,1,1,0,1,1,1,2,900755.0
1184,docs: add Esser50K as a contributor for content,90,True,True,2022-06-18T19:22:18Z,2022-06-18T19:22:18Z,1,1,0,7,15,0,15,155.0
1183,fixes small typos in README.md,91,True,True,2022-06-18T19:09:42Z,2022-06-18T19:09:42Z,1,2,2,1,3,2,5,30234.0
1178,docs: add backend-joonyoung as a contributor for content,103,True,False,,2022-06-08T09:41:33Z,0,1,0,7,15,0,15,0
1114,"(5.7 ~ 5.13, 6.14~6.19) Korean-translation-kojoonyoung",40,True,True,2022-06-08T09:33:33Z,2022-06-08T09:33:33Z,9,3,6,18,591,92,683,16969131.0
1177,docs: add GuilhermePortella as a contributor for content,103,True,True,2022-06-08T09:35:24Z,2022-06-08T09:35:24Z,0,1,0,7,15,0,15,546.0
1139,Add Link Page and flag icon Indonesia,0,True,False,,2022-06-08T09:28:14Z,1,2,0,3,46,49,95,0
1172,Optimize images ,0,True,True,2022-06-08T09:23:53Z,2022-06-08T09:23:53Z,1,4,4,54,3,15,18,2204799.0
1174,Update last update badge to today [skip ci],0,True,True,2022-06-08T09:21:15Z,2022-06-08T09:21:15Z,0,2,0,1,1,1,2,1074123.0
1170,Update README.hebrew.md,40,True,False,,2022-06-05T21:52:42Z,4,2,0,1,4,3,7,0
1173,UPDATE,0,True,True,2022-05-26T22:58:52Z,2022-05-26T22:58:52Z,1,3,1,1,1,1,2,70450.0
1097,korean translation ,0,True,False,,2022-04-27T16:41:47Z,1,4,4,25,652,318,970,0
1168,Update last update badge to today [skip ci],0,True,False,,2022-04-15T14:51:03Z,0,1,0,1,1,1,2,0
1164,fix: broken link to a contributor's profile,0,True,True,2022-04-15T14:48:44Z,2022-04-15T14:48:44Z,1,3,1,1,1,1,2,967283.0
1166,Update last update badge to today [skip ci],0,True,True,2022-04-15T14:46:50Z,2022-04-15T14:46:50Z,1,2,0,1,1,1,2,839082.0
1167,docs: add soranakk as a contributor for content,90,True,True,2022-04-15T14:46:22Z,2022-04-15T14:46:23Z,1,1,0,7,15,0,15,838915.0
1165,fix link text in `breakintcomponents`.,33,True,True,2022-04-05T21:41:38Z,2022-04-05T21:41:38Z,1,3,2,8,10,10,20,41289.0
1163,Switch to gender neutral terms,409,True,False,,2022-03-31T12:09:50Z,1,2,1,9,302,302,604,0
1161,Update last update badge to today [skip ci],0,True,False,,2022-03-28T20:40:44Z,0,1,0,1,1,1,2,0
1162,docs: add euberdeveloper as a contributor for content,96,True,True,2022-03-28T20:40:08Z,2022-03-28T20:40:08Z,1,1,0,7,1167,956,2123,1641902.0
1160,fix(README.md): fix typo,24,True,True,2022-03-09T20:31:08Z,2022-03-09T20:31:08Z,2,3,6,1,1,1,2,70339.0
1155,docs: add p-lacerda as a contributor for content,95,True,False,,2022-02-20T15:26:58Z,0,2,3,2,12,0,12,0
1156,Update last update badge to today [skip ci],0,True,True,2022-02-21T06:37:03Z,2022-02-21T06:37:03Z,1,2,0,1,1,1,2,58293.0
1144,"reduce table shifting, add avatar templates",890,True,True,2022-02-20T23:08:13Z,2022-02-20T23:08:13Z,8,4,4,8,86,17,103,2227361.0
1152,Fix issue #1151,188,True,True,2022-02-13T15:10:42Z,2022-02-13T15:10:42Z,1,2,2,4,85,12,97,145685.0
1033,SeparateExpress: export app!,123,True,False,,2022-02-20T15:29:04Z,0,2,3,1,2,0,2,0
1032,"docs: make translation of ""otherwise"" consistent",102,True,False,,2022-02-20T15:29:00Z,1,4,4,1,2,2,4,0
1006,Make the web site a static website + create guide's pdf version,0,True,False,,2022-02-20T15:26:09Z,5,4,11,646,1311,1276,2587,0
1021,Added all new dutch translation files,123,True,False,,2022-02-20T15:25:57Z,0,3,6,89,1708,0,1708,0
1158,docs: add EverythingAvailable as a contributor for content,105,True,True,2022-02-20T14:53:29Z,2022-02-20T14:53:29Z,0,1,0,2,10,0,10,18.0
1095,korean translation 3.1~8.15 (sangwon),53,True,True,2022-02-20T14:49:57Z,2022-02-20T14:49:57Z,12,3,6,20,757,169,926,8951279.0
1123,Added another reference for setting NODE_ENV to production,0,True,True,2022-02-20T14:44:51Z,2022-02-20T14:44:51Z,1,3,1,1,6,0,6,6914287.0
1124,fix lint issues,0,True,True,2022-02-20T14:44:37Z,2022-02-20T14:44:37Z,1,3,1,1,0,2,2,6913947.0
1157,docs: add lykhatskyi as a contributor for content,96,True,True,2022-02-20T14:42:27Z,2022-02-20T14:42:28Z,0,1,0,2,12,0,12,8.0
1127,Change PM2 url ,96,True,True,2022-02-20T14:42:18Z,2022-02-20T14:42:18Z,1,3,2,1,1,1,2,4257963.0
1125,korean translation 6.1~6.7 / 7.1~7.2 / 8.1~ (jjy821),0,True,True,2022-02-20T14:34:59Z,2022-02-20T14:34:59Z,7,3,3,10,777,101,878,6596381.0
1143,fix the problem of the curly braces in the brazillian translation,35,True,True,2022-02-20T14:25:06Z,2022-02-20T14:25:06Z,1,3,2,1,2,1,3,2211164.0
1154,Update last update badge to today [skip ci],0,True,True,2022-02-13T15:12:07Z,2022-02-13T15:12:07Z,1,1,0,1,1,1,2,60.0
1153,docs: add Alex-Dumitru as a contributor for content,94,True,True,2022-02-13T15:11:33Z,2022-02-13T15:11:33Z,1,1,0,2,10,0,10,33.0
1149,docs: add MisterSingh as a contributor for content,93,True,True,2022-02-07T13:29:03Z,2022-02-07T13:29:03Z,1,1,0,2,10,0,10,7780.0
1147,Add Raz Luvaton to steering committee,17,True,True,2022-02-07T21:38:38Z,2022-02-07T21:38:38Z,2,2,0,1,13,3,16,354169.0
1141,Update last update badge to today [skip ci],0,True,True,2022-02-07T20:44:58Z,2022-02-07T20:44:58Z,1,1,0,1,1,1,2,1126236.0
1150,fix lint errors,0,True,True,2022-02-07T18:16:06Z,2022-02-07T18:16:07Z,1,2,0,1,1,3,4,17284.0
1148,Updated the formatting for the blog quotation,110,True,True,2022-02-07T11:19:22Z,2022-02-07T11:19:22Z,1,2,3,1,3,3,6,12489.0
1140,Add Josh-Hemphill to steering committee,17,True,True,2022-01-25T19:53:53Z,2022-01-25T19:53:53Z,1,2,1,1,14,3,17,38711.0
1135,Update last update badge to today [skip ci],0,True,True,2022-01-24T16:51:14Z,2022-01-24T16:51:14Z,1,2,0,1,1,1,2,29230.0
1134,docs: add jutiger as a contributor for content,93,True,True,2022-01-24T08:43:57Z,2022-01-24T08:43:57Z,0,1,0,2,10,0,10,1045.0
1081,Create bcryptpasswords.md,0,True,False,,2022-01-24T10:19:09Z,0,4,4,1,32,0,32,0
1133,Korea translation jutiger,0,True,True,2022-01-24T08:43:39Z,2022-01-24T08:43:39Z,1,2,2,3,14,16,30,1034180.0
1130,Update last update badge to today [skip ci],0,True,True,2022-01-09T15:21:15Z,2022-01-09T15:21:15Z,1,1,0,1,1,1,2,73.0
1131,docs: add koyanyaroo as a contributor for content,92,True,True,2022-01-09T15:20:39Z,2022-01-09T15:20:39Z,1,1,0,2,10,0,10,22.0
1129,Fix: typo  on 4.2 Include 3 parts in each test name,50,True,True,2022-01-09T15:19:45Z,2022-01-09T15:19:45Z,1,3,2,1,1,1,2,124367.0
1121,Update last update badge to today [skip ci],0,True,False,,2021-11-30T18:12:40Z,0,1,1,1,1,1,2,0
1119,Update last update badge to today [skip ci],0,True,True,2021-11-30T18:08:44Z,2021-11-30T18:08:44Z,1,1,0,1,1,1,2,98.0
1120,docs: add apainintheneck as a contributor for content,96,True,True,2021-11-30T18:08:10Z,2021-11-30T18:08:10Z,1,1,0,2,10,0,10,34.0
1118,Update code example 3.3,155,True,True,2021-11-30T18:06:43Z,2021-11-30T18:06:43Z,1,3,2,1,2,1,3,2566.0
1115,Update last update badge to today [skip ci],0,True,True,2021-11-29T14:18:06Z,2021-11-29T14:18:06Z,1,2,0,1,1,1,2,24373.0
1083,Collapsible ToC for increased accessibility,307,True,True,2021-11-29T07:31:27Z,2021-11-29T07:31:27Z,5,4,10,1,171,15,186,2417830.0
1108,docs: add jjy821 as a contributor for content,92,True,True,2021-11-21T08:33:16Z,2021-11-21T08:33:16Z,0,1,0,2,12,0,12,39.0
1106,docs: add antspk as a contributor for content,92,True,True,2021-11-21T08:26:56Z,2021-11-21T08:26:56Z,0,1,0,2,10,0,10,4496.0
1113,(5.7 ~ 5.13) Korean-translation-kojoonyoung,43,True,False,,2021-11-24T00:04:35Z,0,24,0,501,27058,2674,29732,0
