Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
12369,feat(fishy): add color to username,1189,True,True,2024-04-23T08:54:00Z,2024-04-23T08:54:00Z,1,2,1,1,2,1,3,268833.0
12371,fix(ssh-agent): add identity only if identity exists,622,True,True,2024-04-22T19:37:18Z,2024-04-22T19:37:18Z,0,2,3,1,1,1,2,208429.0
12375,Create cake.zsh-theme,824,True,False,,2024-04-22T16:40:24Z,0,2,1,1,5,0,5,0
12373,Create cupcake.zsh-theme,780,True,False,,2024-04-22T14:15:32Z,0,2,2,1,44,0,44,0
12358,fix(async): bypass zsh 5.0.2 crash on `zle reset-prompt`,810,True,True,2024-04-22T08:59:34Z,2024-04-22T08:59:35Z,1,2,0,2,7,11,18,492591.0
12367,feat(fzf): support fzf setup for 0.48.0 and older,652,True,True,2024-04-19T19:57:47Z,2024-04-19T19:57:47Z,1,2,0,1,11,1,12,11762.0
12368,Main,0,True,False,,2024-04-19T19:34:18Z,0,1,0,1,7,6,13,0
10872,fix(per-directory-history): print toggle message properly,815,True,True,2023-11-22T17:44:22Z,2023-11-22T17:44:22Z,2,6,17,1,4,4,8,50141716.0
12365,Add `t` option to omz_history function,828,True,True,2024-04-18T08:49:34Z,2024-04-18T08:49:34Z,1,3,1,1,1,1,2,1332.0
12357,fix(history): fix edge cases introduced in #12341,752,True,True,2024-04-16T17:38:58Z,2024-04-16T17:38:58Z,0,3,3,1,5,7,12,14062.0
12294,fix(mise): update environment when loading the plugin,707,True,True,2024-03-21T19:46:41Z,2024-03-21T19:46:41Z,1,2,0,1,3,0,3,30729.0
12341,Reverting to old behaviour when running just `history`,100,True,True,2024-04-09T16:09:27Z,2024-04-09T16:09:27Z,0,4,6,1,4,1,5,3935.0
12351,feat(tmux): sessions named as current dir,672,True,True,2024-04-16T07:52:12Z,2024-04-16T07:52:12Z,2,2,2,2,21,4,25,260426.0
12345,feat(git) Add alias for signed git commit amend,168,True,False,,2024-04-15T11:16:09Z,0,2,1,1,1,0,1,0
12347,fix(yarn): use `builtin cd` in completion,1394,True,True,2024-04-11T17:27:29Z,2024-04-11T17:27:29Z,1,2,2,1,4,4,8,22249.0
11684,Add podman-compose,768,True,False,,2024-04-12T12:06:08Z,0,1,0,3,478,0,478,0
12346,feat(poetry-env): support changing between two venv dirs,1463,True,True,2024-04-12T07:24:54Z,2024-04-12T07:24:54Z,1,3,2,1,19,19,38,141201.0
12204,cupcake,620,True,False,,2024-02-07T10:40:15Z,0,2,2,1,79,0,79,0
12340,fix(shell-proxy): support ssh-proxy using http proxy in cygwin,835,True,True,2024-04-10T13:39:19Z,2024-04-10T13:39:19Z,8,3,3,1,2,1,3,84144.0
12338,fix(history)!: fix arg passing to `fc` for `history` command,76,True,True,2024-04-09T06:07:57Z,2024-04-09T06:07:57Z,1,4,6,1,2,2,4,29112.0
12329,autojump plugin: fix for 'pkgsrc' installation path on macOS,922,True,True,2024-04-06T17:12:05Z,2024-04-06T17:12:05Z,1,2,2,1,1,0,1,3177.0
12337,feat(macos): `ofd` now opens any directory,1353,True,True,2024-04-09T10:19:14Z,2024-04-09T10:19:14Z,3,2,4,2,10,3,13,66931.0
12339,docs: fix typo,679,True,True,2024-04-09T10:18:05Z,2024-04-09T10:18:05Z,1,2,1,1,1,1,2,2021.0
12326,feat(git): add alias `gmc` for `git merge --continue`,665,True,True,2024-04-08T20:40:16Z,2024-04-08T20:40:16Z,1,3,1,2,2,0,2,317268.0
12310,feat(laravel): add `artisan test` alias (`pats`),781,True,True,2024-04-08T20:36:39Z,2024-04-08T20:36:39Z,2,3,3,2,2,0,2,804469.0
12302,Introduce `gwipe` alias,1371,True,True,2024-04-08T15:48:57Z,2024-04-08T15:48:57Z,1,2,1,1,1,0,1,1196306.0
10922,Update README for git-prompt to clarify how to use,669,True,True,2024-04-06T17:23:19Z,2024-04-06T17:23:19Z,2,3,0,1,4,0,4,60271499.0
12033,added: cloudflared plugin,620,True,False,,2024-04-06T04:08:22Z,0,1,0,1,206,0,206,0
12034,added: warp-cli plugin,620,True,False,,2024-04-06T04:08:16Z,0,1,0,1,88,0,88,0
12318,perf(async): avoid executing true,669,True,True,2024-04-04T14:20:20Z,2024-04-04T14:20:20Z,1,2,1,1,3,1,4,71602.0
12311,Update 3den.zsh-themes,620,True,False,,2024-04-04T08:10:14Z,0,2,1,1,5,5,10,0
493,Git plugin : fix/add aliases,63,True,False,,2013-12-03T06:53:25Z,0,2,1,1,5,1,6,0
12304,fix(async): avoid blocking the shell while waiting,1081,True,True,2024-04-03T17:42:47Z,2024-04-03T17:42:47Z,1,2,2,1,5,9,14,758557.0
12319,feat(git): implement async completion git_prompt_status,885,True,True,2024-04-03T19:32:16Z,2024-04-03T19:32:16Z,1,2,1,1,17,3,20,3636.0
12314,Added https httpie command to completion sources,681,True,True,2024-04-03T07:10:33Z,2024-04-03T07:10:34Z,1,2,1,1,1,1,2,46443.0
12309,fix(starship)!: keep `ZSH_THEME` when Starship is not found,1331,True,True,2024-03-30T07:25:34Z,2024-03-30T07:25:34Z,1,3,4,1,3,3,6,11904.0
12308,fix: add gcloud homebrew installation path,1039,True,True,2024-03-30T07:26:14Z,2024-03-30T07:26:14Z,1,2,1,1,1,0,1,134332.0
12306,ronskie/emoji,620,True,False,,2024-03-26T14:30:06Z,0,2,4,1,3,0,3,0
10624,feat(vagrant): add vagrant snapshot aliases,523,True,False,,2024-03-27T05:53:00Z,0,1,0,2,9,0,9,0
12299,feat(terraform): add `tft` (`terraform test`),772,True,True,2024-03-26T08:52:01Z,2024-03-26T08:52:01Z,1,2,1,2,15,13,28,220324.0
12303,style: remove trailing whitespace,652,True,True,2024-03-26T08:55:16Z,2024-03-26T08:55:16Z,1,2,2,73,138,138,276,44412.0
12301,fix(poetry-env): activate only if env exists,727,True,True,2024-03-26T08:54:05Z,2024-03-26T08:54:05Z,1,2,1,1,2,2,4,65711.0
12293,feat(jira): add help/usage cmd,1279,True,True,2024-03-26T08:48:14Z,2024-03-26T08:48:14Z,1,2,1,3,22,1,23,446240.0
