Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
577,Fix 404 papers,182,True,True,2019-10-22T00:08:47Z,2019-10-22T00:08:47Z,0,3,1,2,2,2,4,100077.0
584,Add Buenos Aires to the list of chapters,40,True,True,2019-11-15T03:57:53Z,2019-11-15T03:57:53Z,0,2,1,1,1,0,1,33528.0
588,Papers on Web Privacy,335,True,True,2019-11-23T22:40:34Z,2019-11-23T22:40:34Z,0,2,0,1,2,0,2,11721.0
597,Added script to download all (pdf) papers locally,0,True,True,2020-03-28T04:45:45Z,2020-03-28T04:45:45Z,0,4,9,3,80,0,80,212044.0
705,discord link and some readme updates,0,True,True,2023-01-10T14:53:15Z,2023-01-10T14:53:15Z,1,2,0,2,8,45,53,63730.0
655,fixes minor typos,0,True,True,2022-03-29T03:56:01Z,2022-03-29T03:56:01Z,0,2,1,1,3,3,6,2590.0
672,Remove dead links,177,True,True,2022-06-06T04:18:02Z,2022-06-06T04:18:02Z,0,2,1,2,0,12,12,37192.0
761,Update links in README.md,46,True,True,2023-07-19T09:41:43Z,2023-07-19T09:41:43Z,0,2,1,1,2,2,4,14649.0
367,README.md: Iasi chapter,23,True,True,2016-01-26T00:16:41Z,2016-01-26T00:16:41Z,0,2,2,1,1,0,1,294749.0
379,running w/ templates and README updates,61,True,True,2016-02-22T06:51:19Z,2016-02-22T06:51:19Z,1,3,1,3,41,20,61,174262.0
46,Einstein’s 1905 Paper,247,True,True,2014-03-19T12:05:43Z,2014-03-19T12:05:43Z,1,6,17,2,10,0,10,739852.0
772,add zanzibar paper for authorization,329,True,True,2023-09-04T21:57:07Z,2023-09-04T21:57:07Z,1,2,0,1,1,0,1,60340.0
770,Added Synthical (https://synthical.com),0,True,False,,2023-08-15T14:37:50Z,0,3,7,1,1,0,1,0
766,Added photogrammetry topic and two related paper + Color Constancy research article,492,True,True,2023-07-22T10:39:10Z,2023-07-22T10:39:10Z,0,2,0,1,9,0,9,33993.0
764,Added Matting and three paper for this topic,479,True,True,2023-07-21T10:24:21Z,2023-07-21T10:24:21Z,1,2,0,1,8,0,8,35339.0
758,Update CONTRIBUTING.md,60,True,False,,2023-07-11T07:47:29Z,0,2,0,1,5,5,10,0
757,Update README.md,52,True,False,,2023-07-04T18:42:41Z,0,2,0,1,1,1,2,0
752,Fix broken haskell paper link,215,True,True,2023-06-16T10:44:51Z,2023-06-16T10:44:51Z,0,2,0,1,1,1,2,57315.0
745,Adds b-tree-optimization paper,342,True,True,2023-05-14T19:09:35Z,2023-05-14T19:09:35Z,0,1,0,2,2,0,2,199.0
740,comment broken links,52,True,False,,2023-05-03T23:06:34Z,0,2,1,6,6,6,12,0
741,Correct links instead of commenting them out (override of #740),89,True,True,2023-05-03T23:06:06Z,2023-05-03T23:06:06Z,0,1,0,5,5,5,10,56.0
737,Improve Actor formalism paper source,183,True,True,2023-04-28T12:39:57Z,2023-04-28T12:39:57Z,1,2,0,2,2,0,2,8956.0
735,"Update link of Time, Clocks, and the Ordering of Events in a Distribu…",64,True,True,2023-04-07T10:33:47Z,2023-04-07T10:33:47Z,1,2,0,1,1,1,2,171.0
731,replacing dead domain with new links,33,True,True,2023-04-03T14:47:00Z,2023-04-03T14:47:00Z,0,1,0,1,3,3,6,100.0
724,Fixed broken link.,196,True,True,2023-03-04T18:46:57Z,2023-03-04T18:46:57Z,1,2,0,1,1,1,2,8551.0
718,Fix some broken links.,432,True,True,2023-02-07T00:46:27Z,2023-02-07T00:46:27Z,1,2,1,7,7,7,14,7347.0
715,Fix broken link of End-To-End Arguments in System Design,175,True,True,2023-01-29T13:00:45Z,2023-01-29T13:00:45Z,1,2,0,1,1,1,2,16568.0
712,Fix broken url of Fast String Searching,10,True,True,2023-01-17T11:02:52Z,2023-01-17T11:02:53Z,1,2,0,1,1,1,2,207.0
709,Update broken link to IronFleet paper,371,True,True,2023-01-15T13:33:20Z,2023-01-15T13:33:20Z,1,2,0,1,1,1,2,89842.0
700,add specializing ruby paper,108,True,True,2022-12-08T11:45:24Z,2022-12-08T11:45:24Z,0,2,0,1,3,0,3,25042.0
697,fixed link to article: Heap Architectures For Concurrent Languages Using,232,True,True,2022-11-04T21:59:19Z,2022-11-04T21:59:19Z,0,2,0,1,1,1,2,58784.0
696,"Fixing the link to Time, Clocks, and the Ordering of Events in a",228,True,True,2022-11-04T03:55:19Z,2022-11-04T03:55:19Z,0,2,1,1,1,1,2,5269.0
694,Merge from upstream,0,True,False,,2022-10-25T18:21:01Z,0,1,0,3,0,0,0,0
692,Adding a new paper to how read papers section of the read me,115,True,True,2022-10-01T01:43:02Z,2022-10-01T01:43:02Z,0,2,2,1,1,0,1,35968.0
691,Updated link for Cuckoo Hashing paper,138,True,True,2022-09-28T17:49:12Z,2022-09-28T17:49:12Z,0,2,1,1,1,1,2,55387.0
690,"feat: ""Emergent Economies for Role Playing Games""",400,True,True,2022-09-13T01:01:47Z,2022-09-13T01:01:47Z,0,2,0,1,4,0,4,182019.0
688,Update README.md,414,True,False,,2022-09-01T17:34:26Z,0,2,2,1,6,0,6,0
678,chore: add readme to computer_education section for consistency,0,True,True,2022-07-06T16:16:14Z,2022-07-06T16:16:14Z,0,2,0,1,4,0,4,246414.0
681,"Add link for Portland, OR chapter of Papers We Love",196,True,True,2022-07-09T21:26:52Z,2022-07-09T21:26:52Z,1,2,1,1,1,0,1,21721.0
677,Added Practical Common Lisp pdf,114,True,False,,2022-07-06T00:42:10Z,0,2,1,33,0,0,0,0
662,let lychee handle advanced globbing,222,True,True,2022-05-10T03:13:19Z,2022-05-10T03:13:19Z,0,3,2,1,1,1,2,2223053.0
664,Typo in CONTRIBUTING.md,65,True,True,2022-04-25T17:23:31Z,2022-04-25T17:23:32Z,0,2,1,1,1,1,2,214433.0
659,Fixes some broken links and increases max retries for lychee,86,True,True,2022-04-09T16:05:02Z,2022-04-09T16:05:02Z,0,2,0,5,7,7,14,1257.0
657,Switch to gender neutral terms,409,True,False,,2022-03-31T11:22:15Z,0,2,1,3,4,4,8,0
651,Update link on Reading Academic Papers,285,True,True,2022-01-28T11:12:47Z,2022-01-28T11:12:47Z,0,2,1,1,1,1,2,8278.0
646,Directly link to organizers repo,248,True,True,2022-01-25T20:12:13Z,2022-01-25T20:12:13Z,1,2,0,1,1,1,2,1634522.0
648,Update README.md,78,True,True,2022-01-25T20:11:20Z,2022-01-25T20:11:20Z,1,2,0,1,1,1,2,1506.0
640,Paper Title: Added Wide Open Spaces: A statistical technique for meas…,301,True,False,,2022-01-03T17:20:19Z,0,2,1,2,2,1,3,0
643,Fixed a few more broken links,0,True,True,2021-12-31T19:05:11Z,2021-12-31T19:05:11Z,0,2,0,7,9,10,19,5147.0
641,Fixed broken links,141,True,True,2021-12-31T16:52:14Z,2021-12-31T16:52:14Z,1,2,1,13,30,32,62,5050.0
639,Added paper on soccer analytics,454,True,False,,2021-12-30T21:30:33Z,0,1,0,1,0,0,0,0
613,Add Privacy Papers for Visual Data,467,True,True,2020-09-16T05:34:22Z,2020-09-16T05:34:22Z,0,2,0,1,4,0,4,75227.0
