Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
430,Python / Data Science: Data Science Learning Paths,757,True,False,,2024-04-12T11:30:16Z,0,1,0,1,7,1,8,0
491,Removed Error Link from Javascript project - pure-javascript-building-a-real-world-application-from-scratch,544,True,False,,2024-03-18T14:25:29Z,0,2,2,1,0,1,1,0
477,Added Pandas Tutorial in Python,458,True,False,,2024-03-10T19:11:15Z,0,1,0,1,3,0,3,0
529,Update README.md - Add: Building the Flappy Bird A.I. without LIBRARIES,702,True,False,,2024-03-04T19:05:59Z,0,1,0,1,1,0,1,0
346,PR for solving issues #259 and #140 ,1631,True,False,,2024-03-03T05:59:21Z,0,1,0,1,176,106,282,0
526,Newbranch,458,True,False,,2024-02-25T06:02:10Z,0,1,0,2,8,1,9,0
527,README.md from cloned project committed!,458,True,False,,2024-02-25T06:01:21Z,0,1,0,1,5,1,6,0
487,Update CONTRIBUTING.md,441,True,False,,2024-02-06T07:45:12Z,0,1,0,1,11,11,22,0
464,Changing the url for the adventure presentation,726,True,False,,2024-01-23T13:05:45Z,0,1,0,1,1,1,2,0
511,Update README.md | Create a Neural Network in JavaScript,497,True,False,,2024-01-17T19:53:16Z,0,1,0,1,1,0,1,0
510,Update README.md | Pure Javascript OCR for more than 100 Languages,507,True,False,,2024-01-17T19:53:15Z,0,1,0,1,1,0,1,0
505,Add Back To Top link in README.md,886,True,False,,2023-12-28T18:36:26Z,0,1,0,1,4,0,4,0
488,test,458,True,False,,2023-12-11T13:09:39Z,0,1,0,1,1,0,1,0
481,Add Spotify-Clone tutorial,458,True,False,,2023-12-03T08:33:47Z,0,1,0,1,1,0,1,0
445,url change,127,True,False,,2023-07-30T10:46:54Z,0,0,0,1,1,1,2,0
362,Added two .net MAUI projects on the C# section,0,True,False,,2022-08-25T15:51:59Z,0,2,1,1,2,0,2,0
451,Updated README.md and fixed issue #344,778,True,False,,2023-09-16T05:07:35Z,0,1,0,1,1,1,2,0
426,Removed Broken Links,560,True,False,,2023-08-17T07:48:11Z,0,1,0,1,0,4,4,0
384,Added 2 resources,901,True,False,,2023-08-15T06:10:12Z,1,2,0,1,2,0,2,0
323,added new stalebot exemptlabels,65,True,True,2021-09-02T08:20:53Z,2021-09-02T08:20:53Z,0,2,1,1,4,0,4,316131.0
432,Create pull_request.ask,458,True,False,,2023-07-31T08:05:47Z,0,1,0,1,1,0,1,0
441,Update README.md,458,True,False,,2023-06-30T05:02:50Z,0,1,0,1,1,0,1,0
437,Update README.md,458,True,False,,2023-06-06T19:06:24Z,0,1,0,1,2,0,2,0
434,Imdb movie scraper,0,True,False,,2023-05-28T06:31:58Z,0,1,0,2,54,0,54,0
