Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
3838,Add Swedavia to Transportation,529,True,False,,2024-04-22T20:22:51Z,0,2,1,1,1,0,1,0
3837,Remove AniAPI,586,True,False,,2024-04-16T02:23:14Z,0,1,0,1,0,1,1,0
3425,Add Rows API,514,True,False,,2024-04-14T18:55:58Z,0,1,0,1,1,0,1,0
3830,Add BCV  (Banco Central de Venezuela) Exchange Rate API,514,True,False,,2024-04-11T20:39:01Z,0,1,0,1,1,0,1,0
3809,new element :,514,True,False,,2024-04-10T15:07:16Z,0,2,0,1,0,0,0,0
3829,added text,514,True,False,,2024-04-10T15:07:04Z,0,2,1,1,1,1,2,0
3826,Remove anonfile API,591,True,False,,2024-04-08T12:49:24Z,0,1,0,1,0,1,1,0
3501,Added Archer API to Video category/section,514,True,False,,2024-04-08T12:07:39Z,0,1,0,1,1,0,1,0
3813,Add Nba GraphQL API,514,True,False,,2024-03-27T17:09:02Z,0,1,0,1,3,0,3,0
3811,Nba,514,True,False,,2024-03-27T16:17:53Z,0,1,0,1,3,1,4,0
3554,add NBA Stats API,514,True,False,,2024-03-27T16:17:53Z,0,1,1,1,1,0,1,0
3679,Update README.md,514,True,False,,2024-03-17T16:14:55Z,1,3,1,1,1,1,2,0
3688,Update README.md,514,True,False,,2024-03-17T16:14:35Z,0,2,0,1,0,67,67,0
3690,Update README.md,514,True,False,,2024-03-17T16:14:10Z,0,2,0,1,1,1837,1838,0
3756,Nuh uh,514,True,False,,2024-03-17T16:13:23Z,0,2,0,1,1,60,61,0
3773,Update LICENSE,514,True,False,,2024-03-17T16:13:03Z,0,2,0,1,99,21,120,0
3774,AY1,514,True,False,,2024-03-17T16:10:57Z,0,2,0,1,99,0,99,0
3783,Revert 1 09370294856 patch 1,390,True,False,,2024-03-17T16:10:37Z,0,2,0,0,0,0,0,0
3806,Fix broken link for Deutscher Bundestag DIP,514,True,False,,2024-03-17T11:53:21Z,0,1,1,1,1,1,2,0
3785,AYAAN_VIP,365,True,False,,2024-03-15T18:20:54Z,0,3,1,2,10,1837,1847,0
3796,Add Tracking API,32,True,False,,2024-03-14T02:51:05Z,0,2,1,1,1,0,1,0
3720,adding tables and formatting for Postman Collections,514,True,False,,2024-03-14T00:17:06Z,0,1,0,3,2006,266,2272,0
3788,added two new APIs,551,True,False,,2024-03-06T12:50:18Z,0,3,1,1,3,0,3,0
3787,added two APIs,514,True,False,,2024-03-05T17:21:05Z,0,2,0,1,3,0,3,0
3784,Update and rename README.md to AYAAN_VIP🛰🇮🇷,365,True,False,,2024-03-04T20:45:28Z,0,1,1,2,10,1837,1847,0
3510,Add Databento API,514,True,False,,2024-03-02T21:46:24Z,1,3,2,1,3,0,3,0
3356, Add Eltiempo.es  API to  Weather,514,True,False,,2024-03-02T00:31:11Z,0,1,0,1,1,0,1,0
2491,Add Mockaroo API to Test Data,562,True,True,2021-10-24T21:27:48Z,2021-10-24T21:27:48Z,1,2,0,1,1,0,1,1139996.0
3767,Update README.md,514,True,False,,2024-02-22T21:33:07Z,0,1,0,1,1,1,2,0
3270,Add geniURL API,514,True,False,,2024-02-12T11:22:42Z,0,2,1,1,1,0,1,0
3468,Upgrade GitHub Actions,514,True,False,,2024-02-10T10:02:26Z,0,1,0,3,9,9,18,0
1764,Rename Pyschonauts -> Psychonauts,517,True,True,2021-06-07T04:56:22Z,2021-06-07T04:56:22Z,1,2,0,1,1,1,2,131212.0
3455,Add OpenTripPlanner API,43,True,False,,2024-02-03T13:54:13Z,0,1,0,1,2,1,3,0
3530,Added ElevateAI,514,True,False,,2024-02-01T17:39:48Z,0,1,0,1,1,0,1,0
3529,Added Neplix Torrent API,514,True,False,,2024-01-27T18:02:08Z,0,1,0,1,2,1,3,0
3736,New branch,514,True,False,,2024-01-10T19:56:21Z,0,2,1,244,19929,1,19930,0
3733,Add manyapis.com to the Currency Exchange,514,True,False,,2024-01-01T07:04:44Z,0,1,0,1,1,0,1,0
3400,Add ADVICE API,714,True,False,,2023-12-26T04:16:23Z,0,1,0,1,1681,1579,3260,0
3579,Add realip.cc,514,True,False,,2023-12-21T02:37:35Z,0,1,0,1,1,0,1,0
3344,Update and correct owo.vc information,678,True,False,,2023-12-17T23:44:06Z,0,2,1,1,1,1,2,0
3716,Add Fygraph API,518,True,False,,2023-12-05T12:15:44Z,0,1,0,1,1,0,1,0
3713,Update README.md,570,True,False,,2023-12-04T07:40:03Z,0,1,1,1,1,0,1,0
3702,Added Stephen King API to Books,514,True,False,,2023-11-17T01:19:49Z,0,1,0,1,1,0,1,0
3476,Added signNow eSignature API link for Documents & Productivity section,514,True,False,,2023-11-01T10:32:10Z,0,1,0,1,1,0,1,0
3678,Update README.md,514,True,False,,2023-10-28T16:58:44Z,0,1,2,1,1,1,2,0
3148,Update README.md,581,True,False,,2022-05-13T01:21:29Z,0,2,2,1,1,0,1,0
3667,Adding_Myself,148,True,False,,2023-10-19T16:18:19Z,0,2,0,1,3,0,3,0
3524,Added WhatsApp API,514,True,False,,2023-10-18T20:43:59Z,0,1,0,1,1,0,1,0
3665,Test2023 10 16,514,True,False,,2023-10-17T19:45:45Z,0,4,0,6,155,94,249,0
3655,Update README.md,553,True,False,,2023-10-17T16:40:40Z,0,2,1,1,0,1,1,0
3268,Added developer jobs uk and remoteuk api,514,True,False,,2023-10-04T10:40:19Z,2,6,6,1,2,0,2,0
3446,added pdfEndpoint - HTML and URL to PDF API,514,True,False,,2023-10-02T13:19:42Z,0,2,1,1,1,0,1,0
3654,added: monobank,560,True,False,,2023-10-04T21:48:11Z,0,1,0,1,1,0,1,0
3635,Kunal,514,True,False,,2023-09-19T21:16:36Z,0,1,0,1,1,1,2,0
3618,Update test_of_push_and_pull.yml,514,True,False,,2023-09-02T21:21:49Z,1,3,0,1,1,0,1,0
3566,added jeyyapi to photography,514,True,False,,2023-09-06T06:44:38Z,0,1,0,1,1,0,1,0
3448,Create games devlopment,514,True,False,,2023-09-04T20:14:42Z,0,0,0,1,20,0,20,0
3620,Create asd,514,True,False,,2023-09-02T21:21:34Z,1,2,0,1,1,0,1,0
3409,Remove extra chuck norris DB that does not work ,663,True,False,,2023-08-25T20:14:41Z,0,1,2,1,0,1,1,0
3328,Add TimeZones iCal Library to Calendar,706,True,False,,2023-08-17T09:29:37Z,0,1,0,1,1,0,1,0
3461,remove deprecated and broken yahoo finance API,35,True,False,,2023-08-15T15:26:58Z,0,1,0,1,8,9,17,0
3600,Add Padelquest API,529,True,False,,2023-08-06T15:07:25Z,0,1,0,1,1,0,1,0
3452,Add RandomBigCat API,514,True,False,,2023-07-12T09:30:48Z,0,1,1,1,1,0,1,0
3549,Fixing Yahoo Finance API link on README.md,514,True,False,,2023-07-08T01:49:32Z,0,1,0,1,1,1,2,0
3500,Pls accept my changes,514,True,False,,2023-06-21T07:05:38Z,0,4,1,1,1,1,2,0
3550,Added Raindrop.io API,514,True,False,,2023-06-26T17:11:39Z,0,1,0,1,1,0,1,0
3551,Update test_validate_links.py,514,True,False,,2023-06-23T19:39:43Z,0,2,0,1,1,0,1,0
3522,Grammar mistakes,514,True,False,,2023-06-21T07:07:35Z,0,2,0,2,4,2,6,0
3519,Create algo.py,514,True,False,,2023-06-21T07:06:43Z,0,2,0,1,44,0,44,0
3507,Test,514,True,False,,2023-06-21T07:06:22Z,0,2,0,1,102,0,102,0
3492,Update and rename test_validate_format.py to Facebook,514,True,False,,2023-06-21T07:05:12Z,0,2,0,2,1,466,467,0
3407,I'm trying,514,True,False,,2023-06-21T07:03:27Z,0,3,1,1,1,0,1,0
3548,Create Final Assignment,514,True,False,,2023-06-21T06:59:53Z,0,2,0,1,4,0,4,0
3542,Add Stores API by FindOpenHours.org,635,True,False,,2023-06-15T11:17:42Z,0,1,1,1,1,0,1,0
3538,Add Italian Jokes to the Games & Comics section,514,True,False,,2023-06-14T22:50:37Z,0,1,0,1,1,0,1,0
3525,Update README.md Some Animal APIs,541,True,False,,2023-06-10T06:29:55Z,0,1,0,1,7,0,7,0
3532,Added Reconmap API,514,True,False,,2023-06-10T05:02:01Z,0,1,0,1,1,0,1,0
2487,Add Reconmap,548,True,False,,2021-11-24T08:14:19Z,1,3,2,1,1,0,1,0
3527,added buffy api,514,True,False,,2023-06-08T05:39:25Z,0,1,0,1,1,0,1,0
3523,Add api.neotastisch.de,514,True,False,,2023-06-03T15:41:24Z,0,1,0,1,1,0,1,0
3521,testing a pull request,514,True,False,,2023-05-31T16:36:32Z,0,1,0,1,2,0,2,0
3514,Added dadjokes.io api to line 1315 (personailty section),514,True,False,,2023-05-24T12:04:44Z,0,1,0,1,1,0,1,0
3479,Add: Codeforces Readme Stats,514,True,False,,2023-05-01T18:19:11Z,0,1,0,1,1,0,1,0
3505,Removing pixelencounter from public api,623,True,False,,2023-04-27T15:13:55Z,0,1,0,1,0,1,1,0
3305,typo correction for Tax data  line 779,562,True,False,,2023-04-18T10:17:23Z,0,2,1,1,1,1,2,0
3471,Add Atlas Academy API,514,True,False,,2023-04-04T06:05:25Z,0,1,0,1,1,0,1,0
