Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
12338,fix(webdriver): redirects emit request events,66,True,True,2024-04-26T10:28:11Z,2024-04-26T10:28:11Z,3,3,1,2,11,7,18,65798.0
12347,test: reduce flakiness and types,15,True,True,2024-04-26T10:21:21Z,2024-04-26T10:21:21Z,1,2,0,2,17,22,39,2577.0
12346,test: remove some flakiness,13,True,True,2024-04-26T08:58:03Z,2024-04-26T08:58:03Z,1,2,0,3,7,24,31,401.0
12344,fix: roll to Chrome 124.0.6367.91 (r1274542),117,True,True,2024-04-26T08:34:17Z,2024-04-26T08:34:17Z,1,2,0,2,3,2,5,8982.0
12339,refactor: configure https error handling globally,68,True,True,2024-04-26T08:16:33Z,2024-04-26T08:16:33Z,2,3,0,6,20,47,67,56054.0
12345,test: filter out favicon requests,0,True,True,2024-04-26T08:04:54Z,2024-04-26T08:04:54Z,1,2,0,1,1,1,2,3032.0
12337,test: split test to be more fine grained,0,True,True,2024-04-25T16:26:39Z,2024-04-25T16:26:39Z,1,2,1,4,230,57,287,1089.0
12334,test: update expectation comment,0,True,True,2024-04-25T13:29:30Z,2024-04-25T13:29:30Z,1,2,0,1,1,1,2,435.0
12330,feat(webdriver): support `page.setUserAgent` for WebDriver BiDi,0,True,True,2024-04-25T12:37:39Z,2024-04-25T12:37:39Z,1,2,0,4,106,23,129,2727.0
12315,feat(webdriver): support ARIA selectors,142,True,True,2024-04-25T10:32:04Z,2024-04-25T10:32:04Z,2,2,0,8,106,49,155,94925.0
12318,chore: release main,738,True,True,2024-04-25T10:19:43Z,2024-04-25T10:19:43Z,1,1,3,602,59,25,84,91996.0
12326,ci: switch to macos-13,6,True,True,2024-04-25T10:02:30Z,2024-04-25T10:02:30Z,1,2,0,4,17,17,34,849.0
12317,chore: make a single visibility check,114,True,True,2024-04-24T13:13:09Z,2024-04-24T13:13:09Z,1,2,0,2,5,8,13,17400.0
12322,chore: remove type castings,78,True,True,2024-04-24T12:26:01Z,2024-04-24T12:26:01Z,1,2,0,14,58,76,134,1452.0
12321,test: change test for BrowserContext,114,True,True,2024-04-24T11:40:43Z,2024-04-24T11:40:43Z,1,2,0,2,59,56,115,1522.0
12309,fix(webdriver): configure Firefox to start with the default user context only,195,True,False,,2024-04-24T11:40:44Z,8,3,0,5,107,60,167,0
12320,fix(performance): speed up Firefox profile creation,134,True,True,2024-04-24T10:57:03Z,2024-04-24T10:57:03Z,1,3,0,1,20,10,30,3529.0
12319,build(deps): bump chromium-bidi to 0.5.19,0,True,True,2024-04-24T09:55:01Z,2024-04-24T09:55:01Z,1,2,0,2,5,5,10,391.0
12314,fix: roll to Chrome 124.0.6367.78 (r1274542),117,True,True,2024-04-24T08:44:50Z,2024-04-24T08:44:50Z,1,2,0,2,3,2,5,9576.0
12316,chore: update FF expectations after latest nighty,0,True,True,2024-04-24T08:30:23Z,2024-04-24T08:30:23Z,1,2,0,1,0,21,21,658.0
12312,ci: test slim,0,True,False,,2024-04-23T19:44:41Z,0,1,0,1,1,1,2,0
12310,test: fail faster if browser crashes,106,True,True,2024-04-23T15:01:57Z,2024-04-23T15:01:57Z,1,2,0,1,3,0,3,332.0
12307,build(deps): bump chromium-bidi to 0.5.18,0,True,True,2024-04-23T12:22:21Z,2024-04-23T12:22:21Z,1,2,0,3,5,12,17,1892.0
12280,chore: release main,574,True,True,2024-04-23T09:41:35Z,2024-04-23T09:41:35Z,1,1,2,601,147,77,224,594023.0
12154,chore: don't detach CdpSession,183,True,True,2024-04-23T08:49:35Z,2024-04-23T08:49:35Z,6,2,2,2,19,8,27,2395971.0
12305,feat: roll to Chrome 124.0.6367.60 (r1274542),117,True,True,2024-04-23T07:42:06Z,2024-04-23T07:42:06Z,1,2,0,7,16,22,38,5855.0
12303,docs: setup a redirect for network page,0,True,True,2024-04-22T08:57:20Z,2024-04-22T08:57:20Z,1,2,0,1,4,0,4,100.0
12287,fix(cdp): issue with network interception and redirects with protocol update,11,True,False,,2024-04-22T08:49:16Z,5,2,1,3,532,1,533,0
12297,chore(deps-dev): Bump the dev-dependencies group with 8 updates,6815,True,True,2024-04-22T08:42:01Z,2024-04-22T08:42:01Z,1,1,0,6,166,157,323,116040.0
