Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
44256,maintain correct content offset when scroll view is suspended,872,True,False,,2024-04-25T16:25:06Z,0,2,2,1,4,1,5,0
44051,fix: android native rejections should be instanceof Error,685,True,False,,2024-04-25T15:54:14Z,0,4,4,1,49,12,61,0
44252,Defines module for React-jsinspector,982,True,False,,2024-04-25T15:25:20Z,0,2,4,1,2,1,3,0
44248,Run Android Build and Tests Against 8-core-ubuntu,459,True,False,,2024-04-25T13:47:15Z,0,3,5,1,2,2,4,0
44231,delete feature flag enableCustomDrawOrderFabric,159,True,False,,2024-04-25T11:50:51Z,0,3,5,20,32,137,169,0
44232,clean up interfaces for view preallocation,278,True,False,,2024-04-25T11:43:36Z,0,3,4,9,21,28,49,0
44180,Align debugger Chrome launch flags with Meta-internal version,420,True,False,,2024-04-22T15:42:56Z,0,2,3,1,12,1,13,0
44167,Fallback to the first `foregroundInactive` window when there are no `foregroundActive` windows in RCTKeyWindow,474,True,False,,2024-04-25T10:33:15Z,0,2,5,1,26,10,36,0
44244,chore(dev-middleware): add `localhost` as default host in `start` command config,451,True,False,,2024-04-25T10:07:02Z,2,4,4,2,4,5,9,0
43945,[Fabric] img events fixes for ios and android,453,True,False,,2024-04-24T23:32:08Z,11,6,8,15,118,37,155,0
44229,Deploy 0.235.1 to xplat,89,True,False,,2024-04-24T23:01:36Z,0,3,2,4,7,6,13,0
44236,decouple commit from mount on Android,2485,True,False,,2024-04-24T21:59:12Z,0,3,3,35,348,94,442,0
43726,[IOS]: Update Fabric Code Clarity,1151,True,False,,2024-04-24T19:37:49Z,1,3,1,2,181,199,380,0
44185,Fix Symbol not found: (_JSGlobalContextSetInspectable),364,True,False,,2024-04-22T21:03:19Z,3,4,5,1,2,0,2,0
44238,Fix PointerEvents not dispatching post-scroll,145,True,False,,2024-04-24T15:25:48Z,0,3,4,1,1,1,2,0
44121,Implement `requestIdleCallback` and `clearIdleCallback` in Bridgeless mode,463,True,False,,2024-04-24T15:24:14Z,0,3,4,2,192,0,192,0
44164,"Back out ""Use modern Differentiator ""sliceChildShadowNodeViewPairs"" in tests""",231,True,False,,2024-04-24T15:12:01Z,0,3,2,10,135,41,176,0
44204,Extend Property Processor to support long properties,254,True,False,,2024-04-24T14:59:41Z,0,4,2,6,95,7,102,0
44224,Make sure to return a color for API < 26,498,True,False,,2024-04-24T14:52:45Z,0,3,4,1,56,12,68,0
44208,Rollout enableFabricPendingEventQueue feature flag,87,True,False,,2024-04-24T13:34:51Z,0,3,4,4,1,7,8,0
44188,Split scheduler commit and flush delegate methods,828,True,False,,2024-04-24T11:04:19Z,0,3,5,9,82,8,90,0
44233,remove from build script,219,True,False,,2024-04-24T10:57:45Z,0,3,6,2,1,9,10,0
43054,runtime cxx module autolinking,1554,True,False,,2024-02-20T07:56:57Z,0,4,5,3,104,0,104,0
44227,Fixing exposing ReactDelegate through ReactActivity for reload(),95,True,False,,2024-04-24T07:24:55Z,0,3,5,1,2,2,4,0
38293,Fix text drawing with border and background on iOS Fabric,717,True,False,,2024-04-24T05:13:40Z,0,4,7,3,64,4,68,0
36175,Fix FlatList ItemSeparatorComponent type,207,True,False,,2024-04-24T05:01:22Z,1,5,10,2,6,2,8,0
40762,[Android] fix cursor position for overflowed text on TextInput,1250,True,False,,2024-04-24T05:01:21Z,1,4,3,3,20,2,22,0
44197,remove unused functions from RuntimeExecutor.h,201,True,False,,2024-04-24T02:48:06Z,0,3,5,1,0,40,40,0
44221,Pre-suppress unsafe string key access errors in xplat/js,263,True,False,,2024-04-23T18:48:46Z,0,2,3,22,47,7,54,0
44225,"Back out ""Update ColorPropConverterto support color function values""",139,True,False,,2024-04-23T21:02:17Z,0,3,4,2,7,44,51,0
44186,Fix space/tab indentation in template project.pbxproj,594,True,False,,2024-04-23T01:20:48Z,0,3,5,1,1,1,2,0
44209,tear down surfaces when React Native instance is destoyed,539,True,False,,2024-04-23T17:24:23Z,0,3,5,20,152,38,190,0
44206,Clean up feature flag for mount hooks on Android,213,True,False,,2024-04-23T15:53:09Z,0,3,4,20,30,134,164,0
43036,[Android] Add isWideColorGamutEnabled to ReactActivityDelegate,588,True,False,,2024-04-23T15:43:08Z,0,3,3,1,14,0,14,0
43031,[Android] Update ColorPropConverterto support color function values,712,True,False,,2024-04-23T15:43:07Z,0,3,4,1,34,6,40,0
44089,Backport fix for Ccache from 0.74 to main,730,True,False,,2024-04-15T17:15:40Z,0,3,4,1,18,3,21,0
44172,Expose JSExceptionHandler to ReactNativeHost,120,True,False,,2024-04-23T11:09:31Z,0,3,6,3,8,1,9,0
44182,reset animation state in TouchableOpacity and TouchableBounce,549,True,False,,2024-04-23T10:24:56Z,0,2,4,2,2,0,2,0
41282,"Back out ""Apply Babel arrow transform only when needed""",162,True,False,,2023-11-01T16:31:22Z,0,3,8,1,4,3,7,0
41029,Fix android platform border color (#39893),833,True,False,,2024-04-23T05:01:02Z,0,4,4,1,19,2,21,0
41030,Fix android platform border color (#39893),1667,True,False,,2024-04-23T05:01:00Z,0,5,5,1,19,2,21,0
44196,decouple BufferedRuntimeExecutor from various targets,248,True,False,,2024-04-23T01:44:31Z,0,3,4,2,1,2,3,0
44189,Fix findNodeAtPoint returns incorrect view,377,True,False,,2024-04-22T23:14:39Z,0,2,0,14,20,12,32,0
44184,Update ktfmt component on FBS:master,53,True,False,,2024-04-22T19:47:42Z,0,3,3,6,10,0,10,0
44170,Refactor ReactHostImpl to simplify logging,306,True,False,,2024-04-22T18:18:08Z,0,3,5,1,13,21,34,0
44123,[Codegen] fix array enum prop parsing for array enum types,274,True,False,,2024-04-22T18:02:52Z,0,6,11,7,76,19,95,0
44181,Update debugger-frontend from b6c974c...24b0c81,222,True,False,,2024-04-22T15:16:32Z,0,3,5,3,4,4,8,0
44179,Fix @react-native/oss-library-example package.json#exports,287,True,False,,2024-04-22T12:26:26Z,0,2,4,1,1,1,2,0
44165,Fix font scaling when `numberOfLines` is not set on Android on the new arch,3747,True,False,,2024-04-22T11:18:33Z,1,4,5,1,1,0,1,0
44169,disable event loop,2291,True,False,,2024-04-19T18:08:07Z,0,3,4,2,1,21,22,0
40923,Update hermes-utils.js,32,True,False,,2024-04-20T05:13:17Z,0,3,4,1,2,2,4,0
42115,Delete bridge/JSIModule*,1010,True,False,,2024-04-19T18:59:56Z,0,3,5,12,1,270,271,0
44155,"Add ReactSoftException in ReactHostImpl only when onActivityResult, onNewIntent and onWindowFocusChange do not have the context",259,True,False,,2024-04-19T18:59:55Z,0,3,5,1,14,11,25,0
44156,NIT Changelog,103,True,False,,2024-04-19T18:44:11Z,0,2,4,1,2,2,4,0
44163,Don't enlarge font when `adjustFontSizeToFit` is set on iOS on the new architecture,3810,True,False,,2024-04-19T17:24:35Z,1,4,5,1,5,0,5,0
43327,Allow ReactCommon/Folly to be used in Swift libraries (DEFINES_MODULE) (#31858),1485,True,False,,2024-03-05T15:40:59Z,0,4,3,2,2,0,2,0
44166,Remove `_textStorageForNSAttributesString` which is unused,300,True,False,,2024-04-19T16:23:58Z,0,2,3,1,0,29,29,0
44109,rename PopupMenuAndroid.onPopupDismiss,220,True,False,,2024-04-19T15:39:56Z,0,3,5,4,9,8,17,0
43528,Improve reusability for RCTRootViewFactory,532,True,False,,2024-04-19T13:17:25Z,4,5,6,2,23,13,36,0
44160,[Android] Fixes Android tests build error,220,True,False,,2024-04-19T14:11:29Z,0,3,4,7,9,7,16,0
44154,0.72.13 Changelog,54,True,False,,2024-04-19T11:17:40Z,0,3,4,1,14,0,14,0
44161,Update debugger-frontend from 1467870...b6c974c,222,True,False,,2024-04-19T09:46:02Z,0,2,4,7,8,7,15,0
37933,a workground to fix iOS CGBitmapContextCreateImage crash,550,True,False,,2024-04-19T05:01:23Z,0,2,4,1,65,9,74,0
44152,"Back out ""Use ClassFinder inside ViewManagerPropertyUpdater""",489,True,False,,2024-04-19T01:08:14Z,0,3,5,1,3,8,11,0
44114,Use ClassFinder inside ViewManagerPropertyUpdater,264,True,False,,2024-04-17T10:48:39Z,0,2,5,1,2,1,3,0
44131,"Use modern Differentiator ""sliceChildShadowNodeViewPairs"" in tests",549,True,False,,2024-04-19T00:41:39Z,0,2,3,10,41,135,176,0
