Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
28843,[Not for merge] 18.3 Release,379,True,False,,2024-04-25T17:51:36Z,3,6,2,67,1181,519,1700,0
28798,Move Current Owner (and Cache) to an Async Dispatcher,935,True,False,,2024-04-25T17:47:52Z,3,6,3,22,232,177,409,0
28912,(Land #28798) Move Current Owner (and Cache) to an Async Dispatcher,191,True,True,2024-04-25T17:40:40Z,2024-04-25T17:40:40Z,0,4,1,21,231,176,407,517.0
28909,Reconciler: Change `commitUpdate` signature to account for unused `updatePayload` parameter,457,True,True,2024-04-25T17:14:07Z,2024-04-25T17:14:07Z,3,4,1,6,2,29,31,8915.0
28905,"Update canary channel label to ""beta""",142,True,True,2024-04-25T17:14:33Z,2024-04-25T17:14:33Z,0,3,1,2,3,3,6,86766.0
28911,Go back to shared refs instance object,275,True,True,2024-04-25T17:03:21Z,2024-04-25T17:03:22Z,1,4,1,3,38,11,49,2895.0
28910,Support ref cleanup function for imperative handle refs,55,True,True,2024-04-25T16:51:41Z,2024-04-25T16:51:41Z,2,6,3,2,103,17,120,6535.0
28813,Rename the react.element symbol to react.transitional.element,493,True,True,2024-04-22T16:39:56Z,2024-04-22T16:39:56Z,4,7,9,18,345,227,572,1034054.0
28750,Add descriptions of new methods to the react-reconciler readme,96,True,True,2024-04-25T13:37:55Z,2024-04-25T13:37:55Z,1,4,1,1,24,0,24,1786403.0
28894,[Flight][Fizz] ping work within current task,538,True,False,,2024-04-25T01:07:59Z,2,5,2,13,45,5,50,0
28904,warn -> error for Test Renderer deprecation,112,True,True,2024-04-24T18:54:39Z,2024-04-24T18:54:39Z,2,5,1,8,32,42,74,10505.0
28906,Update README.md,38,True,False,,2024-04-24T17:34:19Z,0,4,2,2,2,1,3,0
28491,Add `React.useActionState`,9480,True,True,2024-03-22T17:03:44Z,2024-03-22T17:03:45Z,9,14,17,18,262,48,310,1515775.0
28271,[react-dom] move all client code to `react-dom/client`,2619,True,True,2024-04-24T15:50:33Z,2024-04-24T15:50:33Z,3,5,2,51,1715,2052,3767,6646672.0
28879,"Unrevert ""Support writing to this.refs from userspace""",90,True,True,2024-04-24T14:03:09Z,2024-04-24T14:03:09Z,3,5,2,3,35,11,46,416424.0
28899,Create short link for jsx warning,44,True,True,2024-04-24T13:32:11Z,2024-04-24T13:32:11Z,1,4,1,1,1,3,4,40059.0
28902,Update App.test.js,52,True,False,,2024-04-24T12:22:12Z,0,3,2,1,1,0,1,0
28773,eslint-plugin-react-hooks: Add support for ESLint v9,603,True,True,2024-04-23T21:29:01Z,2024-04-23T21:29:01Z,6,5,1,6,618,91,709,1490406.0
28896,Remove automatic fetch `cache` instrumentation,704,True,True,2024-04-23T18:14:12Z,2024-04-23T18:14:12Z,1,4,1,12,0,459,459,2511.0
28895,Add ref callback test for cleanup fn vs null call,242,True,True,2024-04-23T16:13:09Z,2024-04-23T16:13:09Z,3,5,1,1,97,0,97,2622.0
28892,Install ESLint v9,94,True,False,,2024-04-22T20:57:08Z,0,3,1,2,309,6,315,0
28891,Cleanup `replayFailedUnitOfWorkWithInvokeGuardedCallback`and `enableProfilerNestedUpdateScheduledHook`,92,True,True,2024-04-22T19:35:12Z,2024-04-22T19:35:12Z,1,4,1,1,0,6,6,27318.0
28868,[Fiber/Fizz] Support AsyncIterable as Children and AsyncGenerator Client Components,2133,True,True,2024-04-22T17:25:05Z,2024-04-22T17:25:05Z,1,5,5,15,447,65,512,345505.0
28890,Fix readme errors,60,True,False,,2024-04-22T16:29:42Z,0,3,2,1,4,4,8,0
