Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1504,chore(deps-dev): bump @nx/eslint from 17.0.1 to 17.2.7,4041,True,False,,2024-01-22T17:36:39Z,0,0,4,2,548,35,583,0
1506,chore(deps): bump @angular/platform-browser from 16.2.10 to 17.0.8,6127,True,False,,2024-01-22T17:33:27Z,0,0,4,2,9,9,18,0
1526,chore(deps): bump @angular/platform-browser-dynamic from 16.2.10 to 17.0.9,5306,True,False,,2024-01-22T17:29:41Z,0,0,4,2,10,10,20,0
1524,chore(deps-dev): bump vite from 4.5.0 to 5.0.11,4922,True,False,,2024-01-22T17:25:54Z,0,0,4,2,669,14,683,0
1515,chore(deps-dev): bump @storybook/blocks from 7.5.1 to 7.6.7,5379,True,False,,2024-01-22T17:03:48Z,0,0,4,2,481,31,512,0
1503,chore(deps): bump @angular/compiler from 16.2.10 to 17.0.8,6102,True,False,,2024-01-22T16:59:24Z,0,0,4,2,7,7,14,0
1491,chore(deps-dev): bump vite from 4.5.0 to 4.5.1,1862,True,False,,2024-01-20T03:14:29Z,0,0,4,2,5,5,10,0
1435,chore(deps): bump tough-cookie and newman,2933,True,True,2023-10-24T20:52:31Z,2023-10-24T20:52:31Z,0,1,3,2,320,244,564,1011.0
1260,feat: deploy api on push/main only,51,True,True,2023-04-27T09:23:59Z,2023-04-27T09:24:00Z,0,1,5,1,1,0,1,316.0
519,add React Native (ClojureScript and re-frame),278,True,True,2021-01-25T08:29:05Z,2021-01-25T08:29:05Z,0,3,4,1,3,0,3,20014919.0
1423,feat(api-testing-cypress): add more tests,1298,True,True,2023-10-24T20:50:44Z,2023-10-24T20:50:44Z,0,2,5,3,524,10,534,3567402.0
1505,chore(deps): bump @angular/platform-browser-dynamic from 16.2.10 to 17.0.8,5820,True,False,,2024-01-15T17:07:45Z,0,0,4,2,10,10,20,0
1015,chore(deps-dev): bump @docusaurus/module-type-aliases from 2.1.0 to 2.2.0,7019,True,True,2022-12-07T02:34:57Z,2022-12-07T02:34:57Z,0,1,4,2,16,480,496,2403.0
1443,fix code that broke deployment,374,True,True,2023-10-26T13:28:19Z,2023-10-26T13:28:19Z,0,2,4,1,2,3,5,1045.0
1441,chore: update dependencies,921,True,True,2023-10-25T22:50:21Z,2023-10-25T22:50:21Z,0,1,3,10,3183,4706,7889,1719.0
1520,fix: rely on id as a reference,51,True,True,2024-01-03T22:26:48Z,2024-01-03T22:26:49Z,2,1,3,21,143,173,316,6.0
591,add openapi3.0.1 spec,240,True,True,2021-11-03T17:28:05Z,2021-11-03T17:28:05Z,0,2,1,1,916,0,916,24721426.0
791,feat: change demo api url to api.realworld.io,580,True,True,2021-11-05T21:45:28Z,2021-11-05T21:45:28Z,0,1,0,4,8,11,19,244.0
1510,chore(deps-dev): bump vite from 4.5.0 to 5.0.10,4501,True,False,,2024-01-08T16:46:20Z,0,0,4,2,660,14,674,0
1495,chore(deps-dev): bump @nx/next from 17.0.1 to 17.2.0,5098,True,False,,2024-01-08T16:07:12Z,0,0,4,2,482,37,519,0
1519,fix: rely on id as a reference,51,True,True,2024-01-03T18:11:47Z,2024-01-03T18:11:47Z,2,1,3,21,143,173,316,4207.0
1509,chore(deps-dev): bump @nx/webpack from 17.0.1 to 17.2.7,4096,True,False,,2024-01-01T17:04:58Z,0,0,4,2,392,74,466,0
1507,chore(deps-dev): bump @nx/express from 17.0.1 to 17.2.7,3369,True,False,,2024-01-01T17:00:30Z,0,0,4,2,608,20,628,0
1493,chore(deps-dev): bump @nx/web from 17.0.1 to 17.2.0,5045,True,False,,2024-01-01T16:46:21Z,0,0,4,2,427,33,460,0
1508,chore(deps-dev): bump @storybook/blocks from 7.5.1 to 7.6.6,5145,True,False,,2024-01-01T16:41:27Z,0,0,4,2,515,31,546,0
1511,chore(deps-dev): bump @nx/node from 17.0.1 to 17.2.7,3669,True,False,,2024-01-01T16:29:52Z,0,0,4,2,641,53,694,0
1512,Update nx.json,51,True,False,,2023-12-27T01:48:32Z,0,1,3,1,2,45,47,0
1497,chore(deps-dev): bump @nx/node from 17.0.1 to 17.2.0,4687,True,False,,2023-12-25T16:46:49Z,0,0,4,2,641,53,694,0
1502,chore(deps-dev): bump @nx/webpack from 17.0.1 to 17.2.6,4097,True,False,,2023-12-25T16:32:59Z,0,0,4,2,392,74,466,0
1498,chore(deps-dev): bump @storybook/blocks from 7.5.1 to 7.6.4,5841,True,False,,2023-12-25T16:25:55Z,0,0,4,2,515,31,546,0
1501,chore(deps-dev): bump @nx/express from 17.0.1 to 17.2.6,3370,True,False,,2023-12-25T16:20:16Z,0,0,4,2,608,20,628,0
1494,chore(deps): bump @angular/platform-browser from 16.2.10 to 17.0.6,6490,True,False,,2023-12-25T16:15:57Z,0,0,4,2,9,9,18,0
1490,chore(deps): bump @angular/platform-browser-dynamic from 16.2.10 to 17.0.5,6086,True,False,,2023-12-25T16:13:10Z,0,0,4,2,10,10,20,0
1481,chore(deps-dev): bump @nx/eslint from 17.0.1 to 17.1.3,4219,True,False,,2023-12-25T16:11:39Z,0,0,4,2,541,31,572,0
1499,chore(deps): bump @angular/compiler from 16.2.10 to 17.0.6,6460,True,False,,2023-12-25T16:08:22Z,0,0,4,2,7,7,14,0
1492,chore(deps-dev): bump @nx/webpack from 17.0.1 to 17.2.0,5118,True,False,,2023-12-18T16:30:19Z,0,0,4,2,392,74,466,0
1496,chore(deps-dev): bump @nx/express from 17.0.1 to 17.2.0,4387,True,False,,2023-12-18T16:20:52Z,0,0,4,2,608,20,628,0
