Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
3517,[Draft] Add option to install the server as an APK,1198,True,False,,2024-04-25T10:26:07Z,0,3,10,27,558,30,588,0
4473,[WIP] UHID mouse/keyboard input,1961,True,False,,2024-02-29T23:56:27Z,8,5,29,38,1200,251,1451,0
4859,Websocket changes sync with latest version 2.4,195,True,False,,2024-04-18T21:37:13Z,0,3,2,31,2546,450,2996,0
4841,Fix could not rotate secondary display,124,True,False,,2024-04-15T13:27:05Z,0,2,3,1,25,25,50,0
4740,fix freeze and thaw rotation for Android 15 preview,2199,True,False,,2024-04-07T09:24:38Z,0,4,17,1,34,4,38,0
4657,Add the VirtualDisplay method to fix the SurfaceControl API changes.,179,True,False,,2024-02-10T09:11:12Z,0,5,7,3,111,2,113,0
4830,feat: boss key,178,True,False,,2024-04-10T13:16:06Z,1,2,1,6,97,36,133,0
4748,Add a shortcut to pause/unpause display,444,True,True,2024-03-30T13:27:23Z,2024-03-30T13:27:23Z,0,2,8,6,107,29,136,1811277.0
1598,Customize shortcut modifier and forward Ctrl and Shift to the device,2105,True,True,2020-08-01T15:06:15Z,2020-08-01T15:06:15Z,0,6,58,17,511,186,697,1355730.0
4713,Build all dependencies for Windows releases,521,True,True,2024-03-02T21:53:50Z,2024-03-02T21:53:50Z,3,4,4,15,348,184,532,96627.0
4716,Update Copyright,0,True,False,,2024-03-02T15:49:19Z,0,2,1,1,1,1,2,0
4712,Upgrade SDL 2.30.0 (causes issue on Windows),373,True,False,,2024-03-01T18:05:27Z,0,2,2,3,6,4,10,0
4698,Add rotation support for non default display,87,True,False,,2024-02-26T17:15:10Z,0,2,3,3,74,16,90,0
2464,Implement (optional) buffering,2163,True,True,2021-07-14T12:57:33Z,2021-07-14T12:57:33Z,0,3,6,24,891,125,1016,673556.0
4682,Update linux.md,30,True,False,,2024-02-19T10:47:30Z,0,2,0,1,3,0,3,0
4572,Improve audio player behavior,7072,True,True,2024-02-17T15:15:37Z,2024-02-17T15:15:37Z,0,1,0,10,438,561,999,3521389.0
4649,Configure clean up actions dynamically,1196,True,True,2024-02-17T14:58:01Z,2024-02-17T14:58:01Z,0,1,0,3,140,169,309,1045484.0
2632,Add HID keyboard simulation via USB HID over AoAv2,502,True,False,,2024-02-08T18:43:56Z,7,5,48,18,931,23,954,0
4564,Create codeql.yml,1767,True,False,,2024-02-07T17:44:21Z,0,1,0,1,81,0,81,0
2268,Add v4l2loopback support,2242,True,False,,2021-04-25T13:03:46Z,0,8,32,29,1204,532,1736,0
4456,Fix turn screen off on Android 14,439,True,True,2023-11-25T20:26:09Z,2023-11-25T20:26:09Z,0,2,5,3,97,2,99,163886.0
1274,Add shortcuts to rotate display,589,True,False,,2020-04-08T10:11:49Z,0,3,5,6,150,27,177,0
4579,Add a missing separator between patterns,259,True,False,,2024-01-10T06:50:19Z,0,2,2,1,1,2,3,0
3862,Create AudioRecord using reflection as a fallback,1193,True,False,,2023-05-26T16:59:30Z,0,4,13,3,303,4,307,0
4529,Simulate tilt multitouch event by pressing Shift,124,True,False,,2023-12-16T14:34:25Z,0,2,7,3,39,10,49,0
4075,Add InputManagerGlobal method for Android 14 Beta3,119,True,False,,2023-06-12T06:35:58Z,0,3,9,3,91,35,126,0
4532,Fix bash completion syntax,125,True,False,,2023-12-14T16:09:53Z,0,2,2,1,4,4,8,0
4502,Add workaround for Android U,122,True,False,,2023-12-04T13:36:00Z,0,2,2,1,5,0,5,0
4460,Improve crossbuild,233,True,False,,2023-11-25T20:13:34Z,0,1,1,0,0,0,0,0
4487,Fix AV1 demuxing,1450,True,True,2023-12-02T11:23:03Z,2023-12-02T11:23:03Z,0,1,0,1,3,2,5,54350.0
4416,fix: fix CleanUp classpath bug,78,True,False,,2023-12-01T20:17:49Z,0,2,6,3,34,4,38,0
4446,Fix turn screen off on Android 14,598,True,False,,2023-11-23T22:55:30Z,0,5,13,29,846,122,968,0
4435,Add note about exclusive_caps to v4l2 documentation,0,True,False,,2023-11-28T07:33:47Z,0,2,2,1,3,2,5,0
3895,Get better OpenGL version than 2.1 on macOS,688,True,False,,2023-04-12T19:29:12Z,3,2,9,2,24,0,24,0
3902,Turn device screen off _after_ everything has been set up,174,True,False,,2023-05-27T08:17:21Z,0,2,12,1,14,10,24,0
4448,Fix Linux desktop files,74,True,False,,2023-11-25T20:35:49Z,0,3,13,2,2,2,4,0
3944,I see no reason why the rotation variable is an unsigned instead of a…,28,True,False,,2023-11-24T20:49:21Z,0,3,2,1,2,2,4,0
4441,Improve orientation support,2736,True,True,2023-11-23T22:37:52Z,2023-11-23T22:37:52Z,0,2,3,21,632,109,741,256235.0
3418,Update scrcpy-console.bat,64,True,False,,2023-11-22T02:11:03Z,0,2,2,0,0,0,0,0
4213,Add option to mirror camera,200,True,False,,2023-11-01T17:57:18Z,4,6,38,15,924,274,1198,0
4410,Flac audio codec,97,True,False,,2023-11-15T20:16:47Z,0,2,13,9,36,6,42,0
3757,Forward audio,3557,True,True,2023-03-10T21:26:50Z,2023-03-10T21:26:50Z,0,9,59,100,5191,1788,6979,1046562.0
4381,Create שיקוף מסך,0,True,False,,2023-10-27T09:24:55Z,0,2,0,1,1,0,1,0
4373,Some more small fixes,128,True,False,,2023-10-24T21:28:16Z,2,2,7,5,12,15,27,0
4374,Fix some warnings,639,True,False,,2023-10-24T21:17:41Z,0,2,1,3,11,11,22,0
4371,Some small fixes,0,True,False,,2023-10-23T20:23:13Z,0,2,9,4,8,5,13,0
4364,Added scrcpy-server to .gitignore,95,True,False,,2023-10-23T19:45:21Z,0,2,3,1,1,0,1,0
4343,Phanhosi,0,True,False,,2023-10-10T13:45:22Z,0,3,0,0,0,0,0,0
4130,Add --pause-on-exit to simplify launchers,774,True,True,2023-10-11T07:45:04Z,2023-10-11T07:45:04Z,1,2,2,8,127,11,138,8942283.0
4300,Update linux.md,0,True,False,,2023-09-19T05:06:55Z,0,2,0,1,2,2,4,0
4173,fix tcp/ip link,0,True,False,,2023-07-26T18:00:20Z,0,2,1,1,1,1,2,0
4132,Update build.md,11,True,False,,2023-06-30T19:22:15Z,0,2,1,1,1,1,2,0
2971,Add server options to send raw H.264 without using the client,605,True,True,2022-01-26T10:35:48Z,2022-01-26T10:35:48Z,0,5,12,0,0,0,0,395.0
3817,Fix linux desktop files validation,306,True,False,,2023-03-14T22:17:12Z,0,3,9,2,2,2,4,0
4052,Add `--time-limit`,224,True,False,,2023-06-10T14:06:23Z,0,1,0,0,0,0,0,0
4057,Fixing Typo,0,True,False,,2023-06-10T13:59:45Z,0,2,1,1,1,1,2,0
4035,Add `--no-kill-adb-before-hid` option,79,True,False,,2023-06-02T15:22:20Z,0,3,9,4,18,4,22,0
3283,[WIP] Build dependencies from sources,2404,True,False,,2023-06-01T07:24:30Z,0,2,4,3,122,0,122,0
4044,Add option to select audio source,302,True,True,2023-06-01T07:22:47Z,2023-06-01T07:22:47Z,0,1,0,16,134,14,148,128511.0
3979,Notify ScreenEncoder when a folding event occurs,515,True,False,,2023-06-01T07:20:48Z,1,2,3,4,72,1,73,0
4045,fix stream offset,17,True,False,,2023-05-31T08:13:13Z,0,2,2,1,1,1,2,0
4033,"--no-playback, --no-video-playback, --no-audio-playback",590,True,True,2023-05-27T08:10:40Z,2023-05-27T08:10:40Z,0,2,0,14,312,100,412,218389.0
