Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
14583,Official LCM Sampler Support,981,True,True,2024-01-09T16:37:35Z,2024-01-09T16:37:35Z,1,6,8,2,106,1,107,99802.0
15626,more extension tag filtering options,329,True,False,,2024-04-25T09:33:33Z,0,1,0,1,47,21,68,0
15594,fix get_crop_region_v2,267,True,True,2024-04-22T14:57:39Z,2024-04-22T14:57:39Z,1,3,1,1,1,1,2,3057.0
15574,Resolve issue 15573: NameError when initializing StyleDatabase during start-up,217,True,False,,2024-04-19T16:45:02Z,0,2,5,1,72,62,134,0
15591,Restore 1.8.0 style naming of scripts,304,True,True,2024-04-22T09:24:06Z,2024-04-22T09:24:06Z,1,2,0,1,1,1,2,67.0
15587,fix mistake in #15583,525,True,True,2024-04-22T08:50:34Z,2024-04-22T08:50:34Z,1,2,0,1,1,1,2,63439.0
15583,get_crop_region_v2,1097,True,True,2024-04-21T15:06:40Z,2024-04-21T15:06:40Z,1,2,0,2,44,18,62,14831.0
15532,Fix cls.__module__ value in extension script,1952,True,True,2024-04-21T04:42:57Z,2024-04-21T04:42:57Z,1,4,3,2,5,7,12,439990.0
15585,Create SD.1.9.0,304,True,False,,2024-04-21T12:51:30Z,0,1,0,1,1,0,1,0
15579,Inpaint only mask switch to img2img if mask is blank,2194,True,False,,2024-04-21T10:59:53Z,0,2,2,1,20,12,32,0
15555,fix x1 upscalers,325,True,True,2024-04-21T04:22:58Z,2024-04-21T04:22:58Z,1,2,0,1,1,1,2,282377.0
15531,fix typo in function call (eror -> error),53,True,True,2024-04-21T04:43:19Z,2024-04-21T04:43:19Z,2,4,1,1,1,1,2,465832.0
15547,numpy DeprecationWarning product -> prod,1324,True,True,2024-04-21T04:23:38Z,2024-04-21T04:23:38Z,1,2,0,1,1,1,2,336558.0
15560,Remove API upscaling factor limits,236,True,True,2024-04-21T04:22:30Z,2024-04-21T04:22:30Z,1,2,0,1,1,1,2,261979.0
15544,"Compatibility with Debian 11, Fedora 34+ and openSUSE 15.4+",322,True,True,2024-04-21T04:22:05Z,2024-04-21T04:22:05Z,1,2,0,1,1,1,2,350231.0
15561,Allow webui.sh to be runnable from arbitrary directories containing a .git file,2017,True,True,2024-04-21T04:21:21Z,2024-04-21T04:21:21Z,1,2,0,1,3,3,6,255170.0
15567,Hide 'No Image data blocks found.' message,167,True,True,2024-04-21T04:09:28Z,2024-04-21T04:09:28Z,1,2,0,1,4,1,5,176820.0
15533,fix: remove_callbacks_for_function should also remove from the ordered map,921,True,True,2024-04-21T04:07:58Z,2024-04-21T04:07:58Z,1,2,0,1,3,0,3,430594.0
15534,Fix images do not match / Coordinate 'right' is less than 'left',4104,True,True,2024-04-21T04:06:45Z,2024-04-21T04:06:45Z,3,3,2,1,12,7,19,416707.0
15581,FilenameGenerator Sampler Scheduler,922,True,True,2024-04-21T04:00:28Z,2024-04-21T04:00:28Z,1,2,0,1,29,1,30,29136.0
15577,Add schedulers API endpoint,1010,True,True,2024-04-21T03:59:56Z,2024-04-21T03:59:56Z,1,2,0,2,20,1,21,91376.0
15582,Add avif support,596,True,True,2024-04-21T03:59:38Z,2024-04-21T03:59:38Z,1,2,0,3,14,1,15,27514.0
15423,feat: ensure the indexability of dynamically imported packages,206,True,True,2024-04-06T06:00:35Z,2024-04-06T06:00:35Z,1,3,9,1,7,2,9,420284.0
14801,Add NPU Support,6299,True,True,2024-01-31T19:39:29Z,2024-01-31T19:39:29Z,1,6,13,7,64,3,67,117496.0
14208,Soft Inpainting,3974,True,True,2023-12-14T06:56:13Z,2023-12-14T06:56:13Z,1,14,24,5,904,27,931,786444.0
15545,"Compatibility with Debian 11, Fedora 34+ and openSUSE 15.4+",322,True,False,,2024-04-17T21:06:45Z,0,2,0,1,1,1,2,0
14588,Feature: Extra Networks Tree View,1894,True,True,2024-01-22T19:24:06Z,2024-01-22T19:24:06Z,1,6,22,15,1316,340,1656,1203827.0
15492,update restricted_opts,304,True,True,2024-04-11T16:33:55Z,2024-04-11T16:33:55Z,0,2,0,1,3,1,4,10.0
5464,Add save_intermediate_images script,584,True,False,,2022-12-22T09:56:54Z,0,7,7,1,51,0,51,0
15472,added pyenv shell instruction,343,True,False,,2024-04-09T14:45:26Z,0,35,6,100,6164,0,6164,0
15470,error handling paste_field callables,2168,True,True,2024-04-09T13:00:56Z,2024-04-09T13:00:56Z,1,2,0,2,17,8,25,1131.0
15460,"create_infotext allow index and callable, re-work Hires prompt infotext",1554,True,True,2024-04-09T09:05:02Z,2024-04-09T09:05:02Z,1,2,0,1,73,11,84,78060.0
15465,Fix extra-single-image API not doing upscale failed,218,True,True,2024-04-09T08:00:31Z,2024-04-09T08:00:31Z,1,2,0,1,1,0,1,16531.0
15455,Github > GitHub,215,True,False,,2024-04-08T05:33:09Z,0,2,1,2,2,2,4,0
15355,Automatically releases cached model when there is pressure on memory or gpu memory,281,True,False,,2024-04-09T07:04:47Z,0,2,2,2,77,4,81,0
7295,Basic inpainting batch support,1549,True,True,2023-01-28T05:27:37Z,2023-01-28T05:27:37Z,1,6,7,2,25,4,29,12829.0
15457,a,304,True,False,,2024-04-08T05:00:08Z,0,1,0,2,1,0,1,0
15446,re-add update_file_entry,472,True,True,2024-04-06T07:02:46Z,2024-04-06T07:02:46Z,1,2,0,1,5,0,5,189.0
15379,The API add a function to generate a task_id,414,True,False,,2024-04-06T06:22:43Z,0,3,5,1,7,0,7,0
15442,open_folder as util,616,True,True,2024-04-06T05:54:21Z,2024-04-06T05:54:21Z,1,2,0,2,37,29,66,82017.0
15443,Use HF_ENDPOINT variable for HuggingFace domain with default,879,True,True,2024-04-06T05:48:55Z,2024-04-06T05:48:55Z,1,3,1,1,3,1,4,71086.0
15428,Fix: Remove script callbacks in ordered_callbacks_map,636,True,True,2024-04-01T20:25:03Z,2024-04-01T20:25:03Z,1,2,0,1,3,0,3,1388.0
15425,fix upscaler 2 images do not match,757,True,True,2024-04-01T10:40:09Z,2024-04-01T10:40:09Z,1,2,0,1,3,1,4,2077.0
15390,fix: Python version check for PyTorch installation compatibility,986,True,True,2024-03-30T04:32:29Z,2024-03-30T04:32:29Z,1,2,1,0,0,0,0,262974.0
15417,Fix upscaler 2: add missed max_side_length,166,True,True,2024-03-31T15:49:21Z,2024-03-31T15:49:21Z,1,2,0,1,1,1,2,827.0
15415,fix dcd4f880a86e500ec88ddf7eafe65894a24b85a3,211,True,True,2024-03-31T13:55:47Z,2024-03-31T13:55:47Z,1,2,0,1,1,1,2,2937.0
15414,Fix CodeFormer weight,293,True,True,2024-03-31T13:53:23Z,2024-03-31T13:53:23Z,1,2,0,1,1,1,2,3855.0
15293,Extras upscaler: option limit target resolution,271,True,True,2024-03-31T05:02:36Z,2024-03-31T05:02:36Z,1,3,18,3,48,15,63,1190626.0
