Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
835,en: Fixed issue #816 - Updated the URL for Elasticache caching strategy in README.md [English version],626,True,False,,2024-04-09T18:54:59Z,0,1,0,1,1,1,2,0
833,Create demo.txt,19,True,False,,2024-03-15T03:57:31Z,0,1,1,1,1,0,1,0
846,Create ewrewr,291,True,False,,2024-03-12T03:11:51Z,0,1,2,1,1,0,1,0
845,Create t,293,True,False,,2024-03-12T02:02:54Z,0,1,1,1,1,0,1,0
667,Fix typo,97,True,False,,2024-03-01T19:33:48Z,0,2,2,3,5,5,10,0
740,zh-TW: Fix anchors,147,True,False,,2024-02-02T13:34:40Z,0,2,0,1,2,2,4,0
264,Add a little bit more description about profiling,64,True,False,,2024-01-29T03:43:43Z,1,3,0,1,1,1,2,0
817,added jekyll themes,291,True,False,,2024-01-17T14:46:50Z,0,1,3,2,5,0,5,0
577,German Translation README-de.md,291,True,False,,2024-01-09T11:02:53Z,2,4,0,1,1853,0,1853,0
815,Typo fixed in README,10,True,False,,2023-12-03T09:59:05Z,0,1,0,1,1,1,2,0
814,Fixed a typo in README,43,True,False,,2023-12-02T14:45:09Z,0,1,0,1,1,1,2,0
557,add git action for generating epub and upload artifacts,428,True,False,,2023-12-02T06:26:01Z,2,4,2,1,18,0,18,0
701,eng: ADDED the post scriptum hint ,164,True,False,,2023-09-13T18:49:14Z,1,3,0,1,1,0,1,0
793,Update TRANSLATIONS.md,291,True,False,,2023-08-07T18:16:42Z,0,1,0,1,1,1,2,0
795,test,291,True,False,,2023-08-07T18:15:31Z,0,41,0,46,193,192,385,0
794,Update README.md,291,True,False,,2023-08-07T18:07:17Z,0,1,1,1,1,1,2,0
781,update image background from transparent to white,0,True,False,,2023-08-04T19:30:52Z,0,2,3,1,0,0,0,0
750,Fix Scalability Article links,353,True,True,2023-03-16T09:58:20Z,2023-03-16T09:58:20Z,1,2,1,1,5,5,10,647748.0
538,Add Notion's data model,65,True,False,,2023-05-01T05:51:50Z,0,2,0,1,2,0,2,0
772,Create Simple program on python,458,True,False,,2023-04-23T05:12:50Z,0,1,0,1,5,0,5,0
746,Use wayback machine for lecloud.net links,41,True,False,,2023-04-10T09:35:39Z,0,2,0,1,5,5,10,0
745,Added link of System Design Roadmap,473,True,False,,2023-04-09T05:17:57Z,0,2,0,1,1,0,1,0
739,Solved Broken Link Issue #683,57,True,False,,2023-03-28T16:25:42Z,0,2,0,1,1,1,2,0
661,Fix typos,0,True,True,2022-04-23T13:14:45Z,2022-04-23T13:14:45Z,1,3,3,3,3,3,6,508368.0
634,Added white background to all images (#630),195,True,False,,2023-02-20T23:12:22Z,4,6,4,54,0,0,0,0
735,deleted,291,True,False,,2023-01-24T15:18:05Z,0,1,1,2,0,3625,3625,0
436,Add status of translations,0,True,True,2020-07-03T01:11:07Z,2020-07-03T01:11:07Z,0,1,1,1,163,0,163,903.0
722,Remove anki links,291,True,False,,2022-12-18T12:09:06Z,0,1,0,11,2,5717,5719,0
717,Fix top k requests link,291,True,True,2022-12-11T20:06:51Z,2022-12-11T20:06:51Z,2,3,1,1,1,1,2,1845441.0
716,Update latency vs throughput blog link,291,True,True,2022-11-13T21:04:18Z,2022-11-13T21:04:18Z,1,2,1,1,1,1,2,615726.0
715,"Add README-vi.md, translate motivation section",291,True,False,,2022-11-05T04:44:19Z,0,1,1,1,1838,0,1838,0
451,Fix translations link in PR template,36,True,True,2020-08-02T18:13:18Z,2020-08-02T18:13:18Z,1,3,2,1,1,1,2,623143.0
703,Changes,291,True,False,,2022-09-25T09:57:23Z,0,1,1,1,1,0,1,0
631,Fix memcache architecture URL,61,True,True,2022-02-13T02:52:00Z,2022-02-13T02:52:00Z,1,2,1,4,4,4,8,4454876.0
694,Fix Typo,10,True,True,2022-07-31T16:44:43Z,2022-07-31T16:44:43Z,1,2,1,1,1,1,2,70861.0
698,efew,291,True,False,,2022-08-28T02:02:56Z,0,36,0,45,184,183,367,0
585,Update generate-epub.sh,291,True,False,,2022-08-07T05:53:50Z,0,2,1,1,2,1,3,0
680,Updated f-string formats,357,True,False,,2022-06-07T06:21:22Z,0,1,0,8,8,8,16,0
641,Propose reliability non-functional requirements in the initial readme,1583,True,False,,2022-05-13T16:20:22Z,0,2,1,1,3,0,3,0
651,Replace broken weighted round robin link (#650),291,True,True,2022-04-20T00:37:02Z,2022-04-20T00:37:02Z,1,3,1,1,1,1,2,2346492.0
217,Fix #397: Change master/slave to primary/replica,1693,True,False,,2022-04-15T11:11:49Z,6,6,5,11,33,33,66,0
468,docs: add links to top with jump2header,265,True,False,,2022-04-12T08:23:02Z,0,2,0,1,145,145,290,0
656,Switch to gender neutral terms,409,True,False,,2022-03-30T22:17:53Z,0,2,1,2,2,2,4,0
654,Switch to gender neutral terms,220,True,False,,2022-03-30T19:35:00Z,0,1,0,13,23,23,46,0
652,"fix: fix ""How to Ace a Systems Design Interview"" link",291,True,False,,2022-03-27T14:44:52Z,0,1,1,4,4,4,8,0
434,Update contributing guidelines for translations,0,True,True,2020-07-02T00:48:44Z,2020-07-02T00:48:44Z,0,1,0,1,20,14,34,731.0
611,En: Add Apache SystemDS as ML system for data science,126,True,False,,2022-01-29T14:17:53Z,0,1,0,1,2,0,2,0
355,Fix link,41,True,True,2020-01-21T00:26:10Z,2020-01-21T00:26:10Z,1,2,1,1,1,1,2,161633.0
594,Update GitHub Engineer Blog link,365,True,True,2021-11-17T12:26:09Z,2021-11-17T12:26:09Z,1,2,1,4,4,4,8,3277144.0
504,de: Add translation,291,True,False,,2021-10-16T19:06:51Z,0,5,3,1,322,0,322,0
580,Added Freshworks company engineering blog,197,True,False,,2021-10-02T18:26:25Z,0,1,0,1,1,0,1,0
570,en: removed a dead link,408,True,False,,2021-09-10T05:28:47Z,0,2,2,1,0,1,1,0
483,changed user_id size from 32 bytes to 8 bytes,118,True,False,,2021-08-15T23:45:45Z,0,2,0,1,1,1,2,0
556,add lint and pdf,291,True,False,,2021-08-14T00:11:20Z,0,1,0,3,28,1,29,0
552,Add Vietnamese translation,319,True,False,,2021-08-04T13:43:33Z,0,1,1,1,1884,0,1884,0
