Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
13469,[v4] Switch default breakpoints to rem,291,True,True,2024-04-10T01:04:58Z,2024-04-10T01:04:58Z,1,3,6,3,17,17,34,201460.0
13578,Delete unnecessary file (playgrounds/vite/src/tailwind.css).,78,True,True,2024-04-25T10:37:46Z,2024-04-25T10:37:46Z,1,2,1,1,0,1,1,25697.0
4196,Add grey as an equivalent to gray,71,True,False,,2021-04-28T18:43:26Z,0,4,7,1,1,0,1,0
13551,Update README.md,21,True,False,,2024-04-19T04:41:03Z,0,1,0,1,1,1,2,0
13537,Remove automatic `var(…)` injection,1144,True,True,2024-04-18T22:40:52Z,2024-04-18T22:40:52Z,1,3,2,5,749,818,1567,123980.0
13543,Move `css-parser.bench.ts` into the `src` folder,155,True,True,2024-04-18T14:12:54Z,2024-04-18T14:12:54Z,1,2,0,1,2,2,4,12440.0
13532,Further improve natural sorting of classes,657,True,True,2024-04-16T16:12:42Z,2024-04-16T16:12:42Z,1,2,0,2,7,5,12,533.0
13529,fix: doesn't work spaces inside calc,450,True,False,,2024-04-16T09:16:46Z,0,2,2,3,35,1,36,0
13507,Improve sorting candidates containing numbers,1603,True,True,2024-04-15T15:56:30Z,2024-04-15T15:56:30Z,3,4,3,6,283,107,390,321465.0
12611,Update postcss-load-config 4.0.2 → 5.0.2 (major),1170,True,False,,2023-12-18T14:02:44Z,0,4,5,2,84,84,168,0
13521,Fix contain-* utilities,155,True,True,2024-04-13T09:56:15Z,2024-04-13T09:56:15Z,1,2,1,3,10,6,16,7795.0
13500,Declare character code constants per file,793,True,True,2024-04-11T10:44:44Z,2024-04-11T10:44:44Z,1,2,1,5,80,84,164,344.0
13497,Colocate charcode tokens,374,True,True,2024-04-10T22:29:55Z,2024-04-10T22:29:55Z,1,2,0,5,86,76,162,628.0
13496,"Fix typo ""envionment"" -> ""environment""",72,True,True,2024-04-10T22:17:11Z,2024-04-10T22:17:11Z,0,2,0,1,1,1,2,1484.0
13487,4.0.0-alpha.14,41,True,True,2024-04-09T18:55:54Z,2024-04-09T18:55:54Z,1,3,1,17,20,16,36,1308.0
4556,Add `peer-*` variants,627,True,True,2021-06-04T14:32:52Z,2021-06-04T14:32:52Z,0,6,6,4,245,19,264,67521.0
13393,Perf: Use charCodeAt instead of string comparison,289,True,True,2024-04-09T17:25:56Z,2024-04-09T17:25:56Z,2,3,1,2,123,70,193,1034975.0
13459,Don't accommodate hidden elements in space/divide,2862,True,True,2024-04-09T16:59:09Z,2024-04-09T16:59:09Z,1,2,0,5,103,107,210,342668.0
13478,Invert variant order application,1193,True,True,2024-04-09T15:37:56Z,2024-04-09T15:37:56Z,2,2,0,5,60,76,136,57850.0
13480,Update README.md,25,True,False,,2024-04-09T09:32:18Z,0,2,0,1,1,1,2,0
13481,change nnn,20,True,False,,2024-04-09T09:31:11Z,0,2,0,1,1,1,2,0
13457,Ensure deterministic SSR builds in `@tailwindcss/vite`,498,True,True,2024-04-08T22:10:09Z,2024-04-08T22:10:09Z,3,3,7,3,57,26,83,291936.0
13468,Switch breakpoints to rem,285,True,False,,2024-04-07T17:05:56Z,0,1,0,1,5,5,10,0
5671,Add `flex-basis` utilities,864,True,True,2021-10-04T19:47:14Z,2021-10-04T19:47:14Z,0,6,7,6,43,0,43,251078.0
13449,Don't read variables for shadow sizes,2132,True,True,2024-04-04T22:01:37Z,2024-04-04T22:01:37Z,8,3,0,5,38,7,45,14712.0
13448,Prepare next release: `4.0.0-alpha.12`,46,True,True,2024-04-04T15:43:02Z,2024-04-04T15:43:02Z,1,2,0,17,20,16,36,1437.0
