Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
8623,[feat] add arch support  for loong64,0,True,False,,2024-02-01T11:51:33Z,0,2,3,1,1,0,1,0
9568,ci: Remove nodejs14 test in cli.js publishing workflow,74,True,True,2024-04-25T10:45:16Z,2024-04-25T10:45:16Z,1,2,1,1,4,4,8,2330.0
9569,ci(1.x): Remove nodejs14 test in cli.js publishing workflow,0,True,True,2024-04-25T10:45:06Z,2024-04-25T10:45:06Z,1,2,0,1,4,4,8,2185.0
9527,refactor(nsis): use nsis's built-in com plugin instead of ApplicationID plugin,177,True,True,2024-04-24T14:14:30Z,2024-04-24T14:14:30Z,6,2,3,4,74,26,100,290015.0
9561,fix(core): allow any headers on custom protocol IPC,250,True,True,2024-04-24T23:00:03Z,2024-04-24T23:00:03Z,1,3,0,2,7,4,11,14502.0
9463,Set internal message ID to nextId after handling pending messages,425,True,True,2024-04-21T14:21:34Z,2024-04-21T14:21:34Z,2,5,3,3,7,1,8,540426.0
9392,feat(core): add Specta integration,9075,True,True,2024-04-23T02:29:39Z,2024-04-23T02:29:39Z,3,3,0,4,83,1,84,1454358.0
8280,refactor(core): add support to multiple webviews on a Tauri window,1528,True,True,2024-01-24T14:05:19Z,2024-01-24T14:05:19Z,4,10,10,98,14583,4217,18800,5508418.0
9478,fix(bundler/nsis): auto append product name when choosing a new install path,303,True,True,2024-04-22T15:59:16Z,2024-04-22T15:59:17Z,2,2,0,2,12,1,13,544361.0
9548,Apply Version Updates From Current Changes,4060,True,True,2024-04-22T20:09:52Z,2024-04-22T20:09:52Z,2,2,2,28,206,47,253,9849.0
9549,"Revert ""Apply Version Updates From Current Changes (#9489)""",28,True,True,2024-04-22T18:42:47Z,2024-04-22T18:42:47Z,1,3,3,18,18,120,138,2470.0
9489,Apply Version Updates From Current Changes,2977,True,True,2024-04-22T17:02:28Z,2024-04-22T17:02:28Z,2,1,2,18,120,18,138,445550.0
9493,chore(deps): update to windows-rs 0.56,0,True,True,2024-04-22T16:33:17Z,2024-04-22T16:33:17Z,1,2,1,5,78,80,158,395829.0
9544,Apply Version Updates From Current Changes (v1),2552,True,True,2024-04-22T15:34:27Z,2024-04-22T15:34:27Z,1,1,1,23,66,68,134,1914.0
9477,fix(utils): temp permission file names on windows,346,True,True,2024-04-22T14:18:17Z,2024-04-22T14:18:17Z,3,2,0,2,9,1,10,547957.0
9486,fix(api): add type definitions to package.json exports,95,True,True,2024-04-22T14:18:00Z,2024-04-22T14:18:01Z,2,3,3,2,10,2,12,453284.0
9543,chore(ci): fix MSRV downgrade,65,True,True,2024-04-22T14:17:33Z,2024-04-22T14:17:33Z,1,2,0,2,15,17,32,113.0
9542,chore(ci): downgrade home crate,0,True,True,2024-04-22T13:58:00Z,2024-04-22T13:58:00Z,1,2,0,2,228,240,468,842.0
9540,fix(cli/migrate): migrate only known plugins,12,True,True,2024-04-22T13:28:19Z,2024-04-22T13:28:19Z,1,2,0,2,34,20,54,1301.0
9530,fix: optional chaining is not supported on older webviews,0,True,True,2024-04-22T13:27:45Z,2024-04-22T13:27:45Z,2,2,0,5,13,3,16,84927.0
9541,fix(ci): downgrade cc crate for MSRV compatibility,0,True,True,2024-04-22T13:15:53Z,2024-04-22T13:15:53Z,1,2,0,2,3,2,5,376.0
9539,feat(core): add `isTauri`,0,True,True,2024-04-22T13:07:11Z,2024-04-22T13:07:11Z,2,3,0,5,23,2,25,2091.0
9538,ci: Fix package downgrades in covector workflow,0,True,True,2024-04-22T12:16:16Z,2024-04-22T12:16:16Z,1,2,0,1,4,3,7,5457.0
9529,fix: optional chaining is not supported on older webviews,0,True,True,2024-04-21T23:53:51Z,2024-04-21T23:53:51Z,1,2,0,4,10,3,13,36188.0
9410,"fix(runtime-wry): apply `closable`, `maximizable` and `minimizable` effects from config",12,True,True,2024-04-21T14:43:30Z,2024-04-21T14:43:31Z,1,2,0,2,9,0,9,1090974.0
9512,chore(deps): bump rustls from 0.22.3 to 0.22.4,1810,True,True,2024-04-21T14:05:17Z,2024-04-21T14:05:17Z,1,1,0,1,3,3,6,152087.0
9471,fix(build): check if `permissions` dir exists before adding `cargo:rerun-if-changed`,12,True,True,2024-04-21T14:04:46Z,2024-04-21T14:04:46Z,1,3,1,2,18,8,26,493523.0
9309,fix(windows) window center doesn't consider taskbar size,203,True,True,2024-04-02T18:32:31Z,2024-04-02T18:32:31Z,7,2,0,3,81,15,96,292103.0
9360,fix(core): Update webview metadata on window close,277,True,True,2024-04-03T15:18:14Z,2024-04-03T15:18:14Z,1,2,0,3,16,6,22,12599.0
9457,fix(cli/migrate): tolerate non-UTF-8 in migration,367,True,True,2024-04-15T09:39:53Z,2024-04-15T09:39:53Z,2,2,1,7,40,28,68,141736.0
9420,feat(core/windows): Convert UNC paths to simple paths in JS apis.,146,True,True,2024-04-15T09:41:32Z,2024-04-15T09:41:32Z,1,2,2,4,13,5,18,508008.0
9428,fix(tauri-runtime-wry): Window::inner_size crash when the window has no webviews,0,True,True,2024-04-15T11:28:59Z,2024-04-15T11:28:59Z,1,2,0,2,6,1,7,496445.0
9472,fix: Remove old links and updated CONTRIBUTING.md,515,True,True,2024-04-15T22:12:33Z,2024-04-15T22:12:33Z,1,3,2,4,8,16,24,2048.0
9505,fix(core): clear resource table in `cleanup_before_exit`,93,True,True,2024-04-19T03:50:12Z,2024-04-19T03:50:12Z,3,2,0,3,19,2,21,4530.0
9494,feat(bundler): expose `{{long_description}}` to custom templates,12,True,True,2024-04-18T15:09:05Z,2024-04-18T15:09:06Z,1,2,0,4,18,2,20,44342.0
9481,fix(bundler): don't convert product name to snake case when cross compiling,39,True,True,2024-04-18T15:04:17Z,2024-04-18T15:04:17Z,3,2,0,2,23,9,32,180510.0
9491,fix(cli): append extension to app binary manually on rename,211,True,True,2024-04-18T03:31:08Z,2024-04-18T03:31:08Z,1,2,0,2,9,2,11,48473.0
9351,chore(deps) Update Rust crate heck to 0.5 (dev) - autoclosed,822,True,False,,2024-04-18T03:22:17Z,0,0,1,1,1,1,2,0
9479,chore: merge remote-tracking branch '1.x' into v2,0,True,True,2024-04-18T03:21:21Z,2024-04-18T03:21:21Z,1,5,0,19,103,21,124,149048.0
9490,fix(core): add permission for `window.start_resize_dragging`,12,True,True,2024-04-17T16:25:36Z,2024-04-17T16:25:36Z,1,2,0,3,8,0,8,9385.0
9473,feat(cli): ignore `.DS_Store` by default for dev watcher,12,True,True,2024-04-17T12:51:24Z,2024-04-17T12:51:25Z,1,2,0,3,8,0,8,138656.0
