Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
637,contents(career): update High Growth Engineer URL to new domain,218,True,True,2024-03-07T03:43:46Z,2024-03-07T03:43:46Z,1,2,0,1,2,2,4,286.0
636,contents: add Codemia.io list of mock interview resource,0,True,True,2024-03-04T00:37:01Z,2024-03-04T00:37:01Z,1,2,0,1,6,0,6,166003.0
622,contents: Add Misc > Career Growth Page,272,True,True,2023-11-26T23:10:09Z,2023-11-26T23:10:09Z,2,2,0,3,48,2,50,26590.0
625,contents(beyond): add Hungry Minds and myself to LinkedIn resources,100,True,True,2023-12-04T02:17:33Z,2023-12-04T02:17:33Z,1,2,0,1,2,0,2,59339.0
624,contents(beyond): add 16x Engineer,319,True,True,2023-11-30T10:56:42Z,2023-11-30T10:56:42Z,1,2,0,1,1,0,1,490.0
618,contents(sd): add System Design Newsletter,38,True,True,2023-11-02T00:28:16Z,2023-11-02T00:28:16Z,0,2,0,1,1,0,1,46423.0
617,Update resume.md,109,True,True,2023-10-26T23:04:49Z,2023-10-26T23:04:49Z,0,2,0,1,2,1,3,18870.0
616,"misc: change ""Twitter"" to ""X (Twitter)""",56,True,True,2023-10-25T22:56:38Z,2023-10-25T22:56:38Z,0,2,0,1,1,1,2,15005.0
609,contents(queue): fix typo in queue content,322,True,True,2023-09-30T02:54:04Z,2023-09-30T02:54:04Z,1,2,0,1,1,1,2,126568.0
605,contents: style of Palantir questions is aligned with style of other questions,163,True,True,2023-09-30T02:50:45Z,2023-09-30T02:50:45Z,1,2,0,1,2,2,4,1515932.0
610,[Content] Add Hello Interview to mock interviews,252,True,True,2023-09-30T02:35:50Z,2023-09-30T02:35:50Z,1,2,1,1,9,0,9,9941.0
604,contents: khan academy link for binary search fixed,56,True,True,2023-09-06T02:53:42Z,2023-09-06T02:53:42Z,1,2,0,1,3,3,6,30043.0
599,contents: grammar / consistency fixes for algo sites,0,True,True,2023-08-03T00:25:53Z,2023-08-03T00:25:53Z,1,2,0,7,22,22,44,20938.0
598,grammar / consistency fixes for algo sites,0,True,False,,2023-08-02T18:34:02Z,0,1,0,7,22,22,44,0
