Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
17125,Localization Updates - main - 04/25/2024 03:04:34,0,True,True,2024-04-26T03:16:02Z,2024-04-26T03:16:02Z,3,4,0,13,52,0,52,87087.0
17068,Fix persisting the size of a focus mode window,199,True,True,2024-04-25T12:54:47Z,2024-04-25T12:54:47Z,2,4,2,1,14,2,16,769352.0
17113,Add a system message to session restore,491,True,True,2024-04-24T21:23:50Z,2024-04-24T21:23:50Z,11,4,0,5,92,7,99,92937.0
17116,"build: disable CheckCFlags for now, as it is blowing up the build",48,True,True,2024-04-24T18:00:57Z,2024-04-24T18:00:57Z,3,3,2,2,15,0,15,66540.0
17121,[REPLAY] Move to AzureFileCopy@6 for Managed Identity support,165,True,True,2024-04-24T17:28:02Z,2024-04-24T17:28:02Z,1,2,1,1,1,1,2,333.0
17092,Fix search highlights during reflow,1826,True,True,2024-04-23T22:59:30Z,2024-04-23T22:59:30Z,12,4,5,27,200,273,473,288795.0
17119,Update Microsoft.Windows.CppWinRT to 2.0.240405.15,1765,True,False,,2024-04-24T09:00:04Z,0,1,0,5,7,7,14,0
17115,Update Azure Cloud Shell API to the newer version,179,True,True,2024-04-24T00:17:08Z,2024-04-24T00:17:09Z,2,3,1,1,2,2,4,6331.0
17049,[1.20] Backport session persistence improvements,467,True,True,2024-04-23T21:47:14Z,2024-04-23T21:47:14Z,2,3,4,43,207,665,872,1032457.0
17110,Don't explode when duplicating a pane,121,True,True,2024-04-23T20:28:29Z,2024-04-23T20:28:29Z,2,3,0,1,2,1,3,14181.0
17103,[1.20] Revert search result highlighting from stable,134,True,True,2024-04-23T19:00:23Z,2024-04-23T19:00:23Z,2,3,1,28,3,251,254,77655.0
17104,AtlasEngine: Fix custom shader time imprecision,401,True,True,2024-04-23T17:05:23Z,2024-04-23T17:05:23Z,2,3,0,3,31,3,34,62595.0
17107,Fix TerminalPage not being released on window close,272,True,True,2024-04-23T16:50:31Z,2024-04-23T16:50:31Z,2,3,0,2,0,3,3,12143.0
17097,Update actions/add-to-project to 1.0.1,0,True,True,2024-04-23T16:16:47Z,2024-04-23T16:16:47Z,2,3,3,1,1,1,2,116693.0
17100,Use float instead of double by default,737,True,True,2024-04-23T00:45:25Z,2024-04-23T00:45:25Z,3,3,0,45,180,178,358,34494.0
17085,Add more TraceLogging to ApiDispatchers,301,True,True,2024-04-22T21:23:38Z,2024-04-22T21:23:38Z,7,3,0,5,375,58,433,363599.0
17069,Fix wrong CommandPallete access,339,True,True,2024-04-16T19:44:36Z,2024-04-16T19:44:36Z,2,3,2,1,4,1,5,11398.0
16611,Improve Search Highlighting,3171,True,True,2024-04-17T16:43:21Z,2024-04-17T16:43:21Z,14,4,12,49,571,336,907,7004317.0
17067,A minor TSF refactoring,3339,True,True,2024-04-18T18:18:46Z,2024-04-18T18:18:46Z,13,5,2,83,1408,5494,6902,187039.0
16990,Query SGR 4:X support from Terminal before consuming it in the adapter,1311,True,False,,2024-04-16T09:00:14Z,2,4,4,20,209,4,213,0
16904,Add IDs to Commands,470,True,True,2024-04-18T01:03:43Z,2024-04-18T01:03:43Z,14,4,5,10,352,127,479,2521136.0
