Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
801,Add   unxutils to windows only part,299,True,False,,2024-04-09T19:22:49Z,0,1,0,1,6,0,6,0
543,Another couple uconv examples I find useful.,59,True,True,2018-03-14T01:40:18Z,2018-03-14T01:40:18Z,0,1,0,1,6,2,8,1559516.0
612,Add CTRL-G to abort the history mode search,131,True,False,,2023-12-09T22:29:14Z,0,1,0,1,1,1,2,0
632,Polish translation,26,True,False,,2023-11-18T23:10:23Z,0,1,0,0,0,0,0,0
754,[Win only] add installer: `scoop` and package manager: `winget`,193,True,False,,2023-08-05T17:03:37Z,0,2,1,1,3,0,3,0
847,Fix typo in README-zh.md,0,True,True,2023-07-12T21:40:23Z,2023-07-12T21:40:23Z,1,3,1,1,1,1,2,12746417.0
865,corected a typo,0,True,True,2023-07-12T21:39:46Z,2023-07-12T21:39:46Z,0,2,1,1,1,1,2,4414195.0
866,update README.md fix mosh url,89,True,True,2023-07-12T21:39:14Z,2023-07-12T21:39:14Z,0,2,1,17,17,17,34,1951291.0
867,Typo: README_zh.md Github -> GitHub,0,True,True,2023-07-12T21:38:30Z,2023-07-12T21:38:30Z,0,2,1,1,1,1,2,743844.0
578,Add Emacs mention to Romanian guide,366,True,False,,2023-06-26T15:40:59Z,0,1,2,1,4,4,8,0
789,tr: Add Turkish translation,92,True,False,,2023-05-22T04:07:54Z,0,3,3,0,0,0,0,0
861,well,0,True,False,,2023-05-07T10:29:03Z,0,1,0,1,2,0,2,0
853,Repo Modification,23,True,False,,2023-04-03T20:21:51Z,0,1,0,1,1,1,2,0
824,fr: Synchronize the translation,0,True,True,2023-03-07T19:34:51Z,2023-03-07T19:34:51Z,2,4,1,1,3,3,6,5795622.0
841,fix typo,0,True,False,,2023-03-01T13:08:50Z,0,2,1,1,1,1,2,0
849,Create Mith’s,0,True,False,,2023-02-26T12:53:28Z,0,1,0,1,1,0,1,0
772,Contribution,0,True,False,,2022-12-29T23:28:54Z,0,2,1,1,1,1,2,0
810,"correction typo ""intéractive"" -> ""interactive""",259,True,True,2022-12-29T22:43:54Z,2022-12-29T22:43:54Z,0,3,1,1,4,4,8,2364483.0
811,"correction typo ""aliases"" -> ""alias""",39,True,True,2022-12-29T22:43:24Z,2022-12-29T22:43:24Z,0,3,1,1,1,1,2,2362675.0
816,"typos ""q'une"" -> ""qu'une"", ""avec taux"" -> ""avec un taux""",0,True,True,2022-12-29T22:42:58Z,2022-12-29T22:42:58Z,0,3,3,1,2,2,4,2355670.0
641,fr: Synchronize the translation,0,True,True,2022-12-29T22:41:26Z,2022-12-29T22:41:26Z,1,2,2,1,14,7,21,107769838.0
812,"typo ""de multiple fichiers"" -> ""de multiples fichiers""",0,True,True,2022-12-29T22:38:52Z,2022-12-29T22:38:52Z,0,3,1,1,1,1,2,2358409.0
815,"typo ""information général"" -> ""information générale""",0,True,True,2022-12-29T22:38:03Z,2022-12-29T22:38:03Z,0,3,1,1,1,1,2,2356082.0
584,For good display,0,True,True,2022-12-29T22:37:57Z,2022-12-29T22:37:57Z,0,2,0,0,0,0,0,118224410.0
814,"3x ""debogage"" -> ""débogage""",0,True,True,2022-12-29T22:37:34Z,2022-12-29T22:37:34Z,0,3,1,1,3,3,6,2356477.0
778,Fix README-zh.md typo,0,True,True,2022-07-16T01:06:16Z,2022-07-16T01:06:16Z,3,4,0,1,1,1,2,2378434.0
573,Update authors.,0,True,True,2018-08-19T01:07:59Z,2018-08-19T01:07:59Z,0,20,2,2,160,86,246,792.0
745,Create README-tr.md,0,True,False,,2022-09-12T07:42:00Z,1,2,0,19,642,18,660,0
718,Fix typo README-id.md,41,True,False,,2022-09-11T02:31:14Z,1,2,0,1,1,1,2,0
782,fixed ambiguous description for process substitution,267,True,False,,2022-08-08T07:56:55Z,0,2,0,1,1,1,2,0
777,fixes small typos in README.md,91,True,False,,2022-06-14T15:45:35Z,0,1,0,0,0,0,0,0
636,Fix typo,39,True,False,,2022-05-15T13:10:19Z,1,2,0,1,1,1,2,0
682,"complete, most up-to-date translation into Polish language",317,True,True,2020-09-07T19:20:29Z,2020-09-07T19:20:30Z,3,6,2,18,641,17,658,14352939.0
756,donw,0,True,False,,2022-01-07T09:59:24Z,0,1,0,1,2,0,2,0
755,donw,0,True,False,,2022-01-07T09:58:33Z,0,1,0,1,2,0,2,0
747,test file for new branch,0,True,False,,2021-12-06T07:37:46Z,2,4,1,1,1,0,1,0
743,fixed small typo in README-it.md,0,True,False,,2021-09-20T16:22:45Z,0,1,2,1,1,1,2,0
619,Fix the broken `dtach` link,102,True,False,,2021-08-26T21:56:34Z,0,1,0,1,1,1,2,0
378,"Pipe error management, add $PIPESTATUS and link to documentation",521,True,False,,2021-07-12T21:19:01Z,0,1,0,1,1,1,2,0
267,Add flow control info.,0,True,False,,2021-07-12T21:18:20Z,0,1,0,1,2,0,2,0
266,"Consider onsgmls, pup, or other HTML parsers",0,True,False,,2021-07-12T21:17:26Z,0,4,7,1,2,0,2,0
263,Add tr command.,0,True,False,,2021-07-12T21:16:20Z,0,2,1,1,2,0,2,0
730,Added `touch` command.,91,True,False,,2021-05-07T12:30:40Z,0,2,2,1,2,0,2,0
601,Add cmder Windows tool,22,True,False,,2021-04-02T04:58:28Z,0,1,1,3,6,0,6,0
618,en: Fix description of `env` and add description of `eval`,211,True,False,,2020-11-01T15:03:28Z,0,2,7,1,3,1,4,0
693,Fix a typo,18,True,False,,2020-08-17T00:27:25Z,0,2,1,1,1,1,2,0
655,Create LICENSE,1818,True,False,,2020-08-17T00:31:04Z,0,2,1,1,21,0,21,0
649,Update README.md,0,True,True,2020-08-17T00:29:30Z,2020-08-17T00:29:30Z,0,2,0,1,1,1,2,25157322.0
650,Fixed a typo in README.md,0,True,False,,2020-08-17T00:28:43Z,1,3,1,1,1,1,2,0
661,misspelled a word,0,True,False,,2020-08-17T00:28:13Z,1,3,1,1,1,1,2,0
684,Minor spelling fix in readme,27,True,False,,2020-08-17T00:27:52Z,1,3,2,1,1,1,2,0
709,Updated Readme Typo,57,True,False,,2020-08-17T00:26:58Z,0,1,0,1,1,1,2,0
708,Test0,0,True,False,,2020-08-03T12:48:04Z,0,1,0,2,22,0,22,0
654,Fix the 'Windows only' link in README-es,0,True,False,,2020-07-08T15:20:06Z,0,1,0,1,1,1,2,0
652,fix: markdown bold syntax,66,True,False,,2020-05-09T07:40:24Z,1,3,1,1,4,4,8,0
688,"Updated Readme MD, fixed issue with misspelling",0,True,False,,2020-04-13T19:02:46Z,0,1,0,1,1,1,2,0
255,Excuting a script file,473,True,False,,2015-08-12T06:13:24Z,0,4,4,1,2,0,2,0
593,Fix Typo in Contributing.md,0,True,False,,2020-01-28T14:44:49Z,0,1,0,1,1,1,2,0
645,Merge pull request #1 from jlevy/master,9,True,False,,2019-10-17T10:17:51Z,0,2,1,0,0,0,0,0
