Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
422,Create Bloggtp,1,True,False,,2024-03-26T09:47:19Z,0,1,0,1,1,0,1,0
420,Create SECURITY.md,0,True,False,,2024-02-08T10:59:08Z,0,1,0,1,21,0,21,0
353,added shell cleaning trick,78,True,True,2022-02-28T20:34:27Z,2022-02-28T20:34:27Z,9,14,4,1,18,4,22,11194.0
410,Create SECURITY.md,0,True,False,,2023-12-30T07:52:01Z,1,2,2,1,21,0,21,0
408,Merge pull request #1 from trimstray/master,4,True,False,,2023-12-15T17:47:43Z,0,1,0,0,0,0,0,0
404,Create SECURITY.md,0,True,False,,2023-12-07T22:22:51Z,7,11,4,1,21,0,21,0
402,feat: add cognito-scanner pentest tool,258,True,False,,2023-12-07T22:22:08Z,9,14,13,1,1,0,1,0
217,Add PEASS,261,True,True,2022-02-23T18:46:33Z,2022-02-23T18:46:33Z,2,5,1,1,1,0,1,20671540.0
400,Update README.md,111,True,False,,2023-07-26T05:54:34Z,8,8,0,1,1,0,1,0
397,Abc: TESTING PURPOSE SLACK INTEGRATION,0,True,False,,2023-04-13T14:01:17Z,1,2,1,2,3,0,3,0
78,Minor awk tweak,79,True,True,2019-03-11T14:09:40Z,2019-03-11T14:09:40Z,0,2,1,1,2,7,9,50091.0
87,Fix alphabetical order,65,True,False,,2019-04-22T08:42:21Z,1,3,2,1,1,1,2,0
384,Added 1Password to Password Managers,231,True,False,,2023-01-03T15:10:20Z,1,2,0,1,1,0,1,0
142,added open source packet sender to the book of knowledge.,0,True,True,2020-01-27T17:26:57Z,2020-01-27T17:26:57Z,1,3,1,1,1,0,1,253773.0
385,Add GNU nano to text editors,0,True,False,,2023-05-18T07:11:20Z,3,4,2,1,1,0,1,0
239,adds quad9 (9.9.9.9) to list of public DNS resolvers,0,True,False,,2022-02-23T18:47:35Z,3,5,2,1,1,0,1,0
301,update link,269,True,False,,2022-08-19T11:38:01Z,11,11,11,1,1,2,3,0
383,merge duplicate text editors sections,27,True,False,,2022-12-18T16:23:46Z,0,1,1,1,3,8,11,0
223,Delete fakeface - fixes #216,457,True,True,2021-07-13T10:33:26Z,2021-07-13T10:33:26Z,2,4,1,1,0,1,1,29095.0
196,Added Bitwarden to Password Managers,77,True,False,,2021-05-13T16:31:12Z,0,2,1,1,1,0,1,0
207,Add bunkerized-nginx,0,True,True,2022-02-23T18:41:34Z,2022-02-23T18:41:34Z,1,3,0,1,1,0,1,22571901.0
250,Added TLScan,66,True,True,2022-02-23T19:01:08Z,2022-02-23T19:01:08Z,3,6,1,1,1,0,1,10916640.0
375,Added 1 tool in Pentesters Arsenal list,257,True,False,,2022-09-25T18:49:52Z,0,1,0,1,2,0,2,0
174,Fix broken link to Google shell style guide,0,True,True,2020-06-03T10:07:54Z,2020-06-03T10:07:55Z,0,3,44,1,1,1,2,384976.0
146,Merge pull request #146 from pylipp/fix/remove-duplicate,62,True,True,2020-01-25T15:06:10Z,2020-01-25T15:06:10Z,1,4,3,1,1,2,3,7013.0
294,Update README.md,134,True,True,2022-02-23T19:05:45Z,2022-02-23T19:05:45Z,5,6,1,1,1,1,2,6453974.0
362,Ad jo,0,True,False,,2022-06-07T09:44:46Z,0,1,0,1,1,0,1,0
3,Update README.md,73,True,True,2018-11-06T21:49:08Z,2018-11-06T21:49:08Z,3,5,3,1,2,0,2,13945.0
220,Fixes typo,0,True,True,2021-07-13T10:39:30Z,2021-07-13T10:39:30Z,1,4,1,1,1,1,2,676994.0
219,Add mssql-cli,0,True,True,2021-07-13T10:40:09Z,2021-07-13T10:40:09Z,1,5,2,1,1,0,1,711167.0
352,Trying to be messiah learning secret book,0,True,False,,2022-02-28T20:11:19Z,0,2,0,3,202,0,202,0
351,Create SECURITY.md,0,True,False,,2022-03-01T14:32:38Z,1,3,0,1,21,0,21,0
341,add 'CryptoLyzer',0,True,False,,2022-02-23T18:39:01Z,1,3,1,1,31,1,32,0
288,Add zoxide under Shell Plugins,364,True,False,,2022-02-23T19:05:16Z,1,4,3,1,1,0,1,0
175,Added nano-text editor in CLI tools,0,True,False,,2020-07-01T07:25:17Z,0,2,0,1,1,0,1,0
172,Add Django Cheatsheet,0,True,False,,2020-05-17T17:19:43Z,0,2,0,1,1,0,1,0
199,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, …",36,True,False,,2021-03-12T19:23:31Z,0,2,0,4,2211,324,2535,0
348,"Revert ""Remove Triple DES from OpenSSL section""",12,True,False,,2022-02-23T18:57:50Z,0,2,0,1,2,2,4,0
325,add 'CryptoLyzer',0,True,False,,2022-02-01T15:51:12Z,0,2,0,1,8,1,9,0
264,New,7,True,False,,2021-11-07T03:26:29Z,0,2,0,2,4428,0,4428,0
262,Updates on the list.,41,True,False,,2021-11-06T18:37:18Z,0,2,0,1,36,0,36,0
257,Update README.md,61,True,False,,2021-11-06T17:25:46Z,0,2,0,1,12,0,12,0
286,Add Hurl to CLI tools,93,True,True,2022-02-23T19:04:53Z,2022-02-23T19:04:53Z,0,2,0,1,1,0,1,7519549.0
277,Add Cyberwizard Institute to Tutorials,181,True,False,,2022-02-23T19:04:27Z,0,4,2,1,1,0,1,0
263,Adding new resources. ,41,True,False,,2022-02-23T19:02:37Z,0,4,3,2,4412,29,4441,0
251,Multiple updates,0,True,False,,2022-02-23T19:01:41Z,1,4,2,1,6,0,6,0
249,Added vaultwarden,66,True,True,2022-02-23T19:00:05Z,2022-02-23T19:00:05Z,1,3,0,1,1,0,1,10916892.0
248,Added ssl-cert-check,66,True,True,2022-02-23T18:59:15Z,2022-02-23T18:59:15Z,0,2,0,1,1,0,1,10920177.0
243,add a new tool in one liners,170,True,False,,2022-02-23T18:58:33Z,1,3,0,1,1,0,1,0
240,A cyber podcast,20,True,False,,2022-02-23T18:56:18Z,0,2,0,1,1,0,1,0
237,Add Haskell Dockerfile Linter,96,True,True,2022-02-23T18:55:27Z,2022-02-23T18:55:27Z,1,3,0,1,1,0,1,12498489.0
234,"Add Web Skills to sc. All-in-one, ch. Manuals/Howtos/Tutorials",350,True,True,2022-02-23T18:54:26Z,2022-02-23T18:54:26Z,0,4,2,1,1,0,1,13465116.0
233,added Roppers Fundamentals course,25,True,False,,2022-02-23T18:52:48Z,0,2,0,1,1,0,1,0
232,subsequent automerge,0,True,False,,2022-02-23T18:51:56Z,2,5,0,4,126,0,126,0
231,Update README.md,36,True,True,2022-02-23T18:51:40Z,2022-02-23T18:51:40Z,0,2,0,1,1,0,1,14599877.0
229,Added dnstwist,109,True,True,2022-02-23T18:50:24Z,2022-02-23T18:50:25Z,0,2,0,1,1,0,1,16833101.0
228,Add PwnDoc tool,131,True,False,,2022-02-23T18:49:07Z,0,2,0,1,2,1,3,0
225,Add Austin,165,True,True,2022-02-23T18:47:54Z,2022-02-23T18:47:54Z,0,2,0,1,1,0,1,19166664.0
226,Added nano text editor,0,True,False,,2022-02-23T18:47:33Z,0,2,0,1,1,0,1,0
224,Add Brave Search,0,True,False,,2022-02-23T18:47:06Z,0,2,0,1,1,0,1,0
218,Add a link to SchemaCrawler,0,True,True,2022-02-23T18:45:59Z,2022-02-23T18:45:59Z,0,2,1,1,1,0,1,20472228.0
214,Remove Triple DES from OpenSSL section,442,True,True,2022-02-23T18:45:11Z,2022-02-23T18:45:11Z,0,2,0,1,2,2,4,20828481.0
211,"Update README.md, dead link",64,True,True,2022-02-23T18:44:36Z,2022-02-23T18:44:36Z,0,3,1,1,1,1,2,20910144.0
213,Add mRemoteNG in CLI,0,True,True,2022-02-23T18:43:52Z,2022-02-23T18:43:52Z,0,2,0,1,1,0,1,20834805.0
238,Update README.md,91,True,False,,2021-10-20T18:45:52Z,0,3,1,1,1,0,1,0
210,Create How to Use,46,True,False,,2021-10-20T18:47:29Z,1,4,1,1,1,0,1,0
208,Update README.md,11,True,False,,2021-10-20T18:44:45Z,0,2,0,1,6,6,12,0
189,issue# 176: add VSCodium,214,True,False,,2021-05-13T16:39:23Z,0,2,0,1,1,0,1,0
222,Add Socat and Cutter,64,True,True,2021-07-13T10:38:49Z,2021-07-13T10:38:49Z,0,2,0,1,2,0,2,461994.0
200,Add 'DIRB',50,True,False,,2021-05-13T16:33:33Z,6,3,4,1,2,0,2,0
195,Updated with new search engine,101,True,True,2021-05-13T16:38:30Z,2021-05-13T16:38:30Z,0,2,0,1,1,0,1,9601676.0
198,added kakoune in Text editors section,0,True,False,,2021-05-13T16:31:34Z,0,2,0,1,1,0,1,0
203,add Alacritty,61,True,True,2021-05-13T16:28:57Z,2021-05-13T16:28:57Z,2,4,0,1,1,0,1,408415.0
205,Replace a paid password manager with the free software,170,True,True,2021-05-13T16:27:02Z,2021-05-13T16:27:02Z,0,2,0,1,1,1,2,32309.0
197,todo list,0,True,True,2021-02-25T06:43:52Z,2021-02-25T06:43:52Z,0,2,0,1,6,0,6,131102.0
182,Add Doom Emacs,34,True,False,,2020-11-14T08:30:30Z,0,2,0,1,1,0,1,0
180,bash/vim/networking cheat sheets from gnulinux.guru,0,True,False,,2020-11-14T08:30:17Z,0,2,0,1,3,0,3,0
123,Store script files as gists,35,True,False,,2020-11-14T08:26:06Z,1,3,0,1,24,0,24,0
187,Add link to Awesome ZSH plugins list,113,True,True,2020-10-11T19:50:56Z,2020-10-11T19:50:56Z,0,2,1,1,3,2,5,6810.0
181,Update README.md,44,True,True,2020-10-06T21:17:26Z,2020-10-06T21:17:26Z,2,4,0,1,1,1,2,5246319.0
185,Add Qubes OS to list of operating systems.,0,True,True,2020-10-06T21:14:32Z,2020-10-06T21:14:32Z,0,2,0,1,1,0,1,476139.0
186,Update README.md,27,True,True,2020-10-06T21:12:33Z,2020-10-06T21:12:33Z,0,2,0,1,2,0,2,407891.0
183,Add more private search engines to the list,54,True,True,2020-09-27T06:07:40Z,2020-09-27T06:07:40Z,0,2,1,1,4,0,4,130484.0
179,Added machine-learning-algorithms,99,True,True,2020-09-27T06:12:01Z,2020-09-27T06:12:01Z,1,3,0,1,1,0,1,5491407.0
170,Added Terminus,0,True,False,,2020-09-27T06:11:08Z,0,2,0,1,1,0,1,0
132,"Update README.md, add cyber to search engines",102,True,False,,2020-09-27T06:10:45Z,0,3,3,1,1,0,1,0
171,cheat.sh added in All-in-one Section,54,True,True,2020-07-19T06:11:04Z,2020-07-19T06:11:04Z,0,2,0,1,1,0,1,6139087.0
169,Add SpaceVim,70,True,True,2020-07-19T06:04:28Z,2020-07-19T06:04:28Z,1,3,0,1,1,0,1,8110974.0
177,added AFL and AFL++ fuzzers,0,True,True,2020-07-19T06:03:17Z,2020-07-19T06:03:17Z,0,2,0,1,2,0,2,498255.0
173,Adds FormatExpress,1065,True,False,,2020-07-19T06:00:58Z,0,3,1,1,1,0,1,0
147,Add Hyper Terminal,0,True,False,,2020-04-14T20:23:40Z,0,2,1,1,1,0,1,0
153,[ImgBot] Optimize images,230,True,False,,2020-04-14T20:17:57Z,0,3,1,2,0,0,0,0
