Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1248,Add support for Python 3.10 and 3.11,299,True,True,2023-07-10T13:00:18Z,2023-07-10T13:00:18Z,1,4,7,18,95,78,173,51317292.0
1432,Fix typos in README.md,0,True,True,2024-01-25T19:52:35Z,2024-01-25T19:52:35Z,1,2,1,1,13,13,26,40527.0
1419,Update LICENSE.md to 2023,55,True,False,,2023-12-06T21:01:17Z,0,0,0,1,1,1,2,0
1413,"Correct ""pip delete|remove"" -> ""pip uninstall""",146,True,False,,2023-11-09T08:23:17Z,0,1,0,2,25,7,32,0
1292,#1282 git misspelled,452,True,True,2022-06-13T21:29:15Z,2022-06-13T21:29:15Z,4,4,14,2,5,4,9,3549458.0
849,--yeah is present (missing from release 3.27) --you,117,True,False,,2023-09-06T02:38:33Z,1,3,1,1,1,1,2,0
1394,#N/A: Fix a couple of issues after new flake8 release,0,True,True,2023-07-30T20:43:17Z,2023-07-30T20:43:17Z,0,1,0,2,2,2,4,961.0
1352,Add appimage build,316,True,False,,2023-07-29T18:45:54Z,0,1,0,5,60,0,60,0
1390,chore: fix typo in test_omnienv_no_such_command.py,17,True,False,,2023-07-12T09:13:49Z,1,2,1,1,2,2,4,0
1329,feat: Add support for Windows `CMD` and easier setup for Powershell,347,True,True,2023-07-10T13:09:27Z,2023-07-10T13:09:27Z,6,2,3,3,37,3,40,26415798.0
1386,"feat : Replace 'add' with 'git add',which is a common mistake beginners makes",18,True,False,,2023-07-10T06:09:44Z,0,3,0,5,39,0,39,0
1384,feat : command add -> git add -A,64,True,False,,2023-07-09T10:14:00Z,0,1,0,1,6,0,6,0
1383,Update readme about git merge mistake,58,True,False,,2023-07-09T10:04:04Z,0,3,0,4,18,0,18,0
1361,Add poetry rule,0,True,False,,2023-06-14T00:20:07Z,0,1,0,2,33,0,33,0
1371,Added basic support for Atuin,665,True,False,,2023-04-08T18:18:31Z,1,2,2,2,61,14,75,0
1272,added the Code of Conduct,13,True,False,,2023-01-20T05:20:48Z,3,2,0,1,133,0,133,0
