Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
28222,Update GLTFExporter.js,60,True,True,2024-04-26T05:59:08Z,2024-04-26T05:59:08Z,1,3,1,1,1,1,2,32782.0
28223,Playground: Fix `PreviewEditor`,91,True,True,2024-04-26T00:08:05Z,2024-04-26T00:08:05Z,0,1,0,1,11,9,20,5633.0
28211,Examples: Added `webgpu_multiple_rendertargets_readback`,299,True,True,2024-04-25T15:08:28Z,2024-04-25T15:08:28Z,10,3,9,4,256,1,257,83356.0
28023,Added Jolt physics example,294,True,True,2024-04-18T14:51:09Z,2024-04-18T14:51:09Z,2,5,8,5,447,0,447,1812488.0
28219,Examples: remove unused render pass for webgpu mrt readback,93,True,True,2024-04-25T17:15:10Z,2024-04-25T17:15:10Z,0,2,0,1,4,6,10,5750.0
28049,USDZExporter: Rename parse to parseAsync,76,True,True,2024-04-03T07:54:51Z,2024-04-03T07:54:51Z,4,3,1,3,9,3,12,72037.0
28218,WebGPURenderer: Wait for device initialization in `hasFeatureAsync()`,31,True,True,2024-04-25T15:09:53Z,2024-04-25T15:09:53Z,0,2,0,3,13,31,44,1553.0
28217,WebGPUBackend: Remove unnecessary use of GPUAdapter (2),244,True,True,2024-04-25T13:50:10Z,2024-04-25T13:50:10Z,1,3,1,1,38,26,64,2120.0
28208,WebGPUBackend: Remove unnecessary use of GPUAdapter,227,True,True,2024-04-24T17:25:30Z,2024-04-24T17:25:30Z,0,4,3,1,35,30,65,13910.0
28215,"Revert ""WebGPUBackend: Remove unnecessary use of GPUAdapter""",35,True,True,2024-04-25T08:15:45Z,2024-04-25T08:15:45Z,0,1,0,1,30,35,65,17.0
28213,Examples: Clean up.,199,True,True,2024-04-25T04:53:31Z,2024-04-25T04:53:31Z,0,2,0,1,19,19,38,7946.0
18829,OrbitControl: Allow `camera.up` to be modified at any time.,486,True,False,,2024-04-24T19:19:15Z,1,5,7,1,8,4,12,0
26870,Examples: Fixed ESLint error.,89,True,True,2023-09-29T15:04:14Z,2023-09-29T15:04:14Z,0,2,0,1,1,1,2,6246.0
26871,GLTFLoader: Fixed ESLint error.,79,True,True,2023-09-29T15:04:35Z,2023-09-29T15:04:35Z,0,2,0,1,1,1,2,6099.0
27372,Docs: Fixed import error,46,True,True,2023-12-13T15:40:31Z,2023-12-13T15:40:31Z,0,2,0,2,2,2,4,3884.0
26774,Sprite: Clean up.,67,True,True,2023-09-16T16:52:53Z,2023-09-16T16:52:53Z,1,2,1,1,2,2,4,7816.0
26872,Update constants.js,49,True,True,2023-09-29T20:53:24Z,2023-09-29T20:53:24Z,0,2,1,1,1,1,2,26785.0
28121,Examples: Clean up.,52,True,True,2024-04-12T07:18:25Z,2024-04-12T07:18:25Z,0,2,0,1,22,22,44,24144.0
28171,Examples: use FullScreenQuad for `webgl_postprocessing_crossfade.html`,91,True,True,2024-04-21T08:33:25Z,2024-04-21T08:33:25Z,1,2,1,1,3,11,14,25283.0
