Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
30252,[docs] Spanish translation of pipeline_tutorial.md,701,True,True,2024-04-25T19:18:07Z,2024-04-25T19:18:07Z,5,4,4,2,136,0,136,884601.0
30484,Quantization: `HfQuantizer` quant method update,220,True,True,2024-04-25T19:09:28Z,2024-04-25T19:09:28Z,1,3,1,1,3,0,3,18574.0
30401,Add sidebar tutorial for chat models,67,True,True,2024-04-25T18:38:48Z,2024-04-25T18:38:48Z,3,3,2,2,292,0,292,261564.0
30370,Do not use deprecated `SourceFileLoader.load_module()` in dynamic module loading,1662,True,True,2024-04-25T16:23:39Z,2024-04-25T16:23:39Z,3,4,6,1,10,3,13,360356.0
30473,Fix Llava for 0-embeddings,521,True,True,2024-04-25T15:28:51Z,2024-04-25T15:28:51Z,3,5,1,4,41,6,47,25443.0
29666,Introduce Stateful Callbacks,2837,True,True,2024-04-25T15:00:09Z,2024-04-25T15:00:09Z,9,3,3,4,337,7,344,3578648.0
30463,Make accelerate install non-torch dependent,877,True,True,2024-04-25T13:37:55Z,2024-04-25T13:37:55Z,6,4,4,1,10,5,15,67167.0
30209,Enable fx tracing for Mistral,471,True,True,2024-04-17T09:38:48Z,2024-04-17T09:38:48Z,5,6,9,7,9,6,15,436615.0
30457, Fix Issue #29817 Video Classification Task Guide Using Undeclared Variables,823,True,True,2024-04-25T12:49:30Z,2024-04-25T12:49:30Z,3,3,3,1,25,0,25,69690.0
30231,Add WSD scheduler,837,True,True,2024-04-25T11:07:21Z,2024-04-25T11:07:21Z,3,4,5,6,82,0,82,1064365.0
29802,🚨 Add training compatibility for Musicgen-like models,728,True,True,2024-04-25T10:51:19Z,2024-04-25T10:51:20Z,8,6,6,5,333,52,385,2944356.0
30477,Prevent crash with `WandbCallback` with third parties,1034,True,True,2024-04-25T10:49:06Z,2024-04-25T10:49:06Z,2,3,5,1,3,8,11,4445.0
29478,[WIP] Adds AudioMAE,83,True,False,,2024-04-25T10:48:27Z,0,3,6,0,0,0,0,0
30466,Don't run fp16 MusicGen tests on CPU,467,True,True,2024-04-25T10:14:08Z,2024-04-25T10:14:08Z,1,3,1,2,4,0,4,47890.0
30475,Fix SigLip classification doctest,425,True,True,2024-04-25T10:13:54Z,2024-04-25T10:13:54Z,2,3,1,1,1,1,2,4716.0
29686,Script for finding candidate models for deprecation,890,True,True,2024-04-25T09:10:02Z,2024-04-25T09:10:02Z,17,4,14,1,199,0,199,3500860.0
30472,[fix codellama conversion] ,35,True,True,2024-04-25T08:56:48Z,2024-04-25T08:56:48Z,1,3,2,1,2,2,4,2208.0
30474,FIX / Workflow: Fix SSH workflow bug,69,True,True,2024-04-25T08:36:54Z,2024-04-25T08:36:54Z,1,3,2,1,2,2,4,531.0
30471,FIX / Workflow: Change tailscale trigger condition,234,True,True,2024-04-25T08:33:12Z,2024-04-25T08:33:12Z,1,3,1,1,1,1,2,799.0
30425,Workflow / ENH: Add SSH into our runners workflow,197,True,True,2024-04-25T08:23:41Z,2024-04-25T08:23:41Z,12,4,1,1,60,0,60,157052.0
30465,Non blocking support to torch DL's,1090,True,True,2024-04-24T20:24:23Z,2024-04-24T20:24:23Z,1,3,1,2,27,0,27,1523.0
30392,consistent job / pytest report / artifact name correspondence,844,True,True,2024-04-24T20:32:42Z,2024-04-24T20:32:42Z,1,3,3,13,145,145,290,196317.0
30459,Enable fp16 on CPU,900,True,True,2024-04-24T19:38:52Z,2024-04-24T19:38:52Z,3,3,1,3,10,3,13,4767.0
30460,Pin torch version to < 2.3,293,True,False,,2024-04-24T19:30:23Z,1,4,11,5,17,14,31,0
29703,"Neuron: When save_safetensor=False, no need to move model to CPU",1060,True,True,2024-04-24T17:22:08Z,2024-04-24T17:22:08Z,2,4,2,1,4,2,6,3271787.0
29977,[`research_project`] Most of the security issues come from this requirement.txt,27,True,True,2024-04-24T15:56:45Z,2024-04-24T15:56:45Z,1,3,1,1,5,5,10,2014883.0
30456,Fix wrong indent in `utils/check_if_new_model_added.py`,47,True,True,2024-04-24T15:44:12Z,2024-04-24T15:44:12Z,2,2,0,1,2,2,4,3016.0
30423,Phi-3,702,True,True,2024-04-24T15:32:09Z,2024-04-24T15:32:09Z,7,7,19,15,2513,0,2513,98433.0
30455,debug don't merge,680,True,False,,2024-04-24T15:03:46Z,0,3,1,16,2515,2,2517,0
30453,Add `paths` filter to avoid the chance of being triggered,1012,True,True,2024-04-24T14:58:54Z,2024-04-24T14:58:54Z,2,3,1,1,2,15,17,9387.0
30421,[SegGPT] Fix loss calculation,1094,True,True,2024-04-24T14:24:34Z,2024-04-24T14:24:34Z,2,2,2,2,89,16,105,95256.0
30418,fix jamba slow foward for multi-gpu,1237,True,True,2024-04-24T12:19:08Z,2024-04-24T12:19:08Z,2,3,2,1,2,1,3,90737.0
30435,fix uncaught init of linear layer in clip's/siglip's for image classification models,1126,True,True,2024-04-24T12:03:31Z,2024-04-24T12:03:31Z,1,4,8,2,10,0,10,68478.0
30414,Fix attn mask for static cache,378,True,False,,2024-04-24T10:37:11Z,1,4,7,4,20,0,20,0
30444,[tests] make test device-agnostic,1251,True,True,2024-04-24T10:21:27Z,2024-04-24T10:21:28Z,1,2,0,1,14,16,30,30022.0
30386,Create React Code Agent,32,True,True,2024-04-24T10:04:56Z,2024-04-24T10:04:56Z,0,2,0,8,328,53,381,174746.0
30385,Add message passing format,30,True,False,,2024-04-24T09:56:40Z,0,2,2,3,150,40,190,0
30337,Add messages to agents (#5),99,True,True,2024-04-24T09:56:25Z,2024-04-24T09:56:25Z,1,3,2,3,158,45,203,433489.0
30440,[`Llava`] + CIs fix red cis and llava integration tests,65,True,True,2024-04-24T08:51:35Z,2024-04-24T08:51:35Z,5,4,2,2,5,13,18,40119.0
