Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
211395,Add error message for chat loading,0,True,True,2024-04-25T23:40:28Z,2024-04-25T23:40:28Z,1,3,0,3,23,2,25,1007.0
211391,Pick up latest Markdown language service,110,True,True,2024-04-25T20:48:44Z,2024-04-25T20:48:45Z,1,2,0,7,25,14,39,2229.0
211386,Add value,0,True,False,,2024-04-25T19:46:43Z,0,1,0,1,4,1,5,0
211383,Update require.d.ts,0,True,False,,2024-04-25T19:35:44Z,0,2,0,1,2,0,2,0
211385,Add verification steps needed to endgame notebook,0,True,True,2024-04-25T19:12:54Z,2024-04-25T19:12:54Z,1,3,0,1,10,0,10,987.0
211379,"Can't disable ""An external application wants to open"" warnings (fix #207777)",0,True,True,2024-04-25T18:22:55Z,2024-04-25T18:22:55Z,1,2,0,1,1,1,2,1046.0
209893,Add 'noDebug' for selectAndStartDebugging command,251,True,True,2024-04-12T19:51:06Z,2024-04-12T19:51:07Z,3,3,0,1,2,2,4,340029.0
211373,Update my-endgame notebook,71,True,True,2024-04-25T16:20:49Z,2024-04-25T16:20:49Z,1,2,0,1,2,2,4,1027.0
211300,Fix broken chat layout after reloading window,96,True,True,2024-04-25T15:39:52Z,2024-04-25T15:39:52Z,2,4,0,22,59,29,88,61237.0
211371,fix #211227,13,True,True,2024-04-25T15:27:18Z,2024-04-25T15:27:18Z,1,3,0,1,6,6,12,995.0
211330,Connor4312/test preserve focus proposal,0,True,False,,2024-04-25T15:13:32Z,0,4,1,10,40,6,46,0
211234,Disable terminal find alt keybinding unless widget is visible,13,True,True,2024-04-24T09:52:55Z,2024-04-24T09:52:55Z,3,3,0,1,3,3,6,1043.0
211365,rename suggestions extra telemetry,0,True,True,2024-04-25T14:20:58Z,2024-04-25T14:20:58Z,1,3,0,2,30,0,30,988.0
211356,Pragmatic fix for diff decoration in split editors,13,True,True,2024-04-25T13:53:18Z,2024-04-25T13:53:18Z,1,3,0,1,26,2,28,1000.0
211337,Show git gutter indicators in both panes when using `Split Editor In Group`,13,True,False,,2024-04-25T12:27:20Z,1,3,2,3,21,4,25,0
211331,Keep hover open when increase hover verbosity or decrease hover verbosity actions are triggered,119,True,True,2024-04-25T12:54:29Z,2024-04-25T12:54:29Z,1,3,0,1,6,4,10,9630.0
211340,fix #210119,11,True,True,2024-04-25T11:27:43Z,2024-04-25T11:27:44Z,3,4,0,1,26,3,29,1167.0
211335,Breakpoint with stackframe should use debugStackframeDot,13,True,True,2024-04-25T11:07:02Z,2024-04-25T11:07:02Z,1,3,0,1,2,2,4,979.0
211333,"Revert ""fix #210999 (#211326)""",28,True,True,2024-04-25T10:38:07Z,2024-04-25T10:38:07Z,1,3,0,1,2,3,5,1145.0
211332,fix #211216,11,True,True,2024-04-25T10:33:20Z,2024-04-25T10:33:20Z,1,3,0,1,1,1,2,1100.0
211328,Fix wrong use of disposables,155,True,True,2024-04-25T10:22:25Z,2024-04-25T10:22:25Z,2,4,0,4,25,18,43,1621.0
211329,Cannot read properties of undefined (reading 'localeCompare'),13,True,True,2024-04-25T10:22:01Z,2024-04-25T10:22:01Z,2,4,0,1,24,20,44,1389.0
211323,telemetry for lightbulb and move to code actions,446,True,True,2024-04-25T10:16:46Z,2024-04-25T10:16:46Z,1,3,0,3,53,9,62,3251.0
206072,Removes duplicated browser folder,65,True,False,,2024-04-25T10:07:49Z,1,3,0,25,23,23,46,0
211327,TreeView `reveal` gets stuck if `onDidChangeTreeData` was fired with empty array,13,True,True,2024-04-25T10:05:25Z,2024-04-25T10:05:25Z,1,3,0,1,6,1,7,1012.0
211326,fix #210999,11,True,True,2024-04-25T10:00:56Z,2024-04-25T10:00:56Z,3,3,0,1,3,2,5,1091.0
211324,fix #211297,11,True,True,2024-04-25T09:55:41Z,2024-04-25T09:55:41Z,1,3,0,1,9,2,11,1157.0
210543,Fixes #210460,13,True,True,2024-04-25T09:50:01Z,2024-04-25T09:50:01Z,2,5,2,1,21,11,32,691408.0
211271,Fixed revert,265,True,False,,2024-04-25T09:26:12Z,0,2,2,6,111,7,118,0
211319,fix #211148,11,True,True,2024-04-25T09:01:12Z,2024-04-25T09:01:12Z,1,3,0,2,41,35,76,1013.0
211316,add overall requests count,0,True,True,2024-04-25T07:54:30Z,2024-04-25T07:54:30Z,1,3,0,1,6,4,10,1245.0
211303,Increase text contrast of slash command pills by dimming background slightly,0,True,True,2024-04-25T05:57:38Z,2024-04-25T05:57:38Z,1,3,0,1,1,1,2,21485.0
211301,Activate inline chat on empty code cell other than inserting new cell,0,True,True,2024-04-25T01:00:44Z,2024-04-25T01:00:44Z,1,3,0,3,14,8,22,6658.0
211296,Luciana is cool,35,True,True,2024-04-24T23:55:08Z,2024-04-24T23:55:08Z,1,3,0,1,1,1,2,8802.0
211295,fix https://github.com/microsoft/vscode-copilot/issues/5342,0,True,True,2024-04-24T21:41:55Z,2024-04-24T21:41:55Z,1,3,0,1,3,3,6,1073.0
211294,debug: bump js-debug for 1.89,0,True,True,2024-04-24T21:26:26Z,2024-04-24T21:26:26Z,1,3,0,1,2,2,4,1057.0
210074,Pick up latest TS recovery 5.4.5,13,True,True,2024-04-10T16:31:46Z,2024-04-10T16:31:46Z,5,4,0,2,5,5,10,1531.0
211292,testing,37,True,False,,2024-04-24T20:54:08Z,2,2,0,1,2,2,4,0
211287,open folder settings in right click menu of explorer does not work (fix #176060),0,True,True,2024-04-24T18:51:24Z,2024-04-24T18:51:24Z,1,3,0,2,12,3,15,1196.0
211284,Complete left side of completion if it differs,13,True,True,2024-04-24T18:30:55Z,2024-04-24T18:30:55Z,1,2,0,1,14,3,17,3238.0
211273,more generous minHeight when showing diffs/edits,35,True,True,2024-04-24T18:03:49Z,2024-04-24T18:03:49Z,2,4,0,1,12,3,15,4843.0
211283,Don't auto accept suggestion when there's only 1,13,True,True,2024-04-24T18:03:35Z,2024-04-24T18:03:35Z,1,2,0,1,0,7,7,2306.0
211285,send inline chat variable as dedicated hidden variable,29,True,True,2024-04-24T18:00:45Z,2024-04-24T18:00:45Z,1,3,0,1,12,0,12,1114.0
211282,chore: exclude error-telemetry issues,128,True,True,2024-04-24T17:39:26Z,2024-04-24T17:39:27Z,1,2,0,1,1,1,2,1073.0
211281,Hide terminal suggest when completions are no longer valid,13,True,True,2024-04-24T17:36:37Z,2024-04-24T17:36:37Z,1,2,0,1,7,0,7,1016.0
211276,eng: fix selfhost test explorer not always working,13,True,True,2024-04-24T17:14:25Z,2024-04-24T17:14:25Z,1,3,0,1,3,1,4,1076.0
211275,tweak inline chat zone shadow,0,True,True,2024-04-24T17:09:48Z,2024-04-24T17:09:48Z,1,3,0,1,2,1,3,1032.0
211269,show only requests aggregated for all models,0,True,True,2024-04-24T16:53:13Z,2024-04-24T16:53:13Z,1,3,0,3,41,223,264,4714.0
211265,ignore window.systemColorTheme when window.autoDetectColorScheme is enabled,147,True,True,2024-04-24T15:21:48Z,2024-04-24T15:21:48Z,2,3,0,5,71,51,122,1274.0
211263,Polish custom editor label description,13,True,True,2024-04-24T15:07:53Z,2024-04-24T15:07:53Z,1,3,0,1,1,1,2,1180.0
211247,consistent use of System Color Mode,13,True,False,,2024-04-24T15:01:49Z,0,2,1,3,13,13,26,0
