Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
3929,升级element-ui到2.15.7、sass到1.34.0、sass-loader到10.1.1,236,True,False,,2024-01-22T16:05:01Z,0,1,1,1,3,3,6,0
4202,Login page cleanup,167,True,False,,2023-11-09T20:09:09Z,0,1,0,1,0,51,51,0
4194,pull,0,True,False,,2023-09-12T02:17:14Z,0,35,0,70,845,612,1457,0
927,完善input背景和光标色;,159,True,True,2018-08-01T03:03:30Z,2018-08-01T03:03:30Z,0,4,5,1,39,26,65,5202.0
4180,I18n,4,True,False,,2023-07-11T15:29:18Z,0,41,0,105,2289,880,3169,0
811,add pwa,4,True,False,,2023-04-04T05:31:43Z,0,3,3,10,182,1,183,0
3183,test,4,True,False,,2020-05-12T10:08:54Z,0,1,2,8,39,33,72,0
3186,test,4,True,False,,2020-05-13T01:54:07Z,0,1,2,9,40,34,74,0
3188,test,13,True,False,,2020-05-14T02:00:25Z,0,1,2,9,41,35,76,0
4077,The icon will shake and shift when changing the skin,52,True,False,,2023-03-02T05:42:19Z,0,1,1,3,6,1,7,0
4130,new pus,0,True,False,,2023-02-15T04:58:18Z,0,1,0,160,11962,5649,17611,0
4125,SVG组件use标签添加href属性,93,True,False,,2023-02-01T03:51:25Z,0,1,0,1,1,1,2,0
4064,Turkish Language support has been added.,0,True,False,,2022-09-09T15:23:12Z,0,1,1,5,351,104,455,0
4043,修改.env.development,0,True,False,,2022-07-24T03:18:55Z,0,1,1,1,1,1,2,0
3652,destroyed => beforeDestroy,36,True,False,,2022-07-18T13:25:35Z,0,1,1,1,1,1,2,0
3953,Switch to gender neutral terms,409,True,False,,2022-06-21T17:22:31Z,0,1,1,2,2,2,4,0
4020,fix: query lost when redirect,3,True,False,,2022-06-21T08:46:43Z,0,1,1,1,2,2,4,0
3949,"fix: [当router的redirect使用函数作为参数时, 点击面包屑导致页面空白]",141,True,False,,2022-05-27T09:22:47Z,0,1,1,1,1,1,2,0
4006,re,4,True,False,,2022-05-25T06:21:05Z,0,1,0,9,122,284,406,0
3969,fix(Excel): fixed export style bug,0,True,False,,2022-05-11T11:00:23Z,0,1,1,1,6,4,10,0
2832,The pager adds processing for deleting data and solves the problem.,123,True,False,,2022-05-02T10:05:47Z,0,1,1,3,9,2,11,0
2197,实现了异步导出的功能,68,True,False,,2022-02-18T06:34:38Z,0,2,2,3,358,2,360,0
1702,增加 el-table 自适应高度指令,33,True,True,2019-03-15T08:00:59Z,2019-03-15T08:00:59Z,0,5,15,2,56,0,56,185097.0
3430,fix: validLowerCase and validUpperCase the result return  incorrect,292,True,False,,2021-12-11T07:37:20Z,0,1,1,2,6,0,6,0
3872,24234,9,True,False,,2021-11-23T18:42:07Z,0,1,0,7,2,6,8,0
727,chore: use babel-plugin-dynamic-import-node to lazy-loading,132,True,True,2018-05-31T08:53:09Z,2018-05-31T08:53:09Z,0,2,1,3,55,52,107,1864.0
3793,Change in the order converting the business partner into a customer,88,True,False,,2021-08-25T19:58:33Z,0,8,1,972,154811,2691,157502,0
3759,Switching from document type,57,True,False,,2021-07-14T14:53:06Z,0,10,1,892,113885,2687,116572,0
3635,chore:[Tinymce]:update editor's content when bound value changes,58,True,False,,2021-06-01T14:04:09Z,0,1,2,1,3,0,3,0
2910,自动排除mock,29,True,True,2020-01-06T14:22:37Z,2020-01-06T14:22:37Z,0,3,2,1,4,3,7,20543.0
3562,1,1,True,False,,2020-12-24T08:29:20Z,0,1,1,1,1,1,2,0
3548,pull request,12,True,False,,2020-12-11T03:26:47Z,0,1,1,0,0,0,0,0
3547,pull request,12,True,False,,2020-12-11T03:20:03Z,0,1,1,0,0,0,0,0
3542,Mybranch,0,True,False,,2020-12-09T08:24:36Z,0,1,1,0,0,0,0,0
3533,update:复用card-panel-col；修改部分拼写错误单词,0,True,False,,2020-12-05T02:19:56Z,0,1,1,3,63,50,113,0
3116,3级路由缓存问题,231,True,False,,2020-05-25T09:26:05Z,0,5,5,20,104,57,161,0
3329,Dev h5 config,0,True,False,,2020-07-21T10:47:05Z,0,1,2,13,822,0,822,0
3323,typo: replace Css with CSS,0,True,True,2020-07-20T10:13:01Z,2020-07-20T10:13:01Z,0,2,1,1,1,1,2,255069.0
3321,看别人优秀的项目架构,0,True,False,,2020-07-16T06:08:39Z,0,1,1,3,5,5,10,0
3301,perf[permission.js]: remove useless code,64,True,True,2020-07-05T05:12:47Z,2020-07-05T05:12:47Z,0,2,1,1,1,5,6,17323.0
