Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1165,mini change: removed unnecessary spaces,69,True,True,2015-08-16T15:45:35Z,2015-08-16T15:45:35Z,0,15,14,1,1,1,2,6772.0
12662,refactor: add some types support,975,True,False,,2024-04-10T08:37:31Z,0,1,0,8,19,19,38,0
13180,Update README.md,920,True,False,,2024-04-07T19:20:44Z,0,2,0,1,1,0,1,0
13179,Update README.md,920,True,False,,2024-04-01T07:37:51Z,0,2,0,1,2,0,2,0
13178,Update README.md,920,True,False,,2024-03-27T16:17:01Z,0,2,0,1,2,0,2,0
12403,ci: Update CircleCI pipeline to run Codecov,1697,True,False,,2024-03-19T17:29:29Z,2,3,3,3,17,28,45,0
13176,Update README.md,920,True,False,,2024-03-14T18:39:02Z,0,2,0,1,3,0,3,0
12455,fix(core): add prop name to invalid prop type warning message (fix #12454),1293,True,False,,2024-03-11T14:26:34Z,0,1,0,2,4,4,8,0
13174,Update README.md,920,True,False,,2024-03-11T06:53:20Z,0,2,0,1,2,2,4,0
13173,Update mixin.ts with @param annotations,1091,True,False,,2024-03-06T23:46:07Z,0,1,0,1,10,3,13,0
13172,fix: Repairing the comparison between NaN and other values,1042,True,False,,2024-02-23T05:25:16Z,0,2,1,1,5,6,11,0
13171,Update README.md,936,True,False,,2024-02-21T13:58:56Z,0,2,1,1,1,1,2,0
13170,init pr,920,True,False,,2024-02-21T09:22:25Z,0,3,0,1,1,1,2,0
13169,Update README.md,920,True,False,,2024-02-09T07:15:07Z,0,2,0,1,2,0,2,0
13167,Add files via upload,14,True,False,,2024-02-06T08:16:41Z,0,2,0,1,11,0,11,0
12766,chore: remove eslint related contents,1176,True,False,,2024-02-05T05:59:18Z,0,1,0,23,19,40,59,0
12764,chore: update PR Template,1161,True,False,,2024-02-05T05:59:08Z,0,1,0,1,6,6,12,0
11921,feat(build): add sourceMap,224,True,False,,2024-02-03T06:43:16Z,3,2,0,5,115,22,137,0
13165,Update index.ts,920,True,False,,2024-02-02T12:08:20Z,0,2,0,1,85,238,323,0
13166,Update index.ts recent,920,True,False,,2024-02-02T12:08:18Z,0,2,0,1,129,198,327,0
13163,added message,920,True,False,,2024-01-31T13:14:18Z,0,2,0,1,1,0,1,0
13162,added message,920,True,False,,2024-01-30T17:04:56Z,0,1,0,1,2,0,2,0
13161,Update README.md,920,True,False,,2024-01-28T10:24:40Z,0,2,1,1,2,0,2,0
13160,Update README.md,920,True,False,,2024-01-25T11:55:30Z,0,2,0,1,2,0,2,0
10491,feat(web): Integrate trusted types into Vue,3763,True,False,,2023-11-20T12:05:10Z,10,6,7,6,402,8,410,0
13158,Update index.html,920,True,False,,2024-01-17T16:32:49Z,0,2,1,1,1,1,2,0
13157,Update README.md,920,True,False,,2024-01-13T19:03:50Z,0,1,0,1,2,0,2,0
13156,Update README.md,920,True,False,,2024-01-12T12:24:22Z,0,2,0,1,2,0,2,0
13155,Update README.md,920,True,False,,2024-01-11T10:25:01Z,0,1,0,1,1,0,1,0
13154,Update README.md by bhargavi dave,920,True,False,,2024-01-11T09:25:19Z,0,2,0,1,1,0,1,0
13153,Update README.md,920,True,False,,2024-01-10T19:27:23Z,0,2,0,1,2,0,2,0
13152,hi there,920,True,False,,2024-01-10T19:27:11Z,0,58,0,942,84687,181343,266030,0
13150,"fix: Save initial transform, WebkitTransform, transitionDuration styles an…",983,True,False,,2024-01-08T20:18:50Z,1,2,0,1,13,1,14,0
13148,added message,920,True,False,,2024-01-05T19:20:57Z,0,2,0,1,2,0,2,0
13149,added message,920,True,False,,2024-01-05T19:20:50Z,0,2,0,1,2,0,2,0
13147,added message,920,True,False,,2024-01-05T19:20:39Z,0,2,0,1,2,0,2,0
13146,Update README.md,920,True,False,,2024-01-03T19:49:07Z,0,1,0,1,2,0,2,0
13145,Fork Testing Final Report,17,True,False,,2024-01-03T12:20:59Z,0,56,2,883,85719,149098,234817,0
13144,MY_2024_README.md,992,True,False,,2024-01-02T15:51:37Z,0,2,1,1,1,0,1,0
13143,My_Own_README.md,971,True,False,,2024-01-02T14:11:42Z,0,57,0,1,3,0,3,0
