Nome,QuantidadePRsMerged,url
awesome,644,https://github.com/sindresorhus/awesome
public-apis,1871,https://github.com/public-apis/public-apis
coding-interview-university,398,https://github.com/jwasham/coding-interview-university
developer-roadmap,1819,https://github.com/kamranahmedse/developer-roadmap
996.ICU,1066,https://github.com/996icu/996.ICU
build-your-own-x,135,https://github.com/codecrafters-io/build-your-own-x
system-design-primer,196,https://github.com/donnemartin/system-design-primer
react,10003,https://github.com/facebook/react
vue,1133,https://github.com/vuejs/vue
awesome-python,541,https://github.com/vinta/awesome-python
javascript-algorithms,288,https://github.com/trekhleb/javascript-algorithms
tensorflow,18088,https://github.com/tensorflow/tensorflow
Python,2760,https://github.com/TheAlgorithms/Python
awesome-selfhosted,2395,https://github.com/awesome-selfhosted/awesome-selfhosted
You-Dont-Know-JS,365,https://github.com/getify/You-Dont-Know-JS
CS-Notes,375,https://github.com/CyC2018/CS-Notes
linux,10,https://github.com/torvalds/linux
ohmyzsh,3107,https://github.com/ohmyzsh/ohmyzsh
project-based-learning,182,https://github.com/practical-tutorials/project-based-learning
bootstrap,8702,https://github.com/twbs/bootstrap
computer-science,262,https://github.com/ossu/computer-science
flutter,36949,https://github.com/flutter/flutter
AutoGPT,1550,https://github.com/Significant-Gravitas/AutoGPT
vscode,24460,https://github.com/microsoft/vscode
gitignore,1523,https://github.com/github/gitignore
Python-100-Days,13,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,317,https://github.com/jlevy/the-art-of-command-line
JavaGuide,1003,https://github.com/Snailclimb/JavaGuide
javascript,804,https://github.com/airbnb/javascript
stable-diffusion-webui,1735,https://github.com/AUTOMATIC1111/stable-diffusion-webui
the-book-of-secret-knowledge,122,https://github.com/trimstray/the-book-of-secret-knowledge
youtube-dl,1625,https://github.com/ytdl-org/youtube-dl
transformers,12238,https://github.com/huggingface/transformers
fucking-algorithm,233,https://github.com/labuladong/fucking-algorithm
awesome-go,3134,https://github.com/avelino/awesome-go
next.js,16732,https://github.com/vercel/next.js
go,1,https://github.com/golang/go
30-seconds-of-code,816,https://github.com/Chalarangelo/30-seconds-of-code
react-native,813,https://github.com/facebook/react-native
electron,19171,https://github.com/electron/electron
tech-interview-handbook,456,https://github.com/yangshun/tech-interview-handbook
free-programming-books-zh_CN,282,https://github.com/justjavac/free-programming-books-zh_CN
d3,479,https://github.com/d3/d3
kubernetes,58123,https://github.com/kubernetes/kubernetes
PowerToys,4601,https://github.com/microsoft/PowerToys
axios,819,https://github.com/axios/axios
node,7857,https://github.com/nodejs/node
awesome-chatgpt-prompts,114,https://github.com/f/awesome-chatgpt-prompts
scrcpy,77,https://github.com/Genymobile/scrcpy
create-react-app,1944,https://github.com/facebook/create-react-app
three.js,12189,https://github.com/mrdoob/three.js
TypeScript,13911,https://github.com/microsoft/TypeScript
nodebestpractices,765,https://github.com/goldbergyoni/nodebestpractices
angular,3541,https://github.com/angular/angular
terminal,3633,https://github.com/microsoft/terminal
rust,54511,https://github.com/rust-lang/rust
deno,10405,https://github.com/denoland/deno
material-ui,17987,https://github.com/mui/material-ui
ant-design,13473,https://github.com/ant-design/ant-design
clean-code-javascript,149,https://github.com/ryanmcdermott/clean-code-javascript
GitHub-Chinese-Top-Charts,0,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
puppeteer,4424,https://github.com/puppeteer/puppeteer
java-design-patterns,1319,https://github.com/iluwatar/java-design-patterns
vue-element-admin,312,https://github.com/PanJiaChen/vue-element-admin
HelloGitHub,17,https://github.com/521xueweihan/HelloGitHub
free-for-dev,2462,https://github.com/ripienaar/free-for-dev
godot,32031,https://github.com/godotengine/godot
papers-we-love,425,https://github.com/papers-we-love/papers-we-love
langchain,9112,https://github.com/langchain-ai/langchain
thefuck,482,https://github.com/nvbn/thefuck
storybook,9741,https://github.com/storybookjs/storybook
Web-Dev-For-Beginners,478,https://github.com/microsoft/Web-Dev-For-Beginners
animate.css,315,https://github.com/animate-css/animate.css
frp,601,https://github.com/fatedier/frp
tailwindcss,2072,https://github.com/tailwindlabs/tailwindcss
realworld,427,https://github.com/gothinkster/realworld
iptv,6179,https://github.com/iptv-org/iptv
pytorch,5700,https://github.com/pytorch/pytorch
tauri,3876,https://github.com/tauri-apps/tauri
Awesome-Hacking,31,https://github.com/Hack-with-Github/Awesome-Hacking
every-programmer-should-know,98,https://github.com/mtdvio/every-programmer-should-know
laravel,1571,https://github.com/laravel/laravel
django,8891,https://github.com/django/django
models,2324,https://github.com/tensorflow/models
neovim,12582,https://github.com/neovim/neovim
svelte,3839,https://github.com/sveltejs/svelte
bitcoin,13945,https://github.com/bitcoin/bitcoin
nvm,705,https://github.com/nvm-sh/nvm
opencv,12001,https://github.com/opencv/opencv
gin,994,https://github.com/gin-gonic/gin
mall,1,https://github.com/macrozheng/mall
FiraCode,132,https://github.com/tonsky/FiraCode
hello-algo,767,https://github.com/krahets/hello-algo
LeetCodeAnimation,63,https://github.com/MisterBooo/LeetCodeAnimation
app-ideas,149,https://github.com/florinpop17/app-ideas
advanced-java,79,https://github.com/doocs/advanced-java
Font-Awesome,203,https://github.com/FortAwesome/Font-Awesome
excalidraw,3313,https://github.com/excalidraw/excalidraw
spring-boot,42,https://github.com/spring-projects/spring-boot
hugo,2438,https://github.com/gohugoio/hugo
Microsoft-Activation-Scripts,3,https://github.com/massgravel/Microsoft-Activation-Scripts
awesome-mac,838,https://github.com/jaywcjlove/awesome-mac
json-server,117,https://github.com/typicode/json-server
awesome-vue,3471,https://github.com/vuejs/awesome-vue
fastapi,1889,https://github.com/tiangolo/fastapi
yt-dlp,1983,https://github.com/yt-dlp/yt-dlp
bun,2881,https://github.com/oven-sh/bun
core,57673,https://github.com/home-assistant/core
netdata,8326,https://github.com/netdata/netdata
ChatGPT-Next-Web,598,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web
moby,19617,https://github.com/moby/moby
elasticsearch,63126,https://github.com/elastic/elasticsearch
Front-End-Checklist,174,https://github.com/thedaviddias/Front-End-Checklist
node,94,https://github.com/base-org/node
awesome-interview-questions,175,https://github.com/DopplerHQ/awesome-interview-questions
mermaid,2005,https://github.com/mermaid-js/mermaid
reveal.js,400,https://github.com/hakimel/reveal.js
ML-For-Beginners,354,https://github.com/microsoft/ML-For-Beginners
flask,1551,https://github.com/pallets/flask
supabase,8407,https://github.com/supabase/supabase
swift,47929,https://github.com/apple/swift
stable-diffusion,5,https://github.com/CompVis/stable-diffusion
code-server,1440,https://github.com/coder/code-server
cs-video-courses,138,https://github.com/Developer-Y/cs-video-courses
redis,3706,https://github.com/redis/redis
github-readme-stats,1092,https://github.com/anuraghazra/github-readme-stats
vite,4261,https://github.com/vitejs/vite
gpt4all,513,https://github.com/nomic-ai/gpt4all
nest,6117,https://github.com/nestjs/nest
webpack,4601,https://github.com/webpack/webpack
funNLP,14,https://github.com/fighting41love/funNLP
awesome-for-beginners,335,https://github.com/MunGell/awesome-for-beginners
express,294,https://github.com/expressjs/express
protobuf,5134,https://github.com/protocolbuffers/protobuf
awesome-machine-learning,827,https://github.com/josephmisiti/awesome-machine-learning
devops-exercises,261,https://github.com/bregman-arie/devops-exercises
Chart.js,2933,https://github.com/chartjs/Chart.js
sway,2788,https://github.com/FuelLabs/sway
rustdesk,2509,https://github.com/rustdesk/rustdesk
awesome-react,777,https://github.com/enaqx/awesome-react
33-js-concepts,237,https://github.com/leonardomso/33-js-concepts
playwright,12299,https://github.com/microsoft/playwright
interviews,42,https://github.com/kdn251/interviews
resume.github.com,84,https://github.com/resume/resume.github.com
the-algorithm,2,https://github.com/twitter/the-algorithm
v2rayN,127,https://github.com/2dust/v2rayN
ansible,37900,https://github.com/ansible/ansible
keras,3367,https://github.com/keras-team/keras
redux,1669,https://github.com/reduxjs/redux
grafana,42058,https://github.com/grafana/grafana
whisper,95,https://github.com/openai/whisper
ollama,987,https://github.com/ollama/ollama
socket.io,425,https://github.com/socketio/socket.io
HowToCook,485,https://github.com/Anduin2017/HowToCook
hoppscotch,1408,https://github.com/hoppscotch/hoppscotch
atom,3937,https://github.com/atom/atom
strapi,7929,https://github.com/strapi/strapi
fzf,460,https://github.com/junegunn/fzf
cpython,41569,https://github.com/python/cpython
javascript-questions,328,https://github.com/lydiahallie/javascript-questions
syncthing,2495,https://github.com/syncthing/syncthing
markdown-here,20,https://github.com/adam-p/markdown-here
nocode,1,https://github.com/kelseyhightower/nocode
architect-awesome,49,https://github.com/xingshaocheng/architect-awesome
Front-end-Developer-Interview-Questions,477,https://github.com/h5bp/Front-end-Developer-Interview-Questions
echarts,1272,https://github.com/apache/echarts
angular.js,790,https://github.com/angular/angular.js
jquery,717,https://github.com/jquery/jquery
lodash,579,https://github.com/lodash/lodash
superset,12390,https://github.com/apache/superset
fuel-core,930,https://github.com/FuelLabs/fuel-core
awesome-public-datasets,188,https://github.com/awesomedata/awesome-public-datasets
scikit-learn,11931,https://github.com/scikit-learn/scikit-learn
tesseract,1346,https://github.com/tesseract-ocr/tesseract
manim,565,https://github.com/3b1b/manim
shadowsocks-windows,278,https://github.com/shadowsocks/shadowsocks-windows
Ventoy,261,https://github.com/ventoy/Ventoy
gpt4free,512,https://github.com/xtekky/gpt4free
ui,312,https://github.com/shadcn-ui/ui
PayloadsAllTheThings,513,https://github.com/swisskyrepo/PayloadsAllTheThings
system-design-101,21,https://github.com/ByteByteGoHq/system-design-101
d2l-zh,1020,https://github.com/d2l-ai/d2l-zh
Java,1212,https://github.com/TheAlgorithms/Java
llama.cpp,2291,https://github.com/ggerganov/llama.cpp
Apollo-11,326,https://github.com/chrislgarry/Apollo-11
design-resources-for-developers,891,https://github.com/bradtraversy/design-resources-for-developers
Best-websites-a-programmer-should-visit,404,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
html5-boilerplate,757,https://github.com/h5bp/html5-boilerplate
openai-cookbook,486,https://github.com/openai/openai-cookbook
awesome-nodejs,407,https://github.com/sindresorhus/awesome-nodejs
gpt_academic,166,https://github.com/binary-husky/gpt_academic
imgui,339,https://github.com/ocornut/imgui
obs-studio,4528,https://github.com/obsproject/obs-studio
awesome-cpp,690,https://github.com/fffaraz/awesome-cpp
tabby,1446,https://github.com/Eugeny/tabby
spring-framework,828,https://github.com/spring-projects/spring-framework
gatsby,18070,https://github.com/gatsbyjs/gatsby
rails,23143,https://github.com/rails/rails
