Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
54498,refactor: remove hasNoSolution,363,True,False,,2024-04-24T06:29:07Z,4,2,1,2,8,31,39,105232.289346
54501,test: simplify action-row spec,399,True,True,2024-04-23T17:42:16Z,2024-04-23T17:42:16Z,2,3,0,1,90,115,205,96874.289346
53560,"feat(api,client): Add Webhooks with Optional Token",587,True,False,,2024-04-23T15:49:14Z,1,5,12,17,340,11,351,6784635.289346
54448,fix(curriculum): add missing word to instructions,297,True,True,2024-04-22T04:41:51Z,2024-04-22T04:41:51Z,2,3,0,1,1,1,2,406059.289346
54413,refactor: simplify logic in get-challenges,408,True,True,2024-04-23T11:11:55Z,2024-04-23T11:11:55Z,6,3,1,2,41,71,112,696225.289346
54497,test: remove mocks from email signup spec,370,True,True,2024-04-23T11:13:22Z,2024-04-23T11:13:22Z,2,3,0,1,8,22,30,107964.289346
54226,fix(UI): remove flash from update email flow,275,True,True,2024-04-23T09:06:36Z,2024-04-23T09:06:36Z,3,4,4,2,11,6,17,2479476.289346
54468,fix(curriculum): Updated the tests to accpet the answer irrespective of the order of concatenation,275,True,True,2024-04-23T09:30:11Z,2024-04-23T09:30:12Z,3,3,0,1,3,3,6,280169.289346
54485,chore: allow all seeded users to be modified,506,True,True,2024-04-22T16:25:54Z,2024-04-22T16:25:54Z,2,3,0,3,12211,10305,22516,167381.289346
54463,fix(curriculum): add reminder to include final colon for if and else statements,297,True,True,2024-04-22T07:14:33Z,2024-04-22T07:14:33Z,3,3,0,2,2,2,4,296015.289346
54444,fix(curriculum): change editable region for step 24 of cat painting,442,True,True,2024-04-22T14:15:26Z,2024-04-22T14:15:26Z,2,3,0,1,3,3,6,447749.289346
54479,ci: create playwright report artifacts,259,True,True,2024-04-22T18:29:31Z,2024-04-22T18:29:31Z,2,3,1,1,7,0,7,191868.289346
54435,refactor(curriculum): update RPG project to accommodate new intro pyramid project,259,True,True,2024-04-22T17:10:58Z,2024-04-22T17:10:58Z,3,3,0,178,624,2044,2668,553770.289346
54484,"chore(i18n,learn): processed translations",45,True,True,2024-04-22T16:11:29Z,2024-04-22T16:11:29Z,2,3,0,3000,83412,3233,86645,173417.289346
54477,fix(curriculum): Learn Introductory JavaScript by Building a Pyramid Generator Step 30,275,True,True,2024-04-22T14:11:18Z,2024-04-22T14:11:18Z,2,3,0,1,1,1,2,221917.289346
54474,fix(curriculum): update description for step 19 of pyramid project,376,True,True,2024-04-22T14:10:15Z,2024-04-22T14:10:15Z,2,3,0,1,9,3,12,266066.289346
54467,fix(curriculum): Updated editable regions for step 44 of pyramid project,275,True,True,2024-04-22T14:09:54Z,2024-04-22T14:09:54Z,2,3,0,1,1,1,2,282457.885246
54483,"chore(i18n,client): processed translations",45,True,True,2024-04-22T13:54:30Z,2024-04-22T13:54:31Z,2,3,0,12,80,3,83,177400.885246
50721,feat(api): POST user/user-token,275,True,True,2023-06-29T10:36:44Z,2023-06-29T10:36:44Z,10,5,2,6,4141,1939,6080,27111429.885246
